param,value,sigma_r_max,k_max,c_migr,diff_pct
theta_c,0.03,0.3817748108215115,5.57647243942593,0.5678490185831314,5.933429327426513
theta_c,0.04,0.3684892930446391,5.612034361585264,0.5696111568476377,2.2470141460106796
theta_c,0.047,0.360391250661295,5.634629961887423,0.5707445572104174,0.0
theta_c,0.055,0.35398560298896564,4.2003191217143145,0.5688557091834021,-1.7774148680289596
theta_c,0.06,0.35237983058174394,4.205794805994229,0.5693079486942678,-2.2229785170562915
b,1.2,0.2575670263959314,4.0992744934559955,0.55185915606619,-28.531276515921995
b,1.5,0.360391250661295,5.634629961887423,0.5707445572104174,0.0
b,1.8,0.47049956503287493,5.745069434493486,0.5855191997747511,30.55243826522929
b,2.0,0.5338588989679263,5.7743701360533315,0.5928660207224286,48.133146403618056
b,2.5,0.6898730897234768,7.378087898365535,0.6166252462991941,91.42337347468997
Gamma,2.0,0.42373152035095263,5.502840405174692,0.5649290489808836,17.575418263743153
Gamma,3.0,0.39202559185022384,5.568808331865794,0.5678526677922986,8.777777243726595
Gamma,4.0,0.360391250661295,5.634629961887423,0.5707445572104174,0.0
Gamma,5.0,0.34368359408832866,4.216857772635885,0.5697302875550894,-4.635977300311501
Gamma,6.0,0.3305658287420366,4.24241625007907,0.5713387880678764,-8.275845172303894
