N,sigma_r,sigma_i,c_migr
16,0.35003912581976226,-1.8469019529880057,0.5276862722822874
24,0.35003912583120583,-1.8469019529774537,0.5276862722792725
32,0.3500391258311837,-1.84690195297743,0.5276862722792657
36,0.3500391258312136,-1.8469019529774584,0.5276862722792738
40,0.3500391258312287,-1.8469019529774342,0.5276862722792669
48,0.35003912583144,-1.8469019529774668,0.5276862722792762
64,0.3500391258310389,-1.8469019529773392,0.5276862722792398
