N,sigma_r,sigma_i,c_migr
16,0.3500391258197731,-1.8469019529878892,0.5276862722822541
24,0.35003912583123376,-1.846901952977474,0.5276862722792782
32,0.3500391258312514,-1.8469019529774773,0.5276862722792792
36,0.3500391258312125,-1.8469019529774382,0.527686272279268
40,0.35003912583129515,-1.8469019529774637,0.5276862722792753
48,0.3500391258313435,-1.8469019529775699,0.5276862722793056
64,0.3500391258313198,-1.846901952977647,0.5276862722793277
