case,beta,Cf,Fr,theta,sigma_m1,k_m1,alpha_m1,cm_m1,sigma_m2,k_m2,alpha_m2,cm_m2,sigma_m3,k_m3,alpha_m3,cm_m3,sigma_m4,k_m4,alpha_m4,cm_m4
2001 (Early post-dam),306.3,0.00032,0.602,1.5,0.1275693034896461,2.5737154830989337,0.008402597071821527,0.5509825009787864,0.06378465174481121,1.2868644262105962,0.004201320359812589,0.5509831861125777,0.02997794636675352,1.1972377743133815,0.003908709677810583,0.5525675905638363,0.006520622556625509,1.3667028706009627,0.004461974765265957,0.5712299235316233
2003 (Post-dam adjustment),198.2,0.00128,0.302,2.3,0.2824190306760292,3.645819409218261,0.018394648886065897,0.5647061175233565,0.14120951533377185,1.8228945316017593,0.009197247889009885,0.5647045154315891,0.0914809774080069,1.61982443560259,0.008172676264392482,0.5639052670977575,0.055718922789591195,1.5169119834509663,0.007653440885221828,0.5652126131254718
2016 (Recent transitional),132.4,0.0017,0.261,4.0,0.24999117442621996,3.5221877940847217,0.026602626843540193,0.5639451385655404,0.12499558721363879,1.7610899693805593,0.01330128375665075,0.5639447317958802,0.07518857103202485,1.5718785623756943,0.011872194579876845,0.5634515144046536,0.03897381759121044,1.4983545757234966,0.011316877460147255,0.5666847417157286
Dam km 336.6 (Narrow single-thread),73.0,0.00192,0.25,3.5,0.14867782711455163,1.8913825145454835,0.02590934951432169,0.5657121909643501,0.05883166432777777,1.5738773098519132,0.021559963148656346,0.5669453505173842,0.0020911022529092704,1.6464736922174832,0.022554434139965523,0.5847137865378491,-0.00060678449015852,18.958445852308394,0.25970473770285474,0.7532357599835251
Dam km 378.0 (Deeply incised),37.0,0.00042,0.53,1.1,-0.0011634440602462692,19.844943654337957,0.5363498284956204,0.7610505479766928,-0.0005817220272032289,17.280025507138273,0.46702771640914253,0.7610505479295685,-0.0003878146847330661,18.55755958523948,0.5015556644659319,0.7610505479153329,-0.00029086101346085743,15.436417058137057,0.4172004610307313,0.7610505479136608
