freq_1m,wavelength_m,C_amp,C_psd,C_phase_rad
0,inf,2.94903e-17,7.92319e-35,3.14159
9.62312e-06,103916,0.159257,0.00231068,2.08919
1.92462e-05,51958.2,0.127676,0.00148511,-1.94992
2.88694e-05,34638.8,0.0777181,0.000550283,-0.623847
3.84925e-05,25979.1,0.304481,0.0084462,-0.505831
4.81156e-05,20783.3,0.13341,0.00162151,1.33192
5.77387e-05,17319.4,0.229346,0.00479206,0.364554
6.73618e-05,14845.2,0.0217087,4.29349e-05,1.09832
7.6985e-05,12989.5,0.252075,0.00578899,-1.01863
8.66081e-05,11546.3,0.0975191,0.000866405,1.29142
9.62312e-05,10391.6,0.247182,0.00556643,-0.787565
0.000105854,9446.95,0.0281275,7.20782e-05,-2.14923
0.000115477,8659.7,0.193293,0.00340389,-2.77906
0.000125101,7993.57,0.197925,0.00356898,2.92313
0.000134724,7422.6,0.170818,0.00265833,2.99383
0.000144347,6927.76,0.0451091,0.000185383,1.08932
0.00015397,6494.77,0.232532,0.00492614,-2.84123
0.000163593,6112.73,0.211151,0.00406187,-1.76677
0.000173216,5773.13,0.0760686,0.000527172,-0.558084
0.000182839,5469.28,0.117232,0.00125208,1.5975
0.000192462,5195.82,0.305111,0.00848123,1.23807
0.000202086,4948.4,0.0724572,0.000478305,-2.5833
0.000211709,4723.47,0.320339,0.00934893,2.17954
0.000221332,4518.1,0.186679,0.00317491,-0.997053
0.000230955,4329.85,0.0343309,0.000107377,0.443329
0.000240578,4156.66,0.168878,0.0025983,-0.303525
0.000250201,3996.78,0.128326,0.00150027,2.61533
0.000259824,3848.76,0.464842,0.0196857,-1.28161
0.000269447,3711.3,0.103659,0.000978935,0.67594
0.00027907,3583.32,0.204978,0.00382788,-0.954891
0.000288694,3463.88,0.198454,0.00358808,2.59785
0.000298317,3352.14,0.237498,0.00513879,1.21854
0.00030794,3247.39,0.168975,0.00260128,1.02267
0.000317563,3148.98,0.0859565,0.00067313,-2.74042
0.000327186,3056.36,0.162565,0.00240767,-0.5924
0.000336809,2969.04,0.135089,0.00166258,-1.05863
0.000346432,2886.57,0.303159,0.00837304,-1.30769
0.000356055,2808.55,0.0276859,6.98326e-05,2.96882
0.000365679,2734.64,0.273902,0.00683488,-0.584709
0.000375302,2664.52,0.162526,0.00240652,0.83339
0.000384925,2597.91,0.225981,0.00465248,-1.79472
0.000394548,2534.55,0.107707,0.00105689,2.08774
0.000404171,2474.2,0.267168,0.00650293,-1.37377
0.000413794,2416.66,0.20603,0.00386726,3.0269
0.000423417,2361.74,0.21865,0.00435554,-1.88301
0.00043304,2309.25,0.133959,0.00163489,-0.848384
0.000442664,2259.05,0.200126,0.0036488,-2.12338
0.000452287,2210.99,0.322342,0.00946619,2.70477
0.00046191,2164.92,0.107881,0.00106032,0.978987
0.000471533,2120.74,0.0371997,0.000126073,-2.1737
0.000481156,2078.33,0.117411,0.00125591,2.16183
0.000490779,2037.58,0.172224,0.00270228,-1.69743
0.000500402,1998.39,0.0923594,0.000777148,0.19686
0.000510025,1960.69,0.112156,0.001146,-1.14547
0.000519648,1924.38,0.158471,0.00228793,2.4609
0.000529272,1889.39,0.141284,0.00181856,-2.46565
0.000538895,1855.65,0.272717,0.0067759,2.03904
0.000548518,1823.09,0.0569409,0.000295387,-1.54904
0.000558141,1791.66,0.117423,0.00125617,-1.64499
0.000567764,1761.29,0.117618,0.00126034,-0.521519
0.000577387,1731.94,0.16279,0.00241434,1.02
0.00058701,1703.55,0.161624,0.00237986,1.38301
0.000596633,1676.07,0.230709,0.0048492,2.79255
0.000606257,1649.47,0.0460832,0.000193476,2.79215
0.00061588,1623.69,0.128791,0.00151117,-2.02466
0.000625503,1598.71,0.0830926,0.000629023,1.11225
0.000635126,1574.49,0.177248,0.00286223,0.878463
0.000644749,1550.99,0.193739,0.00341959,0.503455
0.000654372,1528.18,0.169695,0.00262351,-1.51854
0.000663995,1506.03,0.15877,0.00229658,0.252489
0.000673618,1484.52,0.131739,0.00158114,-0.631727
0.000683242,1463.61,0.036089,0.000118656,-1.49518
0.000692865,1443.28,0.207487,0.00392214,-2.07874
0.000702488,1423.51,0.141688,0.00182897,1.3852
0.000712111,1404.28,0.0977082,0.000869769,1.48177
0.000721734,1385.55,0.0832074,0.000630763,-3.11222
0.000731357,1367.32,0.0802479,0.00058669,0.313242
0.00074098,1349.56,0.123931,0.00139926,-1.44647
0.000750603,1332.26,0.0357709,0.000116574,-1.23185
0.000760226,1315.4,0.17723,0.00286163,-1.10269
0.00076985,1298.95,0.127019,0.00146986,1.28971
0.000779473,1282.92,0.166921,0.00253841,-2.70474
0.000789096,1267.27,0.0626724,0.000357844,0.791343
0.000798719,1252,0.116088,0.00122776,-1.72437
0.000808342,1237.1,0.16203,0.00239183,1.39058
0.000817965,1222.55,0.121926,0.00135436,-2.08279
0.000827588,1208.33,0.135985,0.0016847,-2.13134
0.000837211,1194.44,0.0158951,2.30181e-05,-2.37492
0.000846835,1180.87,0.284055,0.00735099,-0.402129
0.000856458,1167.6,0.197359,0.00354859,2.18384
0.000866081,1154.63,0.125388,0.00143236,1.97959
0.000875704,1141.94,0.0529246,0.000255186,-2.94176
0.000885327,1129.53,0.225296,0.00462434,-1.63742
0.00089495,1117.38,0.212142,0.00410011,0.65871
0.000904573,1105.49,0.219585,0.00439287,-0.275088
0.000914196,1093.86,0.124388,0.0014096,1.68635
0.00092382,1082.46,0.063312,0.000365186,2.84882
0.000933443,1071.3,0.0982831,0.000880033,0.898911
0.000943066,1060.37,0.118788,0.00128555,-2.34474
0.000952689,1049.66,0.0339723,0.000105146,2.44613
0.000962312,1039.16,0.0879258,0.000704327,0.629872
0.000971935,1028.88,0.256267,0.00598309,-0.0511108
0.000981558,1018.79,0.0528821,0.000254776,1.17365
0.000991181,1008.9,0.0558423,0.000284098,1.83559
0.0010008,999.196,0.0502208,0.000229778,-1.73596
0.00101043,989.68,0.208505,0.00396074,-2.04954
