freq_1m,wavelength_m,C_amp,C_psd,C_phase_rad
0,inf,5.20417e-17,1.70009e-34,3.14159
6.77871e-06,147521,0.18661,0.00218594,-0.0485012
1.35574e-05,73760.3,0.171704,0.00185067,-2.8713
2.03361e-05,49173.5,0.149019,0.00139397,-2.23761
2.71149e-05,36880.1,0.251958,0.00398496,1.77491
3.38936e-05,29504.1,0.0603833,0.000228877,0.466256
4.06723e-05,24586.8,0.367923,0.0084973,-0.0104285
4.7451e-05,21074.4,0.385168,0.00931257,-1.15474
5.42297e-05,18440.1,0.296778,0.00552882,-3.0508
6.10084e-05,16391.2,0.108915,0.000744636,-1.59242
6.77871e-05,14752.1,0.0783223,0.000385069,-2.89772
7.45659e-05,13411,0.239959,0.00361445,-2.3656
8.13446e-05,12293.4,0.335473,0.00706452,1.45607
8.81233e-05,11347.7,0.148317,0.00138085,1.24113
9.4902e-05,10537.2,0.490498,0.0151023,-1.72434
0.000101681,9834.71,0.137246,0.0011824,2.63198
0.000108459,9220.04,0.235824,0.00349096,-1.51044
0.000115238,8677.68,0.152883,0.00146718,2.06998
0.000122017,8195.59,0.240801,0.00363985,2.11658
0.000128796,7764.24,0.210998,0.00279463,1.93737
0.000135574,7376.03,0.27395,0.00471097,0.926261
0.000142353,7024.79,0.26486,0.00440353,-0.320518
0.000149132,6705.48,0.306409,0.00589346,2.67023
0.00015591,6413.94,0.25321,0.00402466,2.04262
0.000162689,6146.69,0.051215,0.00016465,-0.457664
0.000169468,5900.82,0.0513127,0.000165279,2.95615
0.000176247,5673.87,0.126327,0.00100175,-2.57522
0.000183025,5463.73,0.160197,0.00161093,-1.89882
0.000189804,5268.59,0.32094,0.00646573,1.66381
0.000196583,5086.92,0.300734,0.0056772,-2.51546
0.000203361,4917.35,0.291753,0.00534316,1.05047
0.00021014,4758.73,0.108402,0.000737639,2.8308
0.000216919,4610.02,0.049727,0.000155222,-1.06157
0.000223698,4470.32,0.280663,0.00494468,1.91269
0.000230476,4338.84,0.149216,0.00139766,-2.43574
0.000237255,4214.87,0.0985267,0.000609363,2.55965
0.000244034,4097.79,0.201837,0.00255723,1.68425
0.000250812,3987.04,0.176245,0.00194986,-2.6356
0.000257591,3882.12,0.388438,0.00947136,0.31875
0.00026437,3782.58,0.199951,0.00250967,2.32289
0.000271149,3688.01,0.22592,0.00320388,-2.33992
0.000277927,3598.06,0.119769,0.000900447,0.150116
0.000284706,3512.4,0.0546698,0.000187613,1.04161
0.000291485,3430.71,0.144815,0.00131642,-0.0460886
0.000298263,3352.74,0.138913,0.00121131,-2.9076
0.000305042,3278.24,0.284531,0.00508191,2.56647
0.000311821,3206.97,0.0955859,0.00057353,2.9758
0.0003186,3138.74,0.373455,0.00875477,2.14149
0.000325378,3073.35,0.189627,0.00225718,-0.357648
0.000332157,3010.62,0.262292,0.00431856,1.36531
0.000338936,2950.41,0.105654,0.000700713,-1.96581
0.000345714,2892.56,0.244702,0.00375876,-3.01572
0.000352493,2836.93,0.0632436,0.000251074,-1.70226
0.000359272,2783.41,0.176478,0.00195502,0.906851
0.000366051,2731.86,0.170986,0.00183522,-0.904084
0.000372829,2682.19,0.110339,0.000764232,0.883577
0.000379608,2634.3,0.0382456,9.18185e-05,-1.15989
0.000386387,2588.08,0.115749,0.000841015,-2.9604
0.000393165,2543.46,0.122795,0.000946521,-2.41791
0.000399944,2500.35,0.192507,0.00232627,0.969401
0.000406723,2458.68,0.161421,0.00163564,-2.42877
0.000413502,2418.37,0.140252,0.00123476,0.423745
0.00042028,2379.36,0.296512,0.0055189,-2.87575
0.000427059,2341.6,0.164219,0.00169283,1.78159
0.000433838,2305.01,0.0475775,0.000142093,-1.77586
0.000440616,2269.55,0.0763965,0.000366366,0.991874
0.000447395,2235.16,0.108414,0.000737799,1.91991
0.000454174,2201.8,0.341435,0.00731786,1.02502
0.000460953,2169.42,0.305657,0.0058646,-2.47812
0.000467731,2137.98,0.30028,0.00566007,1.05522
0.00047451,2107.44,0.0807801,0.000409617,-2.9333
0.000481289,2077.75,0.149594,0.00140475,-0.452897
0.000488067,2048.9,0.0802452,0.00040421,-1.8383
0.000494846,2020.83,0.0767485,0.00036975,-2.8971
0.000501625,1993.52,0.28367,0.00505122,-2.57748
0.000508404,1966.94,0.140221,0.00123422,2.93846
0.000515182,1941.06,0.0856061,0.000460021,1.67089
0.000521961,1915.85,0.217019,0.00295641,-0.147141
0.00052874,1891.29,0.21759,0.00297199,-2.53487
0.000535518,1867.35,0.150873,0.00142886,-1.91031
0.000542297,1844.01,0.178777,0.00200628,2.18511
0.000549076,1821.24,0.0424545,0.00011314,2.65901
0.000555855,1799.03,0.00971821,5.92845e-06,-1.75283
0.000562633,1777.36,0.153356,0.00147629,-2.98998
0.000569412,1756.2,0.191419,0.00230004,0.985022
0.000576191,1735.54,0.0764274,0.000366663,2.70697
0.000582969,1715.36,0.195047,0.00238808,1.69218
0.000589748,1695.64,0.284078,0.00506574,-0.328896
0.000596527,1676.37,0.116931,0.000858272,-2.5349
0.000603306,1657.53,0.207222,0.00269552,-2.57368
0.000610084,1639.12,0.187819,0.00221435,1.72842
0.000616863,1621.11,0.155091,0.00150989,2.27615
0.000623642,1603.48,0.0680895,0.000291024,0.0471689
0.00063042,1586.24,0.213706,0.00286682,2.82594
0.000637199,1569.37,0.17208,0.00185879,1.7484
0.000643978,1552.85,0.200998,0.00253601,-0.579147
0.000650757,1536.67,0.147704,0.00136947,3.10188
0.000657535,1520.83,0.164271,0.00169391,-2.6226
0.000664314,1505.31,0.182222,0.00208436,1.43683
