freq_1m,wavelength_m,C_amp,C_psd,C_phase_rad
0,inf,9.97466e-17,6.36708e-34,0
6.88065e-06,145335,0.333203,0.00710496,-3.01843
1.37613e-05,72667.5,0.119574,0.000914995,1.9538
2.0642e-05,48445,0.0262705,4.41652e-05,-0.982122
2.75226e-05,36333.8,0.108721,0.000756438,2.10319
3.44033e-05,29067,0.222043,0.00315512,-1.94424
4.12839e-05,24222.5,0.147733,0.0013967,-1.54184
4.81646e-05,20762.2,0.104131,0.000693916,-1.12235
5.50452e-05,18166.9,0.158793,0.00161364,-0.294182
6.19259e-05,16148.3,0.098496,0.000620842,1.65819
6.88065e-05,14533.5,0.143051,0.00130956,0.796999
7.56872e-05,13212.3,0.482148,0.0148766,-0.373921
8.25678e-05,12111.3,0.227569,0.00331414,1.98045
8.94485e-05,11179.6,0.152287,0.00148412,-1.86092
9.63291e-05,10381.1,0.0521035,0.000173731,-2.8947
0.00010321,9689.01,0.191792,0.00235399,-0.448557
0.00011009,9083.44,0.414893,0.0110158,2.01052
0.000116971,8549.12,0.0859041,0.00047225,0.828192
0.000123852,8074.17,0.183461,0.00215392,1.48394
0.000130732,7649.21,0.312999,0.00626947,3.08983
0.000137613,7266.75,0.284815,0.00519123,1.76399
0.000144494,6920.72,0.0321003,6.59421e-05,1.51926
0.000151374,6606.14,0.173433,0.0019249,-1.07565
0.000158255,6318.92,0.267382,0.00457519,-2.02225
0.000165136,6055.63,0.196067,0.00246011,2.91524
0.000172016,5813.4,0.105969,0.000718624,-1.47413
0.000178897,5589.81,0.375536,0.00902498,0.0612235
0.000185778,5382.78,0.170203,0.00185387,1.32571
0.000192658,5190.54,0.149167,0.00142393,-0.161859
0.000199539,5011.55,0.353753,0.00800837,0.112643
0.00020642,4844.5,0.131746,0.00111076,-1.3144
0.0002133,4688.23,0.301953,0.00583476,-2.01129
0.000220181,4541.72,0.275982,0.00487422,1.59206
0.000227061,4404.09,0.234785,0.00352765,2.59056
0.000233942,4274.56,0.139285,0.00124152,2.46592
0.000240823,4152.43,0.195015,0.00243378,2.93767
0.000247703,4037.09,0.066196,0.000280419,1.39991
0.000254584,3927.98,0.0984699,0.000620513,-2.22458
0.000261465,3824.61,0.231502,0.00342967,2.64743
0.000268345,3726.54,0.240731,0.0037086,-1.26114
0.000275226,3633.38,0.078207,0.000391413,-1.89194
0.000282107,3544.76,0.186175,0.00221813,-1.65792
0.000288987,3460.36,0.0935121,0.000559602,-1.72782
0.000295868,3379.89,0.328741,0.00691596,2.40597
0.000302749,3303.07,0.171498,0.00188219,0.887901
0.000309629,3229.67,0.190869,0.00233139,2.0649
0.00031651,3159.46,0.356179,0.00811857,-0.673197
0.000323391,3092.24,0.236034,0.00356528,2.5069
0.000330271,3027.81,0.173271,0.00192131,-0.607454
0.000337152,2966.02,0.358489,0.00822423,3.07609
0.000344033,2906.7,0.263055,0.00442829,2.45048
0.000350913,2849.71,0.102339,0.000670238,0.626473
0.000357794,2794.91,0.0900771,0.000519246,-0.367469
0.000364675,2742.17,0.0183419,2.15294e-05,-2.75294
0.000371555,2691.39,0.240218,0.0036928,1.83442
0.000378436,2642.46,0.116968,0.00087555,2.19397
0.000385316,2595.27,0.217447,0.00302588,0.435762
0.000392197,2549.74,0.0687549,0.000302518,0.436913
0.000399078,2505.78,0.182721,0.00213658,-2.82035
0.000405958,2463.31,0.112897,0.000815652,0.500969
0.000412839,2422.25,0.0840503,0.000452088,0.323573
0.00041972,2382.54,0.203792,0.00265777,-3.13261
0.0004266,2344.11,0.179638,0.00206509,0.425365
0.000433481,2306.91,0.367626,0.00864881,-0.614816
0.000440362,2270.86,0.0553975,0.000196392,-1.00221
0.000447242,2235.92,0.13329,0.00113695,1.55183
0.000454123,2202.05,0.0790629,0.000400027,-3.03842
0.000461004,2169.18,0.0671479,0.000288542,-1.72794
0.000467884,2137.28,0.270152,0.00467046,1.6427
0.000474765,2106.31,0.204722,0.00268209,-0.300753
0.000481646,2076.22,0.328546,0.00690775,-1.59161
0.000488526,2046.97,0.290494,0.00540029,2.77425
0.000495407,2018.54,0.173816,0.00193341,-1.55618
0.000502288,1990.89,0.179718,0.00206694,2.48816
0.000509168,1963.99,0.200315,0.00256787,-2.3647
0.000516049,1937.8,0.0504216,0.000162696,-1.41657
0.000522929,1912.3,0.0848669,0.000460915,-1.60338
0.00052981,1887.47,0.281829,0.00508295,2.34443
0.000536691,1863.27,0.100649,0.000648277,-0.958595
0.000543571,1839.68,0.0935051,0.000559518,2.14238
0.000550452,1816.69,0.117691,0.000886395,1.59739
0.000557333,1794.26,0.255692,0.00418389,-2.05686
0.000564213,1772.38,0.231243,0.003422,1.37873
0.000571094,1751.03,0.166216,0.00176803,0.748928
0.000577975,1730.18,0.305573,0.00597549,-2.98773
0.000584855,1709.82,0.327663,0.00687066,1.01756
0.000591736,1689.94,0.0487947,0.000152366,-1.36205
0.000598617,1670.52,0.101653,0.000661278,0.90655
0.000605497,1651.53,0.212387,0.00288668,2.90108
0.000612378,1632.98,0.228775,0.00334935,1.54252
0.000619259,1614.83,0.114841,0.00084399,-3.09893
0.000626139,1597.09,0.240026,0.00368691,-3.00283
0.00063302,1579.73,0.278543,0.00496509,-0.489675
0.000639901,1562.74,0.184311,0.00217394,-0.829321
0.000646781,1546.12,0.083435,0.000445492,-3.03807
0.000653662,1529.84,0.0662976,0.000281281,-1.79443
0.000660543,1513.91,0.211037,0.00285011,-0.461135
0.000667423,1498.3,0.272791,0.00476216,0.595564
0.000674304,1483.01,0.263705,0.0044502,-2.41998
0.000681184,1468.03,0.254408,0.00414195,1.48894
0.000688065,1453.35,0.195318,0.00244134,0.0811589
0.000694946,1438.96,0.241282,0.00372558,1.99549
0.000701826,1424.85,0.0641153,0.000263068,1.82538
0.000708707,1411.02,0.238439,0.00363829,-0.560237
0.000715588,1397.45,0.189996,0.0023101,-2.14914
0.000722468,1384.14,0.143358,0.00131519,3.07822
0.000729349,1371.09,0.23955,0.00367229,2.57478
0.00073623,1358.27,0.133945,0.00114815,-1.98433
0.00074311,1345.7,0.0414071,0.000109722,-2.12327
0.000749991,1333.35,0.145931,0.00136282,-0.327869
0.000756872,1321.23,0.189271,0.00229251,-2.52128
0.000763752,1309.33,0.154697,0.00153147,-0.554579
0.000770633,1297.63,0.178032,0.00202833,-2.65468
0.000777514,1286.15,0.0293627,5.5174e-05,0.0469325
0.000784394,1274.87,0.10577,0.000715932,-0.734863
0.000791275,1263.78,0.124233,0.000987678,-1.75852
0.000798156,1252.89,0.0922761,0.000544906,-0.141814
0.000805036,1242.18,0.260651,0.00434774,1.9636
0.000811917,1231.65,0.0604847,0.000234118,-0.667419
0.000818797,1221.3,0.11635,0.000866311,1.12096
0.000825678,1211.13,0.262763,0.00441847,1.42135
0.000832559,1201.12,0.239793,0.00367973,-0.809223
0.000839439,1191.27,0.170785,0.00186657,2.33712
0.00084632,1181.59,0.178206,0.0020323,1.68127
0.000853201,1172.06,0.309937,0.0061474,-2.27923
0.000860081,1162.68,0.137059,0.00120216,1.16759
0.000866962,1153.45,0.072429,0.000335713,0.862543
0.000873843,1144.37,0.072895,0.000340047,-2.53332
0.000880723,1135.43,0.0676602,0.000292961,-1.2612
0.000887604,1126.63,0.150781,0.00145491,-1.73142
0.000894485,1117.96,0.175955,0.00198129,-3.08941
0.000901365,1109.43,0.155954,0.00155645,-1.23059
0.000908246,1101.02,0.153424,0.00150637,0.779323
0.000915127,1092.74,0.247959,0.00393463,-1.31651
0.000922007,1084.59,0.15099,0.00145894,1.61106
0.000928888,1076.56,0.140242,0.00125863,-0.41017
0.000935769,1068.64,0.0814077,0.000424107,-1.12356
0.000942649,1060.84,0.144989,0.00134529,1.37485
0.00094953,1053.15,0.144885,0.00134335,0.193021
0.000956411,1045.58,0.317847,0.00646517,1.46316
0.000963291,1038.11,0.0899117,0.000517341,0.273265
0.000970172,1030.75,0.0765432,0.000374936,-0.904814
0.000977052,1023.49,0.0176684,1.99775e-05,-0.197224
0.000983933,1016.33,0.0114415,8.37739e-06,1.35316
0.000990814,1009.27,0.073703,0.000347628,-0.315198
0.000997694,1002.31,0.0719147,0.000330963,1.64339
0.00100458,995.446,0.0594286,0.000226014,2.9483
0.00101146,988.674,0.157634,0.00159017,-1.66552
0.00101834,981.994,0.155297,0.00154338,-2.57895
0.00102522,975.403,0.188091,0.00226403,-0.902203
0.0010321,968.901,0.0640284,0.000262355,1.44139
0.00103898,962.484,0.39994,0.0102361,-2.80586
