freq_1m,wavelength_m,C_amp,C_psd,C_phase_rad
0,inf,2.46331e-16,4.09946e-33,0
6.95344e-06,143814,0.0240031,3.89244e-05,2.20062
1.39069e-05,71906.8,0.0376873,9.59574e-05,0.670815
2.08603e-05,47937.9,0.1165,0.000916946,-2.45267
2.78138e-05,35953.4,0.0410704,0.000113959,-0.094443
3.47672e-05,28762.7,0.124357,0.00104479,-0.377056
4.17207e-05,23968.9,0.164829,0.0018355,-0.532213
4.86741e-05,20544.8,0.159053,0.00170912,-1.71771
5.56276e-05,17976.7,0.20997,0.00297855,2.67812
6.2581e-05,15979.3,0.205926,0.0028649,1.47938
6.95344e-05,14381.4,0.0879887,0.00052305,-2.96966
7.64879e-05,13074,0.0952663,0.000613152,3.04887
8.34413e-05,11984.5,0.26247,0.00465422,1.13397
9.03948e-05,11062.6,0.049646,0.000166517,1.53224
9.73482e-05,10272.4,0.0648839,0.000284422,1.78544
0.000104302,9587.58,0.178207,0.00214556,2.8016
0.000111255,8988.35,0.235918,0.00376021,0.955704
0.000118209,8459.63,0.0599808,0.00024306,-1.48622
0.000125162,7989.65,0.229348,0.00355369,1.84018
0.000132115,7569.14,0.12982,0.00113861,-0.319469
0.000139069,7190.68,0.082741,0.000462521,-0.575983
0.000146022,6848.27,0.0844235,0.000481522,0.389858
0.000152976,6536.98,0.126017,0.00107287,1.64558
0.000159929,6252.77,0.176836,0.00211267,2.5874
0.000166883,5992.23,0.130505,0.00115065,-0.808574
0.000173836,5752.55,0.269896,0.00492132,-1.82616
0.00018079,5531.29,0.0630297,0.000268398,-0.949615
0.000187743,5326.43,0.0436571,0.000128765,-0.585198
0.000194696,5136.2,0.0888902,0.000533823,0.524498
0.00020165,4959.09,0.178963,0.0021638,-1.01425
0.000208603,4793.79,0.0488454,0.00016119,2.51958
0.000215557,4639.15,0.1809,0.00221088,-0.478228
0.00022251,4494.18,0.115352,0.000898966,-1.84448
0.000229464,4357.99,0.0480807,0.000156182,-2.82429
0.000236417,4229.81,0.110697,0.000827875,0.0343844
0.000243371,4108.96,0.172413,0.00200829,-1.33408
0.000250324,3994.82,0.130432,0.00114937,-2.16094
0.000257277,3886.85,0.190591,0.00245411,-2.45146
0.000264231,3784.57,0.131334,0.00116531,3.09822
0.000271184,3687.53,0.224216,0.00339642,-0.98215
0.000278138,3595.34,0.115317,0.00089842,-1.83489
0.000285091,3507.65,0.0524215,0.000185655,-2.55665
0.000292045,3424.13,0.0370882,9.29311e-05,3.0397
0.000298998,3344.5,0.0602649,0.000245368,-2.31114
0.000305952,3268.49,0.119673,0.000967561,-2.69606
0.000312905,3195.86,0.122642,0.00101617,2.91182
0.000319858,3126.38,0.126809,0.0010864,1.68631
0.000326812,3059.86,0.0443401,0.000132826,-0.583131
0.000333765,2996.12,0.138569,0.00129724,2.92142
0.000340719,2934.97,0.105125,0.000746629,0.0180335
0.000347672,2876.27,0.0642309,0.000278726,-0.533068
0.000354626,2819.88,0.119584,0.000966126,-0.789639
0.000361579,2765.65,0.109659,0.000812422,-2.97893
0.000368533,2713.46,0.113998,0.000877978,0.615745
0.000375486,2663.22,0.229997,0.00357384,-0.613448
0.000382439,2614.79,0.156188,0.0016481,-1.59383
0.000389393,2568.1,0.108786,0.000799531,3.06739
0.000396346,2523.05,0.128023,0.0011073,-2.23517
0.0004033,2479.55,0.105438,0.000751073,2.72029
0.000410253,2437.52,0.165706,0.0018551,-0.92417
0.000417207,2396.89,0.0655738,0.000290502,-2.35311
0.00042416,2357.6,0.109746,0.000813707,-0.705071
0.000431114,2319.57,0.147087,0.00146164,-2.5126
