freq_1m,wavelength_m,B_amp,B_psd,B_phase_rad
0,inf,1.06866e-10,7.32781e-22,3.14159
6.89896e-06,144949,9240.38,5.47871e+06,1.00839
1.37979e-05,72474.7,33976.9,7.40741e+07,-0.200264
2.06969e-05,48316.4,29652.3,5.64175e+07,-1.39213
2.75959e-05,36237.3,54971.5,1.93898e+08,2.6253
3.44948e-05,28989.9,24955.4,3.99602e+07,2.20591
4.13938e-05,24158.2,24816.9,3.95177e+07,1.81676
4.82927e-05,20707,27852.2,4.97757e+07,0.546949
5.51917e-05,18118.7,10246.9,6.73731e+06,-2.67877
6.20907e-05,16105.5,31613.8,6.41284e+07,-2.97356
6.89896e-05,14494.9,6629.37,2.81996e+06,-2.44554
7.58886e-05,13177.2,17558.3,1.97816e+07,2.30437
8.27876e-05,12079.1,30233.8,5.86523e+07,-1.42674
8.96865e-05,11149.9,62218.1,2.48389e+08,-2.1997
9.65855e-05,10353.5,45263.4,1.31459e+08,-1.20379
0.000103484,9663.29,21999.2,3.10537e+07,-2.4471
0.000110383,9059.33,17027.6,1.8604e+07,1.88316
0.000117282,8526.43,38899.8,9.70939e+07,0.255602
0.000124181,8052.74,25840.7,4.28456e+07,0.00946696
0.00013108,7628.91,51942.1,1.73116e+08,-0.966573
0.000137979,7247.47,22238.9,3.1734e+07,-1.05821
0.000144878,6902.35,10805.1,7.49123e+06,2.76192
0.000151777,6588.61,27151.9,4.73041e+07,3.05487
0.000158676,6302.14,49397.5,1.5657e+08,2.14052
0.000165575,6039.55,32801.1,6.90359e+07,1.0228
0.000172474,5797.97,25618.6,4.21123e+07,2.57639
0.000179373,5574.97,24971.1,4.00104e+07,1.86538
0.000186272,5368.49,66456.4,2.83382e+08,-3.04089
0.000193171,5176.76,14210,1.29565e+07,1.26383
0.00020007,4998.25,27614.8,4.89308e+07,0.877661
0.000206969,4831.64,30888.1,6.12183e+07,2.99906
0.000213868,4675.78,32847.4,6.9231e+07,0.0307829
0.000220767,4529.67,39582.5,1.00532e+08,-1.64104
0.000227666,4392.4,28679.7,5.27773e+07,-0.341717
0.000234565,4263.22,5373.53,1.85275e+06,2.83828
0.000241464,4141.41,30447.2,5.94831e+07,0.140948
0.000248363,4026.37,22168.6,3.15336e+07,2.34657
0.000255262,3917.55,5182.35,1.72326e+06,-0.338383
0.000262161,3814.46,24430.8,3.82978e+07,-0.94019
0.00026906,3716.65,21500.4,2.96613e+07,1.16723
0.000275959,3623.73,18180.4,2.12082e+07,-0.425269
0.000282857,3535.35,18606.3,2.22136e+07,-0.0377991
0.000289756,3451.17,7351.65,3.46791e+06,-1.05478
0.000296655,3370.91,21528.4,2.97386e+07,-2.31661
0.000303554,3294.3,9429.3,5.70502e+06,2.40533
0.000310453,3221.1,22896.4,3.36381e+07,-2.07069
0.000317352,3151.07,10224.9,6.70839e+06,2.24788
0.000324251,3084.03,14262.7,1.30527e+07,-2.75618
0.00033115,3019.78,16060.5,1.65507e+07,0.186513
0.000338049,2958.15,30781.1,6.07947e+07,-1.1355
