freq_1m,wavelength_m,B_amp,B_psd,B_phase_rad
0,inf,2.42835e-10,4.01282e-21,0
7.02808e-06,142286,24005.7,3.92153e+07,-1.70836
1.40562e-05,71143.2,29176.3,5.7928e+07,2.15985
2.10842e-05,47428.8,17947.1,2.19188e+07,1.08747
2.81123e-05,35571.6,58387,2.31984e+08,1.57495
3.51404e-05,28457.3,12077.7,9.92645e+06,-1.91393
4.21685e-05,23714.4,15195.1,1.57122e+07,-3.01829
4.91966e-05,20326.6,18962.6,2.44693e+07,-0.858864
5.62246e-05,17785.8,26764,4.87449e+07,-2.84853
6.32527e-05,15809.6,13244.2,1.19365e+07,-3.09861
7.02808e-05,14228.6,26372.7,4.73298e+07,-1.26222
7.73089e-05,12935.1,27974,5.32519e+07,-0.270108
8.43369e-05,11857.2,23451.6,3.74257e+07,-1.38984
9.1365e-05,10945.1,18109.1,2.23161e+07,-1.43628
9.83931e-05,10163.3,26658.7,4.83621e+07,0.746502
0.000105421,9485.76,19890.2,2.69218e+07,2.61089
0.000112449,8892.9,31741.2,6.85604e+07,-2.30965
0.000119477,8369.79,12037.2,9.85997e+06,2.20259
0.000126505,7904.8,26531.4,4.79012e+07,2.1216
0.000133533,7488.76,8006.07,4.36179e+06,-2.70044
0.000140562,7114.32,11294,8.68003e+06,-1.74189
0.00014759,6775.54,9608.92,6.28313e+06,2.51234
0.000154618,6467.56,7294.58,3.62099e+06,-0.136852
0.000161646,6186.37,31837.4,6.89765e+07,-3.05771
0.000168674,5928.6,18236.2,2.26306e+07,0.851682
0.000175702,5691.46,3698.61,930902,-0.204135
0.00018273,5472.55,23596.5,3.78899e+07,-2.98901
0.000189758,5269.87,6114.63,2.5443e+06,-2.15051
0.000196786,5081.66,43502.8,1.28784e+08,1.70271
0.000203814,4906.43,16123.5,1.76907e+07,1.34213
0.000210842,4742.88,13399.2,1.22175e+07,-2.86013
0.00021787,4589.88,14551.2,1.44088e+07,0.388626
0.000224899,4446.45,6034.14,2.47775e+06,-2.6624
0.000231927,4311.71,4847.22,1.59887e+06,-2.51466
0.000238955,4184.89,20561.4,2.87696e+07,-2.21219
0.000245983,4065.33,20945.6,2.98547e+07,1.37603
0.000253011,3952.4,23333.4,3.70495e+07,-1.3806
0.000260039,3845.58,28151,5.3928e+07,0.420125
0.000267067,3744.38,29302.1,5.84286e+07,-0.99629
0.000274095,3648.37,5385.15,1.97343e+06,3.03572
0.000281123,3557.16,22788.8,3.53404e+07,0.443567
0.000288151,3470.4,14282.9,1.38821e+07,2.42582
0.000295179,3387.77,9877.7,6.63954e+06,1.45815
0.000302207,3308.99,8099.07,4.46372e+06,-1.46263
0.000309235,3233.78,12022.5,9.836e+06,2.70829
0.000316264,3161.92,28670.9,5.59382e+07,-2.21631
0.000323292,3093.18,29220.9,5.8105e+07,2.39381
0.00033032,3027.37,21691.5,3.20188e+07,-1.00535
0.000337348,2964.3,31715.9,6.8451e+07,-1.94829
0.000344376,2903.8,13335.5,1.21016e+07,-2.33536
0.000351404,2845.73,10562.7,7.59242e+06,0.762325
0.000358432,2789.93,9621.59,6.29971e+06,-0.378628
0.00036546,2736.28,20218.5,2.7818e+07,-0.950086
0.000372488,2684.65,4176.59,1.18706e+06,-2.20573
0.000379516,2634.93,7809.51,4.15025e+06,1.83593
0.000386544,2587.03,15347.2,1.60283e+07,1.12626
0.000393572,2540.83,1672.31,190309,-2.58428
0.0004006,2496.25,14124.9,1.35767e+07,1.87235
0.000407629,2453.21,11583,9.13001e+06,-1.1411
0.000414657,2411.63,21303.7,3.08844e+07,-2.47791
0.000421685,2371.44,6791.44,3.13871e+06,3.09112
0.000428713,2332.56,16207.8,1.78762e+07,1.38232
0.000435741,2294.94,17976.1,2.19895e+07,-0.226056
0.000442769,2258.51,16214.1,1.78902e+07,-1.71583
0.000449797,2223.23,12472.3,1.05857e+07,1.91275
0.000456825,2189.02,8497.4,4.9136e+06,0.248079
0.000463853,2155.85,10409.9,7.37429e+06,1.4867
0.000470881,2123.68,14818.8,1.49434e+07,1.36683
0.000477909,2092.45,15750,1.68806e+07,0.709322
0.000484937,2062.12,4890.5,1.62755e+06,3.02951
0.000491966,2032.66,8141,4.51006e+06,2.80509
0.000498994,2004.03,12293.2,1.02838e+07,2.41139
0.000506022,1976.2,10159.5,7.02377e+06,1.31587
0.00051305,1949.13,4353.1,1.28951e+06,-0.501565
0.000520078,1922.79,6291.94,2.69399e+06,3.10791
0.000527106,1897.15,14795.2,1.48959e+07,0.372267
0.000534134,1872.19,6296.14,2.69759e+06,-1.64275
0.000541162,1847.88,1179.84,94727.4,-1.62768
0.00054819,1824.18,9640.89,6.325e+06,-1.86161
0.000555218,1801.09,12621.6,1.08406e+07,1.6557
0.000562246,1778.58,10402.2,7.36343e+06,-0.0563581
0.000569274,1756.62,6213.12,2.62692e+06,2.89296
0.000576302,1735.2,5971.1,2.42625e+06,-0.65501
0.000583331,1714.29,15996.1,1.74122e+07,-1.64177
0.000590359,1693.89,5298.82,1.91067e+06,-3.01414
0.000597387,1673.96,4707.61,1.50809e+06,-3.08307
0.000604415,1654.49,4217.2,1.21025e+06,0.82809
0.000611443,1635.48,7150.14,3.47901e+06,-0.483043
0.000618471,1616.89,6200.38,2.61615e+06,-0.940011
0.000625499,1598.72,4864.97,1.6106e+06,0.0971767
0.000632527,1580.96,2939.48,587988,-2.71207
0.000639555,1563.59,6705.08,3.05939e+06,2.68248
0.000646583,1546.59,6444.85,2.82652e+06,1.38108
0.000653611,1529.96,7420.71,3.74729e+06,1.45709
0.000660639,1513.69,2801.09,533926,1.08303
0.000667667,1497.75,3695.3,929238,-1.4557
0.000674696,1482.15,5800.09,2.28926e+06,-3.11246
0.000681724,1466.87,12236.1,1.01886e+07,1.8241
0.000688752,1451.9,3048.09,632242,2.08095
0.00069578,1437.24,5848.3,2.32748e+06,1.27727
0.000702808,1422.86,8078.65,4.44125e+06,-0.00280561
0.000709836,1408.78,2038.52,282784,2.61907
0.000716864,1394.96,10218.9,7.10617e+06,1.77045
0.000723892,1381.42,5993.05,2.44412e+06,-3.04503
0.00073092,1368.14,10839.1,7.99497e+06,1.2241
0.000737948,1355.11,8399.57,4.8011e+06,-0.46014
0.000744976,1342.32,9016,5.53164e+06,2.25672
0.000752004,1329.78,2761.46,518923,-0.630518
0.000759032,1317.47,5892.91,2.36312e+06,-3.06085
0.000766061,1305.38,4892.78,1.62907e+06,0.779162
0.000773089,1293.51,3075.6,643704,3.03117
0.000780117,1281.86,5497.06,2.05631e+06,1.51812
0.000787145,1270.41,5691.15,2.20407e+06,0.3576
0.000794173,1259.17,6242.39,2.65172e+06,0.345007
0.000801201,1248.13,1046.65,74546.3,1.59328
0.000808229,1237.27,5160.07,1.81191e+06,2.92677
0.000815257,1226.61,8377.08,4.77543e+06,2.80845
0.000822285,1216.12,11562.7,9.09795e+06,1.86733
0.000829313,1205.82,7498.16,3.82592e+06,0.257289
0.000836341,1195.68,1929.9,253452,-2.97776
0.000843369,1185.72,9833.73,6.58056e+06,-1.4555
0.000850398,1175.92,13359.9,1.21459e+07,-2.74881
0.000857426,1166.28,11492.3,8.98751e+06,0.928155
0.000864454,1156.8,5037.34,1.72675e+06,-1.35853
0.000871482,1147.47,7233.74,3.56084e+06,0.729004
