freq_1m,wavelength_m,B_amp,B_psd,B_phase_rad
0,inf,1.40972e-10,1.29122e-21,0
6.78601e-06,147362,25388.2,4.18793e+07,2.23909
1.3572e-05,73681.1,67481.8,2.95876e+08,0.026106
2.0358e-05,49120.7,59034.9,2.26441e+08,-1.8602
2.7144e-05,36840.5,31599.7,6.48785e+07,-2.83337
3.393e-05,29472.4,58270.6,2.20615e+08,-2.85373
4.0716e-05,24560.4,22358.5,3.24803e+07,0.861992
4.7502e-05,21051.7,5292.02,1.81961e+06,1.45703
5.4288e-05,18420.3,37135.6,8.96017e+07,0.449404
6.1074e-05,16373.6,19271.7,2.41311e+07,-1.23867
6.78601e-05,14736.2,28882.6,5.4201e+07,-0.179427
7.46461e-05,13396.6,37895,9.33038e+07,-2.1189
8.14321e-05,12280.2,12219,9.70078e+06,-1.17652
8.82181e-05,11335.5,33970.7,7.49801e+07,-2.34903
9.50041e-05,10525.9,24579.1,3.92525e+07,1.6367
0.00010179,9824.14,31587,6.48265e+07,-2.02187
0.000108576,9210.13,4429.3,1.27469e+06,-1.08632
0.000115362,8668.36,19602.9,2.49677e+07,-0.825796
0.000122148,8186.78,13927.6,1.26035e+07,-2.09106
0.000128934,7755.9,37247.8,9.01442e+07,-1.38729
0.00013572,7368.11,43197.9,1.21244e+08,3.10614
0.000142506,7017.24,19272.6,2.41333e+07,2.68104
0.000149292,6698.28,18862.2,2.31165e+07,-2.98453
0.000156078,6407.05,60584.6,2.38484e+08,2.39671
0.000162864,6140.09,26336.9,4.50677e+07,1.91588
0.00016965,5894.48,17597.1,2.01196e+07,1.91432
0.000176436,5667.77,5949.57,2.29989e+06,1.76544
0.000183222,5457.86,43653.7,1.23817e+08,0.619073
0.000190008,5262.93,31826.1,6.58116e+07,0.353738
0.000196794,5081.45,8537.76,4.73613e+06,2.37576
0.00020358,4912.07,23654.9,3.63561e+07,-2.10566
0.000210366,4753.62,54188.2,1.90786e+08,1.31855
0.000217152,4605.07,9757.84,6.18648e+06,-2.10492
0.000223938,4465.52,41219.2,1.10392e+08,1.54529
0.000230724,4334.18,23711.9,3.65316e+07,-0.429578
0.00023751,4210.35,25844.2,4.33972e+07,1.24066
0.000244296,4093.39,8141.03,4.30621e+06,-1.04067
0.000251082,3982.76,37676.6,9.22316e+07,0.997919
0.000257868,3877.95,33018,7.08335e+07,0.305461
0.000264654,3778.52,7754.64,3.90714e+06,-1.54391
0.00027144,3684.05,33611.4,7.34023e+07,0.613285
0.000278226,3594.2,7208.28,3.37598e+06,-2.60701
0.000285012,3508.62,15960.2,1.65505e+07,-1.94161
0.000291798,3427.03,16068.3,1.67755e+07,-1.23792
0.000298584,3349.14,7753.94,3.90644e+06,1.12041
0.00030537,3274.71,22771.1,3.36903e+07,0.993568
0.000312156,3203.52,5315.41,1.83574e+06,1.68215
0.000318942,3135.36,11419.7,8.47308e+06,2.16471
0.000325728,3070.04,18535.6,2.23229e+07,1.97096
0.000332514,3007.39,21616.7,3.03608e+07,0.875919
0.0003393,2947.24,32589.3,6.90059e+07,-0.844296
0.000346086,2889.45,23373,3.54947e+07,3.03857
0.000352872,2833.89,21600.2,3.03144e+07,-1.30826
0.000359658,2780.42,24616.9,3.93735e+07,-2.07381
0.000366444,2728.93,6781.19,2.98777e+06,1.80892
0.00037323,2679.31,11689.5,8.87823e+06,1.73665
0.000380016,2631.47,6365.9,2.63302e+06,3.08094
0.000386802,2585.3,10308.4,6.90428e+06,1.21619
0.000393588,2540.73,6830.6,3.03148e+06,-2.9311
0.000400374,2497.66,3398.31,750348,-2.50741
0.00040716,2456.04,12840.2,1.07122e+07,-1.31367
0.000413946,2415.77,11480.3,8.56336e+06,-0.839656
0.000420732,2376.81,23231.7,3.50669e+07,-1.58953
0.000427518,2339.08,20834.7,2.8204e+07,1.17378
0.000434304,2302.53,14030.6,1.27905e+07,2.44618
0.00044109,2267.11,16453.6,1.75896e+07,2.01386
0.000447876,2232.76,12585.8,1.02919e+07,1.17876
0.000454662,2199.43,13066.8,1.10937e+07,1.53471
0.000461448,2167.09,10896.8,7.71493e+06,-1.97699
0.000468234,2135.68,23267.3,3.51745e+07,2.31076
0.00047502,2105.17,12763.6,1.05849e+07,-0.623559
0.000481806,2075.52,15743,1.61032e+07,1.56942
0.000488592,2046.7,17082.1,1.8959e+07,-0.182463
0.000495378,2018.66,22337.8,3.24202e+07,1.80865
0.000502164,1991.38,6435.9,2.69125e+06,-1.91155
0.00050895,1964.83,17952.5,2.09404e+07,2.25594
0.000515736,1938.98,2736.33,486489,-0.361776
