freq_1m,wavelength_m,C_amp,C_psd,C_phase_rad
0,inf,7.28584e-17,3.52962e-34,3.14159
6.79243e-06,147223,0.0738435,0.000362571,0.663027
1.35849e-05,73611.4,0.1135,0.000856562,-0.403376
2.03773e-05,49074.2,0.228572,0.00347388,-2.17493
2.71697e-05,36805.7,0.233491,0.00362501,2.7268
3.39621e-05,29444.5,0.212739,0.00300929,0.458263
4.07546e-05,24537.1,0.0277327,5.11393e-05,-1.47928
4.7547e-05,21031.8,0.103679,0.00071474,-2.09107
5.43394e-05,18402.8,0.0612591,0.000249523,-0.0801813
6.11319e-05,16358.1,0.0854455,0.000485453,0.584984
6.79243e-05,14722.3,0.0232033,3.57987e-05,2.43579
7.47167e-05,13383.9,0.257994,0.00442577,1.4837
8.15092e-05,12268.6,0.180899,0.00217591,0.757052
8.83016e-05,11324.8,0.290696,0.00561884,0.0711046
9.5094e-05,10515.9,0.258649,0.00444827,-1.94523
0.000101886,9814.85,0.321658,0.00687951,1.5348
0.000108679,9201.42,0.128739,0.00110201,0.7782
0.000115471,8660.16,0.0855775,0.000486954,0.379983
0.000122264,8179.04,0.193927,0.0025006,-1.35414
0.000129056,7748.56,0.117867,0.00092375,2.42952
0.000135849,7361.14,0.113966,0.000863616,-2.7534
0.000142641,7010.61,0.0573323,0.000218558,2.48439
0.000149433,6691.94,0.103428,0.000711283,-1.69541
0.000156226,6400.99,0.0634134,0.000267381,0.68942
0.000163018,6134.28,0.267687,0.00476456,-0.290976
0.000169811,5888.91,0.329746,0.00722982,-1.98721
0.000176603,5662.41,0.273163,0.00496151,3.02808
0.000183396,5452.69,0.1539,0.00157487,1.76188
0.000190188,5257.95,0.183444,0.00223757,0.337918
0.00019698,5076.65,0.282934,0.00532279,-2.38696
0.000203773,4907.42,0.0359579,8.59721e-05,-0.190324
0.000210565,4749.12,0.0749561,0.000373579,-0.240118
0.000217358,4600.71,0.147565,0.00144789,2.95608
0.00022415,4461.29,0.065328,0.000283771,2.39262
0.000230943,4330.08,0.159795,0.00169783,-0.867833
0.000237735,4206.36,0.131945,0.0011576,-2.9572
0.000244527,4089.52,0.033056,7.26559e-05,-1.39826
0.00025132,3978.99,0.117902,0.000924296,-2.34021
0.000258112,3874.28,0.179709,0.00214738,2.69064
0.000264905,3774.94,0.256707,0.00438173,1.16832
0.000271697,3680.57,0.262385,0.00457771,-0.997418
0.00027849,3590.8,0.194696,0.00252049,3.07466
0.000285282,3505.3,0.119745,0.000953416,2.32141
0.000292074,3423.78,0.0184079,2.2531e-05,0.690055
0.000298867,3345.97,0.0858439,0.000489991,2.24135
0.000305659,3271.62,0.0777655,0.000402108,1.93313
0.000312452,3200.49,0.129564,0.00111619,0.499505
0.000319244,3132.4,0.214753,0.00306654,-0.245446
0.000326037,3067.14,0.0468885,0.000146185,-1.7765
0.000332829,3004.55,0.0883464,0.000518975,2.12381
0.000339621,2944.45,0.0505685,0.000170031,-0.847994
0.000346414,2886.72,0.117257,0.000914217,1.64148
0.000353206,2831.21,0.15087,0.00151347,-0.292407
0.000359999,2777.79,0.0876055,0.000510307,-3.01501
0.000366791,2726.35,0.0884576,0.000520282,0.168411
0.000373584,2676.78,0.104759,0.000729707,-2.68001
0.000380376,2628.98,0.161276,0.00172944,-0.0513113
0.000387169,2582.85,0.0979575,0.000638035,-2.9133
0.000393961,2538.32,0.220671,0.00323787,0.491228
