freq_1m,wavelength_m,C_amp,C_psd,C_phase_rad
0,inf,5.89806e-17,2.22465e-34,3.14159
6.64516e-06,150485,0.150148,0.00144172,2.14452
1.32903e-05,75242.7,0.136273,0.00118758,-1.6845
1.99355e-05,50161.8,0.354832,0.00805174,-1.65919
2.65807e-05,37621.4,0.436019,0.0121578,0.338413
3.32258e-05,30097.1,0.142327,0.00129545,0.97067
3.9871e-05,25080.9,0.195047,0.00243289,-2.80814
4.65161e-05,21497.9,0.0799224,0.000408489,-0.497051
5.31613e-05,18810.7,0.0271598,4.71735e-05,-1.62198
5.98065e-05,16720.6,0.315877,0.00638088,1.78037
6.64516e-05,15048.5,0.147821,0.00139738,2.08605
7.30968e-05,13680.5,0.121605,0.000945692,-2.43206
7.9742e-05,12540.5,0.32409,0.00671701,-1.51055
8.63871e-05,11575.8,0.223995,0.00320864,-0.48528
9.30323e-05,10749,0.0283137,5.12669e-05,-0.573974
9.96774e-05,10032.4,0.346574,0.0076813,-2.97581
0.000106323,9405.34,0.205742,0.002707,-1.35156
0.000112968,8852.08,0.129277,0.00106878,0.349773
0.000119613,8360.3,0.504311,0.0162645,1.00999
0.000126258,7920.28,0.118377,0.000896151,1.83617
0.000132903,7524.27,0.0881195,0.000496578,-2.33167
0.000139548,7165.97,0.0772775,0.0003819,2.21031
0.000146194,6840.25,0.0720953,0.000332397,-2.67377
0.000152839,6542.84,0.207747,0.00276002,3.06482
0.000159484,6270.23,0.23516,0.00353649,-1.9001
0.000166129,6019.42,0.150223,0.00144317,-2.92078
0.000172774,5787.9,0.215516,0.00297033,2.95876
0.000179419,5573.53,0.184482,0.00217647,0.725704
0.000186065,5374.48,0.107022,0.000732474,-2.59521
0.00019271,5189.15,0.195964,0.00245581,2.85023
0.000199355,5016.18,0.215142,0.00296002,-0.129022
0.000206,4854.37,0.198485,0.00251941,-1.38293
0.000212645,4702.67,0.297648,0.00566564,-2.85386
0.00021929,4560.16,0.190146,0.00231216,1.55637
0.000225936,4426.04,0.323588,0.00669618,-1.85834
0.000232581,4299.58,0.193368,0.00239119,0.409829
0.000239226,4180.15,0.0704818,0.000317685,3.14075
0.000245871,4067.17,0.496018,0.015734,1.51977
0.000252516,3960.14,0.0991515,0.000628698,0.734378
0.000259161,3858.6,0.279044,0.00497955,0.133506
0.000265807,3762.14,0.109683,0.00076935,2.10279
0.000272452,3670.38,0.080117,0.000410481,2.47831
0.000279097,3582.99,0.269242,0.00463586,-3.04907
0.000285742,3499.66,0.185074,0.00219047,-2.34335
0.000292387,3420.12,0.102078,0.000666364,1.37332
0.000299032,3344.12,0.366413,0.00858591,0.557926
0.000305677,3271.42,0.189727,0.00230198,0.127479
0.000312323,3201.82,0.23563,0.00355064,-0.727715
0.000318968,3135.11,0.276592,0.00489242,2.99406
0.000325613,3071.13,0.294213,0.00553562,1.87011
0.000332258,3009.71,0.212318,0.00288281,-1.28293
0.000338903,2950.69,0.102829,0.000676197,-1.79206
0.000345548,2893.95,0.0817307,0.000427183,0.793548
0.000352194,2839.35,0.496839,0.0157861,-0.0665619
0.000358839,2786.77,0.0716276,0.000328098,-1.32181
0.000365484,2736.1,0.0501565,0.000160878,0.725457
0.000372129,2687.24,0.0595891,0.000227079,-2.46923
0.000378774,2640.09,0.272418,0.00474586,2.29377
0.000385419,2594.58,0.18905,0.00228557,2.42275
0.000392065,2550.6,0.190696,0.00232555,1.16024
0.00039871,2508.09,0.0926082,0.000548457,-0.568452
0.000405355,2466.97,0.143145,0.00131038,-0.674855
0.000412,2427.18,0.0914184,0.000534454,-1.35085
0.000418645,2388.66,0.163382,0.00170707,-1.99827
0.00042529,2351.33,0.32042,0.00656573,3.06899
0.000431936,2315.16,0.177697,0.00201931,-0.869419
0.000438581,2280.08,0.0444784,0.000126515,2.03383
0.000445226,2246.05,0.240666,0.00370403,-0.447169
0.000451871,2213.02,0.213001,0.0029014,1.21132
0.000458516,2180.95,0.0563657,0.000203177,1.78619
0.000465161,2149.79,0.191226,0.00233851,0.435655
0.000471807,2119.51,0.0791649,0.000400782,-1.24005
0.000478452,2090.08,0.141628,0.00128275,2.66466
0.000485097,2061.44,0.308254,0.00607662,-1.9044
0.000491742,2033.59,0.126184,0.00101825,-2.99241
0.000498387,2006.47,0.102545,0.000672472,0.817078
0.000505032,1980.07,0.180265,0.00207811,2.4955
0.000511678,1954.36,0.09437,0.000569523,-2.66937
0.000518323,1929.3,0.178392,0.00203515,-2.94754
0.000524968,1904.88,0.282162,0.00509144,0.240055
0.000531613,1881.07,0.184956,0.00218767,-2.2732
0.000538258,1857.84,0.226698,0.00328655,-1.70428
0.000544903,1835.19,0.297845,0.00567316,-1.08884
0.000551549,1813.08,0.223379,0.00319101,3.0631
0.000558194,1791.49,0.458121,0.0134216,2.34319
0.000564839,1770.42,0.164753,0.00173585,0.536068
0.000571484,1749.83,0.0796771,0.000405985,2.52678
0.000578129,1729.72,0.174331,0.00194354,-0.141549
0.000584774,1710.06,0.110053,0.000774553,-1.1973
0.000591419,1690.85,0.246083,0.00387264,-2.59978
0.000598065,1672.06,0.302114,0.00583693,2.6069
0.00060471,1653.69,0.226701,0.00328662,1.1055
0.000611355,1635.71,0.372139,0.00885633,1.7591
0.000618,1618.12,0.00920743,5.42151e-06,-2.43928
0.000624645,1600.91,0.186898,0.00223385,-2.17548
0.00063129,1584.06,0.165613,0.00175402,-2.76792
0.000637936,1567.56,0.0711826,0.000324035,2.05402
0.000644581,1551.4,0.117886,0.000888719,2.36995
0.000651226,1535.57,0.0670981,0.000287914,-2.62342
0.000657871,1520.05,0.184151,0.00216866,0.978898
0.000664516,1504.85,0.129782,0.00107714,0.858937
0.000671161,1489.95,0.0263443,4.43829e-05,0.582029
0.000677807,1475.35,0.264153,0.00446227,-0.388039
0.000684452,1461.02,0.129479,0.00107212,2.39977
0.000691097,1446.98,0.243424,0.00378939,2.42178
0.000697742,1433.19,0.216892,0.00300838,-2.19742
0.000704387,1419.67,0.346114,0.00766094,1.9987
0.000711032,1406.41,0.156354,0.00156338,1.26648
0.000717678,1393.38,0.224537,0.00322417,-0.681931
0.000724323,1380.6,0.0818648,0.000428586,-0.217652
0.000730968,1368.05,0.131448,0.00110498,-0.80452
0.000737613,1355.72,0.0144224,1.3302e-05,-2.17734
0.000744258,1343.62,0.16461,0.00173284,1.82455
0.000750903,1331.73,0.175217,0.00196334,1.32031
0.000757549,1320.05,0.0832099,0.000442786,-0.461742
0.000764194,1308.57,0.208861,0.0027897,-2.21337
0.000770839,1297.29,0.0941964,0.00056743,2.7681
0.000777484,1286.2,0.163685,0.00171342,0.102959
0.000784129,1275.3,0.140566,0.00126358,1.05978
