freq_1m,wavelength_m,C_amp,C_psd,C_phase_rad
0,inf,2.63678e-16,4.36764e-33,0
6.66012e-06,150148,0.26427,0.00438727,-0.22045
1.33202e-05,75073.8,0.136295,0.00116697,-2.99847
1.99803e-05,50049.2,0.0364912,8.36516e-05,-1.41785
2.66405e-05,37536.9,0.1286,0.00103893,-2.50032
3.33006e-05,30029.5,0.254641,0.00407337,2.64627
3.99607e-05,25024.6,0.257914,0.00417877,-1.39023
4.66208e-05,21449.6,0.146024,0.00133951,1.20297
5.32809e-05,18768.4,0.144411,0.00131009,1.91597
5.9941e-05,16683.1,0.137372,0.00118548,-2.02114
6.66012e-05,15014.8,0.140238,0.00123546,2.86047
7.32613e-05,13649.8,0.215252,0.00291066,1.50863
7.99214e-05,12512.3,0.478091,0.0143589,1.0584
8.65815e-05,11549.8,0.0555288,0.000193703,1.22848
9.32416e-05,10724.8,0.330149,0.0068473,1.18387
9.99017e-05,10009.8,0.0147367,1.36426e-05,-0.0291293
0.000106562,9384.22,0.191791,0.00231077,2.08753
0.000113222,8832.21,0.193697,0.00235692,0.337275
0.000119882,8341.53,0.114905,0.000829421,-0.072674
0.000126542,7902.5,0.231856,0.00337703,-2.90183
0.000133202,7507.38,0.0724697,0.000329923,-1.36494
0.000139862,7149.88,0.169523,0.00180534,1.20248
0.000146523,6824.89,0.296207,0.00551174,-2.12969
0.000153183,6528.15,0.0308265,5.96965e-05,0.313265
0.000159843,6256.15,0.153553,0.0014812,-0.494106
0.000166503,6005.9,0.252573,0.00400749,2.85126
0.000173163,5774.9,0.312051,0.00611718,0.962157
0.000179823,5561.02,0.140709,0.00124378,-2.37195
0.000186483,5362.41,0.163836,0.00168624,-2.68617
0.000193143,5177.5,0.130233,0.00106546,0.787059
0.000199803,5004.92,0.283318,0.00504252,0.0543925
0.000206464,4843.47,0.381786,0.0091567,0.628824
0.000213124,4692.11,0.269256,0.00455437,-2.81942
0.000219784,4549.92,0.148273,0.00138109,-1.24948
0.000226444,4416.1,0.111371,0.000779193,-1.32133
0.000233104,4289.93,0.169986,0.00181521,-0.882889
0.000239764,4170.76,0.0679678,0.000290205,-2.22777
0.000246424,4058.04,0.263574,0.00436421,3.01736
0.000253084,3951.25,0.270406,0.00459339,-2.44762
0.000259745,3849.94,0.279589,0.00491066,-1.06739
0.000266405,3753.69,0.265377,0.00442411,2.0324
0.000273065,3662.13,0.336012,0.00709266,1.93832
0.000279725,3574.94,0.11904,0.000890189,0.177455
0.000286385,3491.8,0.262902,0.00434197,0.246025
0.000293045,3412.44,0.114007,0.000816518,-0.174208
0.000299705,3336.61,0.115829,0.000842822,-2.90651
0.000306365,3264.08,0.202519,0.00257651,-1.29773
0.000313025,3194.63,0.368447,0.00852804,-1.21481
0.000319686,3128.07,0.507807,0.0161993,1.23929
0.000326346,3064.24,0.0409887,0.000105542,1.34454
0.000333006,3002.95,0.406162,0.0103633,-2.28145
0.000339666,2944.07,0.157351,0.00155539,-2.76735
0.000346326,2887.45,0.160167,0.00161155,1.94693
0.000352986,2832.97,0.43668,0.0119792,2.24451
0.000359646,2780.51,0.204322,0.00262257,-2.09692
0.000366306,2729.95,0.235145,0.00347353,0.765057
0.000372967,2681.21,0.27317,0.00468775,-1.04483
0.000379627,2634.17,0.164363,0.00169709,-1.92365
0.000386287,2588.75,0.120381,0.000910365,-0.391455
0.000392947,2544.87,0.0410627,0.000105924,-3.03974
0.000399607,2502.46,0.158395,0.00157609,0.348094
0.000406267,2461.43,0.0723889,0.000329187,0.0973206
0.000412927,2421.73,0.443589,0.0123612,2.51737
0.000419587,2383.29,0.130728,0.00107358,2.94715
0.000426247,2346.05,0.250343,0.00393705,0.518654
0.000432908,2309.96,0.177391,0.00197679,0.683186
0.000439568,2274.96,0.26645,0.00445994,2.76382
0.000446228,2241.01,0.0797626,0.000399666,2.61167
0.000452888,2208.05,0.233494,0.00342493,2.82049
0.000459548,2176.05,0.450728,0.0127623,0.329397
0.000466208,2144.96,0.183311,0.00211093,-0.534533
0.000472868,2114.75,0.115519,0.000838312,-1.87291
0.000479528,2085.38,0.305479,0.00586223,-2.38639
0.000486189,2056.82,0.181846,0.00207733,2.07028
0.000492849,2029.02,0.17814,0.00199352,0.413489
0.000499509,2001.97,0.201186,0.0025427,-1.81275
0.000506169,1975.63,0.0688407,0.000297707,-0.382247
0.000512829,1949.97,0.198725,0.00248086,0.91824
0.000519489,1924.97,0.0947323,0.000563761,-0.0294647
0.000526149,1900.6,0.0772658,0.000375037,-0.627607
0.000532809,1876.84,0.268644,0.0045337,2.50124
0.000539469,1853.67,0.0486584,0.000148736,1.24368
0.00054613,1831.07,0.135314,0.00115024,-2.78105
0.00055279,1809.01,0.170774,0.00183206,1.87908
0.00055945,1787.47,0.0291041,5.32118e-05,-1.89885
0.00056611,1766.44,0.135963,0.00116129,-2.29704
0.00057277,1745.9,0.0208639,2.73458e-05,-2.71437
0.00057943,1725.83,0.14091,0.00124733,2.80132
0.00058609,1706.22,0.103577,0.000673943,1.01746
0.00059275,1687.05,0.341769,0.00733779,1.08543
