freq_1m,wavelength_m,B_amp,B_psd,B_phase_rad
0,inf,2.60286e-10,4.50475e-21,3.14159
6.79243e-06,147223,34747.8,8.0283e+07,-1.99385
1.35849e-05,73611.4,53065.9,1.8724e+08,2.21383
2.03773e-05,49074.2,19674.9,2.57391e+07,0.222834
2.71697e-05,36805.7,45480.6,1.37538e+08,1.70898
3.39621e-05,29444.5,13518.6,1.21515e+07,0.345949
4.07546e-05,24537.1,8909.24,5.27776e+06,-1.28129
4.7547e-05,21031.8,33196.2,7.32735e+07,-0.743234
5.43394e-05,18402.8,19288.9,2.47391e+07,-2.69477
6.11319e-05,16358.1,24391.5,3.95591e+07,2.33618
6.79243e-05,14722.3,26745.7,4.7564e+07,-0.465587
7.47167e-05,13383.9,27423.8,5.00064e+07,0.239397
8.15092e-05,12268.6,35105.5,8.19445e+07,-0.739088
8.83016e-05,11324.8,34872.1,8.08585e+07,-2.01204
9.5094e-05,10515.9,35540.7,8.39886e+07,1.66201
0.000101886,9814.85,18248.6,2.21426e+07,3.11937
0.000108679,9201.42,30029.8,5.99617e+07,-1.65005
0.000115471,8660.16,6193.69,2.55075e+06,-0.937763
0.000122264,8179.04,17160.3,1.95802e+07,1.8632
0.000129056,7748.56,23476.5,3.66467e+07,-1.1268
0.000135849,7361.14,30585.1,6.21997e+07,2.85349
0.000142641,7010.61,27406.1,4.99417e+07,1.30394
0.000149433,6691.94,11007.6,8.05668e+06,-0.808057
0.000156226,6400.99,13721.9,1.25198e+07,-2.97625
0.000163018,6134.28,12585.4,1.05318e+07,-0.800298
0.000169811,5888.91,18792.6,2.34823e+07,2.70519
0.000176603,5662.41,14699.9,1.43681e+07,-1.29294
0.000183396,5452.69,3601.7,862550,-3.01926
0.000190188,5257.95,48999.4,1.59644e+08,1.57774
0.00019698,5076.65,23322.1,3.61662e+07,-0.428795
0.000203773,4907.42,8008.2,4.26421e+06,-0.609674
0.000210565,4749.12,34371.4,7.85532e+07,0.398986
0.000217358,4600.71,14216.1,1.34378e+07,-3.02157
0.00022415,4461.29,30965.2,6.37554e+07,1.64109
0.000230943,4330.08,20775.5,2.86993e+07,0.209588
0.000237735,4206.36,11685.1,9.07886e+06,0.255618
0.000244527,4089.52,14235.9,1.34752e+07,-0.704645
0.00025132,3978.99,19413.1,2.50588e+07,1.25554
0.000258112,3874.28,3979.02,1.05274e+06,-2.095
0.000264905,3774.94,11097.7,8.18906e+06,0.689646
0.000271697,3680.57,19370.6,2.49491e+07,0.618288
0.00027849,3590.8,17578.7,2.05468e+07,-1.0954
0.000285282,3505.3,14461.1,1.39051e+07,-1.98954
0.000292074,3423.78,19147.4,2.43774e+07,0.10678
0.000298867,3345.97,3201.55,681535,2.95571
0.000305659,3271.62,10519.9,7.35859e+06,1.46067
0.000312452,3200.49,14727.3,1.44217e+07,0.688306
0.000319244,3132.4,17445.5,2.02365e+07,-1.30317
0.000326037,3067.14,14199.3,1.3406e+07,2.32081
0.000332829,3004.55,12080.9,9.70435e+06,2.31918
0.000339621,2944.45,1218,98643.1,-3.01346
0.000346414,2886.72,16498.8,1.80998e+07,2.92065
0.000353206,2831.21,18606.9,2.30205e+07,0.242854
0.000359999,2777.79,24120.8,3.86857e+07,-1.93943
0.000366791,2726.35,21735.7,3.14136e+07,2.6064
0.000373584,2676.78,9723.19,6.28618e+06,1.04305
0.000380376,2628.98,13104.7,1.14189e+07,-2.63036
0.000387169,2582.85,21598.2,3.10174e+07,0.658736
0.000393961,2538.32,22247.6,3.29106e+07,-1.23028
0.000400753,2495.3,17053.9,1.93383e+07,2.89607
0.000407546,2453.71,11563.8,8.89133e+06,1.05711
0.000414338,2413.49,2320.88,358158,0.179953
0.000421131,2374.56,10543.3,7.39131e+06,-1.99158
0.000427923,2336.87,10470.6,7.28967e+06,2.11762
0.000434716,2300.35,16249.8,1.75576e+07,0.551769
0.000441508,2264.96,13896.5,1.28404e+07,-1.45736
0.0004483,2230.65,18840.4,2.36021e+07,2.31806
0.000455093,2197.35,21054.5,2.94753e+07,0.30259
0.000461885,2165.04,677.938,30559.7,0.894612
0.000468678,2133.66,13691.9,1.24651e+07,1.66202
0.00047547,2103.18,9582.58,6.10568e+06,0.606737
0.000482263,2073.56,8244.08,4.51911e+06,1.86052
0.000489055,2044.76,6630.51,2.92323e+06,2.36576
0.000495847,2016.75,16547.6,1.82071e+07,1.53901
0.00050264,1989.5,10712.9,7.63109e+06,-1.09385
0.000509432,1962.97,11695.7,9.09539e+06,2.02292
0.000516225,1937.14,17951.4,2.14271e+07,-0.204905
0.000523017,1911.98,16882.8,1.89522e+07,-2.24723
0.00052981,1887.47,4276.93,1.21628e+06,1.93896
0.000536602,1863.58,2432.36,393390,-0.211042
0.000543394,1840.28,4690.45,1.46285e+06,0.991908
0.000550187,1817.56,21356.6,3.03272e+07,-0.913414
0.000556979,1795.4,5186.34,1.78851e+06,-1.68769
0.000563772,1773.77,13823.3,1.27055e+07,0.582956
0.000570564,1752.65,17533.2,2.04406e+07,-2.23749
0.000577357,1732.03,6354.48,2.68491e+06,2.5835
0.000584149,1711.89,10272.7,7.01675e+06,0.739092
0.000590941,1692.22,2984.95,592437,-1.36291
0.000597734,1672.99,6886.36,3.15318e+06,-2.39001
0.000604526,1654.19,3916.21,1.01977e+06,-2.87748
0.000611319,1635.81,2570.44,439323,1.71075
0.000618111,1617.83,6336.24,2.66951e+06,2.20528
0.000624904,1600.25,1927.5,247034,2.26287
0.000631696,1583.04,7223.36,3.46934e+06,-2.28623
0.000638488,1566.2,6808.78,3.08253e+06,-2.92838
0.000645281,1549.71,10659.4,7.55503e+06,2.84937
0.000652073,1533.57,5863.59,2.28611e+06,2.45775
0.000658866,1517.76,5911.34,2.32349e+06,2.79964
0.000665658,1502.27,5550.94,2.04881e+06,1.14903
0.000672451,1487.1,6395.66,2.71982e+06,-1.98471
0.000679243,1472.23,17072.9,1.93814e+07,-2.92159
0.000686035,1457.65,10001.7,6.65143e+06,1.85016
0.000692828,1443.36,7637.16,3.87822e+06,-1.08758
0.00069962,1429.35,7772.69,4.01709e+06,3.05683
0.000706413,1415.6,9658.89,6.20331e+06,0.537907
0.000713205,1402.12,12784.6,1.08678e+07,-1.37181
0.000719998,1388.89,8549.38,4.86002e+06,3.01164
0.00072679,1375.91,11485.2,8.77088e+06,0.618188
0.000733582,1363.17,2523,423255,-0.516733
0.000740375,1350.67,6080.03,2.45799e+06,3.04695
0.000747167,1338.39,4629.43,1.42503e+06,-0.397949
0.00075396,1326.33,3413.76,774882,-0.698368
0.000760752,1314.49,1851,227816,1.47023
0.000767545,1302.86,5210.15,1.80497e+06,-1.9137
0.000774337,1291.43,6084.22,2.46138e+06,0.688381
0.000781129,1280.2,8698.75,5.03133e+06,-0.750654
0.000787922,1269.16,7041.05,3.29643e+06,-2.89094
0.000794714,1258.31,5445.46,1.97168e+06,1.09011
0.000801507,1247.65,5133.45,1.75222e+06,-0.649958
0.000808299,1237.17,1888.27,237081,1.50408
0.000815092,1226.86,3833.61,977204,0.1196
0.000821884,1216.72,3223.9,691088,1.01592
0.000828676,1206.74,2812,525774,0.611562
0.000835469,1196.93,1357.19,122476,-2.8548
0.000842261,1187.28,4378.77,1.27489e+06,1.96247
0.000849054,1177.78,3987.66,1.05732e+06,0.46957
0.000855846,1168.43,7596.78,3.83732e+06,-1.87654
0.000862639,1159.23,3575.81,850195,2.45747
0.000869431,1150.18,6360,2.68957e+06,-0.532997
0.000876223,1141.26,6707.17,2.99121e+06,2.69814
0.000883016,1132.48,5334.22,1.89195e+06,0.0468148
0.000889808,1123.84,9351.25,5.81445e+06,-2.70382
0.000896601,1115.32,9649.33,6.19104e+06,1.84308
0.000903393,1106.94,3569.29,847094,0.643676
