freq_1m,wavelength_m,B_amp,B_psd,B_phase_rad
0,inf,2.27374e-12,4.72328e-25,0
9.65023e-06,103624,12167.3,1.35255e+07,-2.91966
1.93005e-05,51812.2,19298.4,3.40256e+07,2.01039
2.89507e-05,34541.5,38946.4,1.38579e+08,2.86292
3.86009e-05,25906.1,17417.5,2.77163e+07,-1.81105
4.82511e-05,20724.9,23014.7,4.83922e+07,-3.08659
5.79014e-05,17270.7,15150.4,2.09705e+07,-2.62136
6.75516e-05,14803.5,17492.7,2.79562e+07,0.0484788
7.72018e-05,12953.1,18021.7,2.96726e+07,-1.10274
8.6852e-05,11513.8,50241.6,2.30616e+08,-0.827182
9.65023e-05,10362.4,15773.6,2.27312e+07,1.18536
0.000106153,9420.41,30992.8,8.77576e+07,0.748024
0.000115803,8635.37,5133.28,2.40743e+06,0.943701
0.000125453,7971.12,22653.1,4.68832e+07,-0.47876
0.000135103,7401.75,40575.7,1.50416e+08,2.83861
0.000144753,6908.3,30896.4,8.72127e+07,1.30513
0.000154404,6476.53,27238.1,6.77822e+07,-3.05815
0.000164054,6095.56,12743.4,1.48366e+07,-0.939314
0.000173704,5756.92,31070,8.81956e+07,-1.4124
0.000183354,5453.92,58053.5,3.07907e+08,-0.0503825
0.000193005,5181.22,22455.1,4.60675e+07,-2.12754
0.000202655,4934.5,32939.3,9.91269e+07,0.463543
0.000212305,4710.2,25970.7,6.16212e+07,1.17862
0.000221955,4505.41,10469.7,1.00146e+07,2.20627
0.000231605,4317.69,13861.3,1.75538e+07,0.36515
0.000241256,4144.98,17060,2.65901e+07,-0.679482
0.000250906,3985.56,18601.5,3.16126e+07,2.68028
0.000260556,3837.94,22089.7,4.45803e+07,-2.59567
0.000270206,3700.87,12864.5,1.51198e+07,-1.13952
0.000279857,3573.26,7032.86,4.51885e+06,1.55367
0.000289507,3454.15,37912.7,1.3132e+08,0.526412
0.000299157,3342.73,15072.4,2.07554e+07,0.216111
0.000308807,3238.27,22673.2,4.69667e+07,1.30937
0.000318458,3140.14,35283.7,1.13739e+08,2.00628
0.000328108,3047.78,31824.6,9.25315e+07,0.598699
0.000337758,2960.7,11047.6,1.11506e+07,-1.90803
0.000347408,2878.46,14764.4,1.99156e+07,-1.13594
0.000357058,2800.66,17258.3,2.7212e+07,-1.66269
0.000366709,2726.96,11000.2,1.10551e+07,1.20078
0.000376359,2657.04,6622.46,4.00683e+06,-0.818101
0.000386009,2590.61,7026.5,4.51068e+06,-1.10792
0.000395659,2527.43,21640,4.27837e+07,-0.317456
0.00040531,2467.25,19149.3,3.35018e+07,1.27884
0.00041496,2409.87,10576.6,1.02202e+07,0.0938825
0.00042461,2355.1,8214.52,6.16492e+06,2.72053
0.00043426,2302.77,8661.37,6.85387e+06,-0.805646
0.00044391,2252.71,22337.2,4.55849e+07,-1.91933
0.000453561,2204.78,9323.36,7.9416e+06,-0.315737
0.000463211,2158.84,9311.79,7.92191e+06,-1.08082
0.000472861,2114.79,7222.86,4.7663e+06,1.28314
0.000482511,2072.49,5271.15,2.53848e+06,-0.187185
0.000492162,2031.85,7247.23,4.79852e+06,1.05339
0.000501812,1992.78,5256.85,2.52473e+06,-3.04629
0.000511462,1955.18,5392.39,2.6566e+06,-1.68846
0.000521112,1918.97,13490.4,1.6627e+07,-2.21937
0.000530763,1884.08,15002.8,2.0564e+07,2.18542
0.000540413,1850.44,10337.3,9.76289e+06,-0.458222
0.000550063,1817.97,18201.9,3.0269e+07,0.648374
0.000559713,1786.63,5626.13,2.8919e+06,-0.520372
0.000569363,1756.35,13731.4,1.72263e+07,-1.4711
0.000579014,1727.07,10180.6,9.46906e+06,0.328436
0.000588664,1698.76,14187.6,1.83901e+07,0.759028
0.000598314,1671.36,5972.14,3.25854e+06,-2.33533
0.000607964,1644.83,9125.18,7.60758e+06,-2.38383
0.000617615,1619.13,6279.45,3.60252e+06,0.189615
0.000627265,1594.22,9853.42,8.87028e+06,-1.56076
0.000636915,1570.07,7827.61,5.59786e+06,1.47428
0.000646565,1546.63,7746.1,5.48188e+06,-0.388376
0.000656215,1523.89,7782.42,5.5334e+06,0.619789
0.000665866,1501.8,11432,1.19401e+07,-1.18761
0.000675516,1480.35,12746.3,1.48432e+07,-2.04695
0.000685166,1459.5,1174.14,125952,2.70398
0.000694816,1439.23,17072.2,2.66281e+07,-2.77997
0.000704467,1419.51,9963.3,9.06922e+06,-2.4355
0.000714117,1400.33,541.327,26772.1,-1.67062
0.000723767,1381.66,5740.88,3.01106e+06,-0.484711
0.000733417,1363.48,14343.5,1.87962e+07,-2.42986
0.000743068,1345.77,10343.3,9.77425e+06,-0.567538
0.000752718,1328.52,15714.9,2.25624e+07,-0.985785
0.000762368,1311.7,7714.1,5.43668e+06,1.75417
