freq_1m,wavelength_m,B_amp,B_psd,B_phase_rad
0,inf,1.45519e-10,1.36849e-21,0
6.93262e-06,144246,32338.8,6.7585e+07,-0.677173
1.38652e-05,72122.8,17097.1,1.88906e+07,1.9135
2.07978e-05,48081.9,30376,5.96299e+07,2.74882
2.77305e-05,36061.4,98579.5,6.28022e+08,-3.1107
3.46631e-05,28849.1,36014.4,8.38213e+07,1.86608
4.15957e-05,24040.9,36821.2,8.76187e+07,1.06647
4.85283e-05,20606.5,10035.7,6.50869e+06,-1.01534
5.54609e-05,18030.7,44999.4,1.30863e+08,-1.51937
6.23935e-05,16027.3,30502.7,6.01284e+07,-2.74627
6.93262e-05,14424.6,30502.4,6.01272e+07,-0.996549
7.62588e-05,13113.2,14819.8,1.41933e+07,-1.06914
8.31914e-05,12020.5,15638.6,1.58051e+07,1.91864
9.0124e-05,11095.8,46649.2,1.40634e+08,0.208665
9.70566e-05,10303.3,27523.6,4.89565e+07,1.92083
0.000103989,9616.38,38191.5,9.42618e+07,0.672008
0.000110922,9015.36,27804.4,4.99608e+07,1.71569
0.000117854,8485.04,23604.1,3.6006e+07,-2.87063
0.000124787,8013.65,40506.6,1.06036e+08,-1.37799
0.00013172,7591.88,36534.3,8.62589e+07,-2.79747
0.000138652,7212.28,16343.8,1.72627e+07,0.733161
0.000145585,6868.84,14999.7,1.45401e+07,1.21723
0.000152518,6556.62,35280.7,8.04409e+07,1.44219
0.00015945,6271.55,38031.5,9.34735e+07,-0.125788
0.000166383,6010.24,9389.02,5.69695e+06,-0.254243
0.000173315,5769.83,18668.9,2.25237e+07,-0.580686
0.000180248,5547.91,15355.5,1.5238e+07,-2.02622
0.000187181,5342.43,21048.9,2.86327e+07,2.9417
0.000194113,5151.63,40872.6,1.07961e+08,-0.487673
0.000201046,4973.99,25194.1,4.10202e+07,-0.0130627
0.000207978,4808.19,26376.3,4.49603e+07,2.58608
0.000214911,4653.09,15920.3,1.63796e+07,0.855251
0.000221844,4507.68,22316.6,3.21852e+07,-2.24484
0.000228776,4371.08,15599.1,1.57253e+07,0.846026
0.000235709,4242.52,27584.3,4.91728e+07,0.726982
0.000242642,4121.31,25250,4.12025e+07,0.855619
0.000249574,4006.82,28252,5.15822e+07,-2.95382
0.000256507,3898.53,18466,2.20367e+07,2.16704
0.000263439,3795.94,10172.2,6.68701e+06,-1.07518
0.000270372,3698.61,26417.2,4.50999e+07,-1.93543
0.000277305,3606.14,9283.77,5.56994e+06,1.48311
0.000284237,3518.19,18516,2.21563e+07,-0.351732
0.00029117,3434.42,5390.74,1.87801e+06,1.02613
0.000298102,3354.55,23478.1,3.56228e+07,0.728822
0.000305035,3278.31,26627.4,4.58206e+07,1.56258
0.000311968,3205.46,27066.2,4.73429e+07,1.17463
0.0003189,3135.78,22599.1,3.30053e+07,2.93149
0.000325833,3069.06,19984.1,2.5809e+07,-1.97554
0.000332766,3005.12,13122.5,1.11284e+07,-1.72689
0.000339698,2943.79,6852.59,3.03466e+06,2.20923
0.000346631,2884.91,12363.8,9.87888e+06,2.49403
0.000353563,2828.35,16030.3,1.66069e+07,2.25102
0.000360496,2773.96,11915.8,9.17595e+06,-1.88543
0.000367429,2721.62,7444.47,3.58153e+06,-1.51309
0.000374361,2671.22,13028.2,1.0969e+07,-0.522035
0.000381294,2622.65,7863.18,3.99575e+06,-0.77319
0.000388226,2575.82,12219.1,9.64895e+06,-0.0349196
0.000395159,2530.63,5393.69,1.88007e+06,0.731662
0.000402092,2486.99,12009.4,9.32066e+06,-3.13847
0.000409024,2444.84,21323.4,2.93842e+07,1.83831
0.000415957,2404.09,18493.3,2.21019e+07,2.74291
0.00042289,2364.68,12831.3,1.064e+07,-0.610534
0.000429822,2326.54,13337.1,1.14954e+07,-0.120859
0.000436755,2289.61,18659.2,2.25002e+07,-1.77194
0.000443687,2253.84,5218.3,1.75979e+06,1.45873
0.00045062,2219.16,29044.2,5.45156e+07,-2.92187
0.000457553,2185.54,14961.3,1.44657e+07,2.07179
0.000464485,2152.92,17400.6,1.95673e+07,1.16097
0.000471418,2121.26,12486.2,1.00755e+07,0.797854
0.00047835,2090.52,28011.3,5.07071e+07,0.501955
0.000485283,2060.65,5741.98,2.13071e+06,-1.23193
0.000492216,2031.63,4361.56,1.22938e+06,-2.45226
0.000499148,2003.41,14952.1,1.4448e+07,2.75494
0.000506081,1975.97,50347.2,1.63814e+08,2.55825
0.000513014,1949.27,8558.48,4.73364e+06,2.73035
0.000519946,1923.28,23304.5,3.50981e+07,2.86576
0.000526879,1897.97,18734.5,2.26823e+07,-0.205538
0.000533811,1873.32,18982.2,2.3286e+07,-1.05695
0.000540744,1849.3,17514.6,1.98245e+07,-2.44818
0.000547677,1825.89,11915.7,9.17568e+06,1.37095
0.000554609,1803.07,8494.98,4.66366e+06,-0.439541
0.000561542,1780.81,18359,2.17822e+07,-0.152841
0.000568474,1759.09,20023,2.59095e+07,1.1063
0.000575407,1737.9,9066.72,5.31254e+06,0.99012
0.00058234,1717.21,4999.3,1.61517e+06,-2.40173
0.000589272,1697.01,23573.1,3.59117e+07,2.54907
0.000596205,1677.28,10829,7.57838e+06,2.38383
0.000603138,1658,8796.56,5.00066e+06,-0.20433
0.00061007,1639.16,30001,5.81665e+07,3.0459
0.000617003,1620.74,6517.71,2.74531e+06,-1.073
0.000623935,1602.73,1957.31,247584,-0.768541
0.000630868,1585.12,4657.26,1.40173e+06,-0.810839
0.000637801,1567.89,21826.4,3.0787e+07,0.101364
0.000644733,1551.03,10938.4,7.73228e+06,1.55481
0.000651666,1534.53,17530.2,1.98598e+07,-1.85796
0.000658598,1518.38,21248.1,2.91772e+07,2.97142
0.000665531,1502.56,27123.2,4.75427e+07,1.97735
0.000672464,1487.07,6014,2.33737e+06,-2.63223
0.000679396,1471.89,18417.6,2.19213e+07,1.33155
0.000686329,1457.03,18276.1,2.15859e+07,-1.51243
0.000693262,1442.46,20212.6,2.64025e+07,-0.960923
0.000700194,1428.18,8425.45,4.58763e+06,-1.77705
0.000707127,1414.17,11075.8,7.92783e+06,-2.0176
0.000714059,1400.44,15638,1.58039e+07,1.6573
0.000720992,1386.98,2612.35,441025,1.61824
0.000727925,1373.77,23795.9,3.65936e+07,0.129516
0.000734857,1360.81,4466.77,1.28941e+06,-0.382459
0.00074179,1348.09,10265.3,6.80999e+06,-2.59535
0.000748722,1335.61,1986.12,254925,-0.131307
0.000755655,1323.36,6098.01,2.40313e+06,1.12157
