freq_1m,wavelength_m,B_amp,B_psd,B_phase_rad
0,inf,1.88948e-10,2.25215e-21,3.14159
6.73649e-06,148445,28592.9,5.15743e+07,-2.3233
1.3473e-05,74222.6,30956.6,6.04536e+07,1.76366
2.02095e-05,49481.7,13484.7,1.1471e+07,-0.867276
2.6946e-05,37111.3,33048.9,6.89014e+07,2.51119
3.36825e-05,29689,13072.3,1.078e+07,-1.20575
4.0419e-05,24740.9,34817.2,7.64723e+07,2.61258
4.71555e-05,21206.5,16604.5,1.73926e+07,-0.0201679
5.38919e-05,18555.6,21263.7,2.85228e+07,-0.782188
6.06284e-05,16493.9,2996.41,566392,0.169143
6.73649e-05,14844.5,9806.69,6.06681e+06,0.122476
7.41014e-05,13495,27700.1,4.84036e+07,-0.115595
8.08379e-05,12370.4,29374.8,5.44334e+07,-0.782198
8.75744e-05,11418.9,20248.8,2.58652e+07,-1.27294
9.43109e-05,10603.2,45113.4,1.28389e+08,2.09077
0.000101047,9896.35,4261.84,1.1458e+06,1.33582
0.000107784,9277.82,34438.5,7.48176e+07,-1.8855
0.00011452,8732.07,8594.04,4.65918e+06,2.06516
0.000121257,8246.95,18211,2.09211e+07,3.04513
0.000127993,7812.9,29119.1,5.34898e+07,0.680743
0.00013473,7422.26,23873.5,3.59541e+07,-1.3434
0.000141466,7068.82,20564.2,2.6677e+07,2.68701
0.000148203,6747.51,53318.5,1.79338e+08,0.39118
0.000154939,6454.14,19840.9,2.48334e+07,-2.12762
0.000161676,6185.22,5575.14,1.96077e+06,-2.5291
0.000168412,5937.81,23745.1,3.55684e+07,3.06303
0.000175149,5709.43,7733.59,3.77292e+06,-0.0756852
0.000181885,5497.97,20484.5,2.64706e+07,1.11901
0.000188622,5301.61,18135.5,2.0748e+07,2.54167
0.000195358,5118.8,21836.7,3.00809e+07,1.96
0.000202095,4948.17,38881.4,9.5367e+07,0.270066
0.000208831,4788.55,24735.1,3.8596e+07,-1.439
0.000215568,4638.91,17807.4,2.00039e+07,1.95447
0.000222304,4498.34,17078.1,1.83991e+07,1.58215
0.000229041,4366.03,17567.8,1.94693e+07,0.691772
0.000235777,4241.29,7197.25,3.26775e+06,-1.50179
0.000242514,4123.48,16656.9,1.75026e+07,1.34418
0.00024925,4012.03,21572.7,2.93578e+07,2.08282
0.000255987,3906.45,3110.56,610369,0.0395288
0.000262723,3806.29,20430.4,2.63311e+07,0.541735
0.00026946,3711.13,19151.8,2.31385e+07,2.2808
0.000276196,3620.61,8278.03,4.32285e+06,-0.382125
0.000282933,3534.41,11534.1,8.39227e+06,-1.54137
0.000289669,3452.21,13100.7,1.08269e+07,0.358405
0.000296406,3373.75,9946.7,6.24128e+06,2.47569
0.000303142,3298.78,28476.5,5.11549e+07,0.993281
0.000309879,3227.07,13701,1.18419e+07,-1.98367
0.000316615,3158.41,16486.5,1.71464e+07,1.80999
0.000323352,3092.61,13673,1.17934e+07,1.32449
0.000330088,3029.49,10276.2,6.66163e+06,1.76593
0.000336825,2968.9,21485.2,2.91201e+07,-2.36836
0.000343561,2910.69,27356.6,4.72106e+07,2.76338
0.000350298,2854.72,17155.9,1.8567e+07,1.18238
0.000357034,2800.85,3924.82,971748,-0.300486
0.000363771,2748.98,8680.01,4.75286e+06,0.292597
0.000370507,2699,10141.2,6.48781e+06,-2.53025
0.000377244,2650.81,19255.4,2.33894e+07,0.640382
0.00038398,2604.3,16323.7,1.68093e+07,-1.2184
0.000390717,2559.4,8230.64,4.27349e+06,2.68944
0.000397453,2516.02,6179.29,2.40875e+06,1.42765
0.00040419,2474.09,13147,1.09036e+07,1.26105
0.000410926,2433.53,11906.2,8.94252e+06,1.23147
0.000417663,2394.28,9476.72,5.66542e+06,-2.98605
0.000424399,2356.27,11773.3,8.74409e+06,1.09149
0.000431136,2319.46,24672.7,3.84016e+07,-0.444362
0.000437872,2283.77,4874.34,1.49881e+06,-0.706038
0.000444609,2249.17,11523.7,8.37724e+06,2.80955
0.000451345,2215.6,9460.77,5.64635e+06,1.10196
0.000458082,2183.02,8400.88,4.4521e+06,3.07739
0.000464818,2151.38,10259.3,6.63975e+06,0.974094
0.000471555,2120.65,19613.4,2.42673e+07,1.86207
0.000478291,2090.78,18506.2,2.16048e+07,1.61651
0.000485028,2061.74,6389.75,2.57563e+06,-2.44659
0.000491764,2033.5,8095.34,4.13415e+06,2.21175
0.000498501,2006.02,4898.67,1.51381e+06,1.7967
0.000505237,1979.27,11605.2,8.49609e+06,2.37095
0.000511974,1953.23,7792.98,3.83109e+06,-2.18644
0.00051871,1927.86,6192.67,2.4192e+06,-2.60611
0.000525446,1903.14,15660,1.54704e+07,0.742777
0.000532183,1879.05,10428.7,6.86078e+06,-2.16218
0.000538919,1855.56,10711.6,7.23803e+06,3.00217
0.000545656,1832.66,15487.4,1.51311e+07,-2.06724
0.000552392,1810.31,18253.9,2.10196e+07,1.32197
0.000559129,1788.5,5703.34,2.05199e+06,-0.415193
0.000565865,1767.2,12254.3,9.47317e+06,2.66404
0.000572602,1746.41,7495.77,3.54444e+06,0.535169
0.000579338,1726.11,13904.9,1.2197e+07,-0.882651
0.000586075,1706.27,11043.5,7.69353e+06,-0.752736
0.000592811,1686.88,19230.7,2.33294e+07,-3.11606
0.000599548,1667.92,6746.64,2.87138e+06,0.72898
0.000606284,1649.39,7434.02,3.48629e+06,-2.16734
0.000613021,1631.27,18807.6,2.23143e+07,1.85568
0.000619757,1613.53,7085.73,3.16727e+06,-0.412994
0.000626494,1596.18,12462,9.79703e+06,2.90003
0.00063323,1579.2,10408.6,6.83444e+06,0.107506
0.000639967,1562.58,8936.24,5.03761e+06,-1.82384
0.000646703,1546.3,6354.44,2.54724e+06,3.03395
0.00065344,1530.36,493.57,15367.8,1.00818
0.000660176,1514.75,15719.5,1.55881e+07,-2.07306
0.000666913,1499.45,7210.72,3.27999e+06,1.77406
0.000673649,1484.45,9286.17,5.43987e+06,1.0022
0.000680386,1469.75,3050.13,586884,0.690504
0.000687122,1455.34,4735.64,1.41473e+06,-0.269304
0.000693859,1441.22,14137.7,1.26088e+07,-2.17753
0.000700595,1427.36,11368.6,8.15316e+06,1.42612
0.000707332,1413.76,7325.44,3.38519e+06,-1.44389
0.000714068,1400.43,15068.8,1.43243e+07,2.68856
0.000720805,1387.34,5702.28,2.05122e+06,0.300714
0.000727541,1374.49,6993.59,3.08543e+06,0.280141
0.000734278,1361.88,8583.6,4.64787e+06,-0.215979
0.000741014,1349.5,3884.85,952057,2.04753
0.000747751,1337.34,10064.2,6.38962e+06,-0.149456
0.000754487,1325.4,10812.2,7.37469e+06,-2.39572
0.000761224,1313.67,5536.83,1.93392e+06,2.09911
0.00076796,1302.15,3447.47,749749,1.55664
0.000774697,1290.83,11137.2,7.82467e+06,2.318
0.000781433,1279.7,5148.29,1.67202e+06,1.8015
0.00078817,1268.76,9252.77,5.40081e+06,-1.24515
0.000794906,1258.01,5047.85,1.60741e+06,-1.28729
0.000801643,1247.44,14997.1,1.41883e+07,2.03964
0.000808379,1237.04,11674.4,8.59781e+06,-1.33524
0.000815116,1226.82,4709.02,1.39887e+06,2.84254
0.000821852,1216.76,8012.26,4.04973e+06,0.570711
0.000828589,1206.87,12328.2,9.58764e+06,2.64698
0.000835325,1197.14,7948.76,3.98579e+06,2.52607
0.000842062,1187.56,4829.79,1.47154e+06,1.72597
0.000848798,1178.14,3098.79,605759,-2.01354
0.000855535,1168.86,9143.59,5.27411e+06,2.82913
0.000862271,1159.73,2351.11,348708,-2.57875
0.000869008,1150.74,7813.82,3.85161e+06,-3.01612
0.000875744,1141.89,5960.89,2.24149e+06,-0.431449
0.000882481,1133.17,7205.83,3.27554e+06,-2.00111
0.000889217,1124.58,7872.16,3.90934e+06,1.42563
0.000895954,1116.13,13020.6,1.06949e+07,-1.31839
0.00090269,1107.8,14499,1.32614e+07,2.84401
0.000909427,1099.59,11383.5,8.17465e+06,-0.0373582
0.000916163,1091.51,19402.2,2.37475e+07,2.98317
0.0009229,1083.54,6895.31,2.99932e+06,0.937462
0.000929636,1075.69,2055.12,266435,-2.81603
0.000936373,1067.95,8599.69,4.66532e+06,0.41284
0.000943109,1060.32,4868.45,1.49519e+06,2.68488
0.000949846,1052.8,4956.91,1.55002e+06,-1.66767
0.000956582,1045.39,12733,1.02276e+07,-1.82131
0.000963319,1038.08,5942.86,2.22795e+06,2.66553
0.000970055,1030.87,3568.71,803411,1.63529
0.000976792,1023.76,4290.04,1.16101e+06,1.29923
0.000983528,1016.75,5528.17,1.92787e+06,-2.98334
0.000990265,1009.83,19747.2,2.45996e+07,1.54854
0.000997001,1003.01,11392.8,8.18794e+06,-0.737334
0.00100374,996.276,8001.58,4.03893e+06,2.8943
0.00101047,989.635,10055.2,6.37814e+06,-0.32884
0.00101721,983.081,15771.6,1.56915e+07,-2.79709
0.00102395,976.613,3103.19,607480,0.857784
0.00103068,970.23,13227.5,1.10374e+07,-2.38598
0.00103742,963.93,1205.26,91637.6,2.49763
0.00104416,957.711,1585.11,158502,-0.775595
0.00105089,951.572,10863.1,7.44427e+06,0.597266
0.00105763,945.511,3258.81,669938,0.4336
0.00106437,939.526,7832.12,3.86967e+06,-3.04363
0.0010711,933.617,5364.19,1.8152e+06,-0.142991
0.00107784,927.782,156.3,1541.12,2.03749
0.00108458,922.02,6744.4,2.86948e+06,-1.69913
0.00109131,916.328,15606.7,1.53651e+07,2.51523
0.00109805,910.707,11153.1,7.84705e+06,-0.193289
0.00110478,905.154,4919.63,1.52679e+06,-2.01089
0.00111152,899.668,3065.31,592740,-1.96659
0.00111826,894.248,9079.89,5.20087e+06,2.71027
