freq_1m,wavelength_m,B_amp,B_psd,B_phase_rad
0,inf,2.52385e-10,4.2908e-21,0
6.93584e-06,144179,15742.5,1.66939e+07,-0.0508301
1.38717e-05,72089.3,2460.65,407861,-0.464268
2.08075e-05,48059.6,30279.6,6.17609e+07,3.11194
2.77434e-05,36044.7,51164.9,1.76342e+08,1.91788
3.46792e-05,28835.7,12664.5,1.08041e+07,0.0120788
4.1615e-05,24029.8,15418,1.60128e+07,-1.1784
4.85509e-05,20597,19484.7,2.5574e+07,-1.92966
5.54867e-05,18022.3,37843.8,9.64723e+07,-2.37802
6.24226e-05,16019.9,28684,5.54231e+07,-2.72037
6.93584e-05,14417.9,38017.6,9.73604e+07,0.639547
7.62942e-05,13107.2,13756.1,1.27469e+07,-0.709607
8.32301e-05,12014.9,40279.8,1.09291e+08,-1.1783
9.01659e-05,11090.7,50284.2,1.70324e+08,-1.48808
9.71018e-05,10298.5,25685,4.44396e+07,0.690591
0.000104038,9611.91,27754.7,5.18904e+07,2.39075
0.000110973,9011.17,28299.9,5.39488e+07,1.30234
0.000117909,8481.1,21585.5,3.13859e+07,-0.361923
0.000124845,8009.93,18999.6,2.43165e+07,-1.49083
0.000131781,7588.35,28874.1,5.61601e+07,-1.78498
0.000138717,7208.93,39908.3,1.07285e+08,2.27326
0.000145653,6865.65,25840.5,4.49796e+07,2.86363
0.000152588,6553.58,11897.4,9.53495e+06,0.176246
0.000159524,6268.64,3707.17,925757,-1.78277
0.00016646,6007.44,16446.2,1.82198e+07,1.60743
0.000173396,5767.15,27136.3,4.96036e+07,2.51042
0.000180332,5545.33,9510.38,6.09268e+06,2.04359
0.000187268,5339.95,23954.8,3.86544e+07,0.0632458
0.000194204,5149.24,48433.3,1.58016e+08,0.460611
0.000201139,4971.68,28740.2,5.56408e+07,-1.3769
0.000208075,4805.96,18529.4,2.31278e+07,-2.08437
0.000215011,4650.92,40349.5,1.0967e+08,0.904352
0.000221947,4505.58,36445.9,8.94764e+07,-0.156834
0.000228883,4369.05,15969.4,1.71787e+07,-0.651794
0.000235819,4240.55,7002.9,3.30346e+06,-0.333879
0.000242754,4119.39,11298.6,8.59925e+06,0.56425
0.00024969,4004.96,21334.1,3.06592e+07,-2.10131
0.000256626,3896.72,38841.1,1.01624e+08,1.18454
0.000263562,3794.18,27696.3,5.16722e+07,1.48904
0.000270498,3696.89,19684.3,2.61006e+07,-2.60551
0.000277434,3604.47,516.293,17955.8,0.974941
0.000284369,3516.55,15818.6,1.68557e+07,-1.59855
0.000291305,3432.83,15294.8,1.5758e+07,-0.958982
0.000298241,3352.99,11715.2,9.24506e+06,-1.05867
0.000305177,3276.79,30281.1,6.1767e+07,1.20786
0.000312113,3203.97,26915.2,4.87988e+07,-0.0662623
0.000319049,3134.32,3677.96,911227,-2.94637
0.000325984,3067.63,4783.32,1.54124e+06,1.2932
0.00033292,3003.72,24955.9,4.19527e+07,1.64345
0.000339856,2942.42,4086.72,1.12503e+06,-2.88314
0.000346792,2883.57,32860,7.27359e+07,3.13906
0.000353728,2827.03,21777.3,3.19462e+07,1.35484
0.000360664,2772.67,19547.3,2.57386e+07,-0.619391
0.0003676,2720.35,8803.1,5.22015e+06,2.98818
0.000374535,2669.98,4862.66,1.59279e+06,0.419176
0.000381471,2621.43,3183.83,682830,1.28387
0.000388407,2574.62,23930.1,3.85745e+07,-0.728993
0.000395343,2529.45,9647.74,6.26994e+06,-1.05765
0.000402279,2485.84,6173.09,2.56695e+06,-0.839119
0.000409215,2443.71,12021.3,9.73457e+06,-2.73929
0.00041615,2402.98,19213.9,2.48681e+07,0.417001
0.000423086,2363.58,863.839,50266.5,0.864187
0.000430022,2325.46,4697.34,1.48634e+06,-1.13678
0.000436958,2288.55,17256.9,2.00604e+07,-1.42504
0.000443894,2252.79,26499.1,4.73014e+07,-2.50785
0.00045083,2218.13,11458,8.84366e+06,-1.50518
0.000457765,2184.53,4870.35,1.59784e+06,0.316134
0.000464701,2151.92,2859.76,550897,0.0551589
0.000471637,2120.27,8636.96,5.02498e+06,1.32888
0.000478573,2089.55,10455.9,7.36439e+06,1.75283
0.000485509,2059.7,16298.5,1.7894e+07,-0.0789599
0.000492445,2030.69,13393.5,1.20837e+07,-3.12809
0.00049938,2002.48,16751,1.89014e+07,2.17842
0.000506316,1975.05,9073.31,5.54553e+06,2.68389
0.000513252,1948.36,20859.6,2.93106e+07,-1.77976
0.000520188,1922.38,9388.62,5.93767e+06,-2.51314
0.000527124,1897.09,1826.65,224762,-0.705652
0.00053406,1872.45,2323.38,363624,-1.48733
0.000540995,1848.44,9004.37,5.46158e+06,-2.98312
0.000547931,1825.05,10455.9,7.36432e+06,0.82391
0.000554867,1802.23,16720.3,1.88321e+07,-0.612393
0.000561803,1779.98,6518.87,2.86257e+06,1.36426
0.000568739,1758.28,3601.75,873855,-2.0684
0.000575675,1737.09,3756.93,950775,0.645971
0.000582611,1716.41,5404.23,1.96734e+06,-0.703775
0.000589546,1696.22,5763.39,2.23752e+06,3.05898
0.000596482,1676.5,5373.19,1.9448e+06,2.09106
0.000603418,1657.23,6983.29,3.28498e+06,-1.32063
0.000610354,1638.39,3164.49,674558,-2.16309
0.00061729,1619.98,11564,9.00807e+06,2.54093
0.000624226,1601.99,4219.93,1.19956e+06,0.938632
0.000631161,1584.38,3625.1,885220,-0.752065
0.000638097,1567.16,7786.14,4.08373e+06,2.89289
0.000645033,1550.31,10193,6.99868e+06,-2.6596
0.000651969,1533.82,10689.7,7.69737e+06,-2.4433
0.000658905,1517.67,13875.9,1.29699e+07,2.70202
0.000665841,1501.86,12105.4,9.87115e+06,-3.08532
0.000672776,1486.38,7721.71,4.01642e+06,-2.60411
0.000679712,1471.21,4027.28,1.09253e+06,-1.88265
0.000686648,1456.35,3123.05,657008,-0.933158
0.000693584,1441.79,12008.8,9.71425e+06,-2.3962
0.00070052,1427.51,12374.6,1.03151e+07,1.50545
0.000707456,1413.52,5577.31,2.09537e+06,3.13762
0.000714391,1399.79,4820.25,1.56513e+06,-1.4715
0.000721327,1386.33,4748.73,1.51903e+06,2.80447
0.000728263,1373.13,1552.46,162350,1.35298
0.000735199,1360.18,6599.44,2.93377e+06,2.94223
0.000742135,1347.46,4278.31,1.23298e+06,2.73804
0.000749071,1334.99,11824.3,9.41808e+06,0.500477
0.000756007,1322.74,10940.3,8.06253e+06,-0.889173
0.000762942,1310.72,7461.28,3.75006e+06,-2.39712
0.000769878,1298.91,4119.4,1.14309e+06,1.46249
0.000776814,1287.31,4249.59,1.21648e+06,1.23532
0.00078375,1275.92,5287.74,1.88345e+06,-2.07919
0.000790686,1264.73,5116.7,1.76357e+06,0.662582
0.000797622,1253.73,11085,8.27717e+06,0.348048
0.000804557,1242.92,14594.7,1.43484e+07,-2.07274
0.000811493,1232.3,11386.4,8.73343e+06,-2.49864
0.000818429,1221.85,6958.43,3.26163e+06,2.28596
0.000825365,1211.59,114.068,876.477,-3.08665
0.000832301,1201.49,3954.86,1.0536e+06,-1.82833
0.000839237,1191.56,4100.13,1.13242e+06,-0.00153578
0.000846172,1181.79,3168.03,676067,-1.49625
0.000853108,1172.18,918.64,56846.4,-1.14741
0.000860044,1162.73,10466,7.37861e+06,1.64822
0.00086698,1153.43,9089.48,5.56532e+06,0.78923
0.000873916,1144.28,618.983,25808.9,-1.95818
0.000880852,1135.26,11431.3,8.80238e+06,-2.69186
0.000887787,1126.4,12637.7,1.07584e+07,-3.07869
0.000894723,1117.66,13127.2,1.16079e+07,2.28613
0.000901659,1109.07,12442.6,1.04287e+07,2.16362
0.000908595,1100.6,2298.16,355772,-0.144006
0.000915531,1092.26,11982.1,9.67112e+06,-0.123613
0.000922467,1084.05,10293.6,7.13757e+06,-0.787844
0.000929403,1075.96,2213.11,329928,0.109918
0.000936338,1067.99,7753.46,4.04952e+06,1.7478
0.000943274,1060.14,4891.29,1.6116e+06,1.04516
0.00095021,1052.4,10476.7,7.39374e+06,0.168265
0.000957146,1044.77,1693.27,193137,-2.16776
0.000964082,1037.26,8425.86,4.78235e+06,2.5376
0.000971018,1029.85,8991.58,5.44608e+06,2.45397
0.000977953,1022.54,2189.88,323038,-0.685916
0.000984889,1015.34,6577.89,2.91464e+06,-1.0369
0.000991825,1008.24,14668.6,1.44941e+07,-0.426935
0.000998761,1001.24,11571.2,9.01927e+06,-1.50202
0.0010057,994.336,11753.5,9.30562e+06,-2.31619
0.00101263,987.525,9790.3,6.4566e+06,2.15303
0.00101957,980.807,9522.96,6.1088e+06,0.931088
0.0010265,974.18,1665.6,186875,2.17673
0.00103344,967.642,7808.38,4.10709e+06,1.79702
