freq_1m,wavelength_m,C_amp,C_psd,C_phase_rad
0,inf,3.46945e-17,1.38046e-34,0
1.19559e-05,83640.8,0.025596,7.51355e-05,-1.54349
2.39118e-05,41820.4,0.112956,0.00146326,-2.49543
3.58677e-05,27880.3,0.141865,0.00230809,2.20045
4.78236e-05,20910.2,0.100104,0.00114923,1.11969
5.97795e-05,16728.2,0.144506,0.00239483,-1.00401
7.17354e-05,13940.1,0.065626,0.000493917,-1.64406
8.36913e-05,11948.7,0.0647378,0.000480638,-2.43532
9.56471e-05,10455.1,0.179568,0.00369793,2.25002
0.000107603,9293.42,0.0177961,3.63206e-05,-2.46306
0.000119559,8364.08,0.29411,0.00992025,-0.237453
0.000131515,7603.71,0.0400321,0.000183789,2.5351
0.000143471,6970.06,0.138819,0.00221003,-1.95582
0.000155427,6433.9,0.132301,0.00200739,2.67022
0.000167383,5974.34,0.224575,0.00578398,0.831068
0.000179338,5576.05,0.166887,0.00319408,0.297277
0.000191294,5227.55,0.142752,0.00233705,-1.75351
0.00020325,4920.04,0.199116,0.00454688,-2.34346
0.000215206,4646.71,0.189794,0.00413113,1.61646
0.000227162,4402.15,0.0671328,0.000516858,1.82301
0.000239118,4182.04,0.0260553,7.78562e-05,-2.26589
0.000251074,3982.89,0.0724631,0.000602194,-1.59676
0.00026303,3801.85,0.0790933,0.000717433,0.197344
0.000274986,3636.55,0.139025,0.00221661,-2.88921
0.000286941,3485.03,0.0794573,0.000724052,-1.98822
0.000298897,3345.63,0.150225,0.00258812,1.30694
0.000310853,3216.95,0.049733,0.000283656,-0.208259
0.000322809,3097.81,0.0167245,3.20782e-05,2.00803
0.000334765,2987.17,0.0745916,0.000638091,-1.02185
0.000346721,2884.16,0.143563,0.00236367,-0.916632
0.000358677,2788.03,0.252511,0.00731247,2.35889
0.000370633,2698.09,0.10391,0.00123829,-2.97427
0.000382589,2613.77,0.221705,0.00563705,0.0577583
0.000394544,2534.57,0.100837,0.00116612,3.0134
0.0004065,2460.02,0.107228,0.00131862,0.477868
0.000418456,2389.74,0.097588,0.00109218,-2.3481
0.000430412,2323.35,0.143562,0.00236364,-3.08176
0.000442368,2260.56,0.230359,0.00608575,1.8967
0.000454324,2201.07,0.0601255,0.000414591,0.495935
0.00046628,2144.63,0.254221,0.00741185,-0.864262
0.000478236,2091.02,0.0758619,0.00066001,1.93126
0.000490192,2040.02,0.111621,0.00142888,-3.08274
0.000502148,1991.45,0.0846604,0.000821984,1.53597
0.000514103,1945.13,0.0798078,0.000730454,1.35731
0.000526059,1900.93,0.154373,0.00273303,0.141974
0.000538015,1858.68,0.151151,0.00262015,-2.84894
0.000549971,1818.28,0.0424521,0.000206681,-2.06394
0.000561927,1779.59,0.189941,0.00413751,1.44961
0.000573883,1742.52,0.0657733,0.000496137,-0.703038
0.000585839,1706.95,0.132078,0.00200061,-2.55735
0.000597795,1672.82,0.171259,0.00336363,1.39625
0.000609751,1640.01,0.123102,0.00173792,-1.09698
0.000621706,1608.48,0.104579,0.00125427,1.78247
0.000633662,1578.13,0.0946408,0.00102721,1.35655
0.000645618,1548.9,0.149495,0.00256305,-0.0648755
0.000657574,1520.74,0.121218,0.00168515,-2.49312
0.00066953,1493.58,0.116625,0.00155987,2.32749
0.000681486,1467.38,0.153346,0.00269677,1.11312
0.000693442,1442.08,0.0503158,0.000290343,-1.39496
0.000705398,1417.64,0.0744033,0.000634872,0.781911
0.000717354,1394.01,0.0478062,0.000262102,-1.69672
0.000729309,1371.16,0.0912463,0.000954845,-2.531
0.000741265,1349.04,0.133411,0.00204119,1.38191
0.000753221,1327.63,0.0449372,0.000231587,-0.7407
0.000765177,1306.89,0.10519,0.00126897,0.544295
0.000777133,1286.78,0.109964,0.00138676,-3.09304
0.000789089,1267.28,0.153476,0.00270136,-0.0910357
