freq_1m,wavelength_m,C_amp,C_psd,C_phase_rad
0,inf,6.245e-17,2.46584e-34,3.14159
6.77415e-06,147620,0.0829679,0.00043523,1.98371
1.35483e-05,73810,0.176952,0.00197974,-0.268266
2.03224e-05,49206.7,0.0678171,0.000290788,1.60997
2.70966e-05,36905,0.00961145,5.84086e-06,0.844094
3.38707e-05,29524,0.49027,0.0151974,-2.38253
4.06449e-05,24603.3,0.146921,0.0013648,-0.456424
4.7419e-05,21088.6,0.146264,0.00135262,1.79431
5.41932e-05,18452.5,0.265279,0.00444945,-1.94791
6.09673e-05,16402.2,0.115799,0.000847828,1.02692
6.77415e-05,14762,0.282444,0.00504385,0.153692
7.45156e-05,13420,0.110545,0.000772633,2.08835
8.12898e-05,12301.7,0.242152,0.00370745,-2.06686
8.80639e-05,11355.4,0.0969558,0.000594355,-1.12941
9.4838e-05,10544.3,0.0956931,0.000578975,0.512869
0.000101612,9841.34,0.119193,0.000898255,0.752622
0.000108386,9226.25,0.454071,0.013036,1.58651
0.00011516,8683.53,0.276876,0.00484695,-1.66943
0.000121935,8201.12,0.24607,0.0038284,3.1338
0.000128709,7769.48,0.212458,0.00285394,0.543641
0.000135483,7381,0.184016,0.00214096,-2.8625
0.000142257,7029.53,0.272589,0.00469803,-2.8441
0.000149031,6710,0.042363,0.000113468,-1.80634
0.000155805,6418.26,0.231631,0.00339228,1.96575
0.00016258,6150.84,0.185617,0.00217838,-2.32602
0.000169354,5904.8,0.0872396,0.0004812,-2.42287
0.000176128,5677.7,0.121627,0.000935318,-2.81661
0.000182902,5467.41,0.191238,0.00231232,-2.67317
0.000189676,5272.15,0.178786,0.002021,3.09611
0.00019645,5090.35,0.285408,0.00515028,-0.884639
0.000203224,4920.67,0.323063,0.00659892,-3.0617
0.000209999,4761.94,0.225044,0.00320208,-2.55251
0.000216773,4613.13,0.0547314,0.000189396,-1.58452
0.000223547,4473.34,0.372203,0.00875908,-2.7138
0.000230321,4341.77,0.180026,0.00204913,1.83443
0.000237095,4217.72,0.200611,0.00254453,-1.40366
0.000243869,4100.56,0.156924,0.00155695,-0.906857
0.000250643,3989.73,0.137815,0.00120085,1.29398
0.000257418,3884.74,0.1541,0.00150142,1.82557
0.000264192,3785.13,0.35221,0.00784336,0.476873
0.000270966,3690.5,0.0500669,0.000158489,-2.83194
0.00027774,3600.49,0.121714,0.000936657,1.50339
0.000284514,3514.76,0.0440396,0.000122627,0.474873
0.000291288,3433.03,0.203316,0.00261362,0.249537
0.000298062,3355,0.328086,0.0068057,2.11669
0.000304837,3280.45,0.111256,0.000782606,-0.159245
0.000311611,3209.13,0.201627,0.00257037,1.3469
