year,link_id,sample_idx,s_m,lon,lat,B_m,C_1m
2017,0,0,0.00,115.887118,35.877949,,-0.00110388
2017,0,1,98.07,115.886333,35.878464,,-0.00106436
2017,0,2,196.14,115.885648,35.879150,986.73,-0.00051242
2017,0,3,294.21,115.884962,35.879835,1225.94,-0.00000000
2017,1,0,0.00,115.884962,35.879835,373.76,-0.00341528
2017,1,1,95.21,115.885001,35.880682,343.86,-0.00285585
2017,1,2,190.41,115.885666,35.881348,313.96,-0.00058236
2017,1,3,285.62,115.886123,35.882074,313.96,0.00056584
2017,1,4,380.83,115.886579,35.882800,313.96,0.00000000
2017,10,0,0.00,115.875530,35.872289,388.71,0.00580076
2017,10,1,75.06,115.874707,35.872275,299.01,0.00577031
2017,10,2,150.12,115.874183,35.871751,134.55,0.00573987
2017,100,0,0.00,115.741861,35.828092,448.52,0.00211878
2017,100,1,96.09,115.741591,35.828880,313.96,0.00263806
2017,100,2,192.18,115.740936,35.829557,328.91,0.00161770
2017,100,3,288.27,115.740165,35.830058,313.96,0.00003903
2017,100,4,384.37,115.739493,35.830729,284.06,0.00057621
2017,100,5,480.46,115.738722,35.831231,299.01,0.00057621
2017,100,6,576.55,115.737951,35.831732,299.01,-0.00057621
2017,100,7,672.64,115.737181,35.832234,313.96,-0.00057621
2017,100,8,768.73,115.736509,35.832905,328.91,0.00057621
2017,100,9,864.82,115.735738,35.833406,373.76,0.00057621
2017,100,10,960.91,115.734967,35.833908,373.76,-0.00057621
2017,100,11,1057.01,115.734196,35.834409,388.71,-0.00111058
2017,100,12,1153.10,115.733525,35.835081,358.81,-0.00106228
2017,100,13,1249.19,115.732853,35.835752,358.81,0.00000000
2017,100,14,1345.28,115.732391,35.836484,373.76,0.00163849
2017,100,15,1441.37,115.731620,35.836986,418.61,0.00222116
2017,101,0,0.00,115.741861,35.828092,1480.10,0.00000000
2017,101,1,57.84,115.741456,35.827688,1255.84,0.00000000
2017,101,2,115.69,115.741052,35.827284,209.31,0.00000000
2017,102,0,0.00,115.741322,35.825128,867.13,0.00000000
2017,102,1,82.63,115.741322,35.825873,523.27,0.00093359
2017,102,2,165.25,115.741322,35.826617,702.67,0.00192470
2017,102,3,247.88,115.741052,35.827284,762.48,0.00198222
2017,103,0,0.00,115.741322,35.825128,209.31,-0.00583053
2017,103,1,55.81,115.740861,35.824858,463.47,-0.00558362
2017,103,2,111.62,115.740244,35.824858,433.57,-0.00533671
2017,104,0,0.00,115.731620,35.836986,358.81,0.00307066
2017,104,1,82.19,115.731046,35.837560,343.86,0.00323276
2017,104,2,164.38,115.730272,35.837794,403.66,0.00339486
2017,105,0,0.00,115.731620,35.836986,1794.06,0.00125935
2017,105,1,94.17,115.730962,35.836328,1151.19,0.00172470
2017,105,2,188.34,115.730542,35.835600,837.23,0.00152593
2017,105,3,282.51,115.730272,35.834830,747.53,0.00086180
2017,106,0,0.00,115.741052,35.827284,403.66,0.00279610
2017,106,1,83.89,115.740438,35.827284,598.02,0.00241633
2017,106,2,167.77,115.739667,35.827014,583.07,0.00101828
2017,106,3,251.66,115.738896,35.826745,702.67,0.00000000
2017,107,0,0.00,115.740244,35.824858,358.81,0.00000000
2017,107,1,96.41,115.739570,35.825532,478.42,0.00000000
2017,107,2,192.82,115.738896,35.826206,313.96,0.00000000
2017,108,0,0.00,115.740244,35.824858,926.93,-0.00464062
2017,108,1,87.27,115.739593,35.824319,598.02,-0.00560261
2017,108,2,174.54,115.738627,35.824319,373.76,-0.00445171
2017,108,3,261.81,115.737818,35.824589,343.86,-0.00233882
2017,109,0,0.00,115.730272,35.837794,403.66,0.00268565
2017,109,1,88.78,115.730070,35.838536,388.71,0.00296351
2017,109,2,177.56,115.729450,35.839156,358.81,0.00190174
2017,109,3,266.33,115.728773,35.839681,343.86,-0.00008013
2017,109,4,355.11,115.728109,35.840227,343.86,-0.00000000
2017,109,5,443.89,115.727489,35.840847,373.76,0.00104144
2017,109,6,532.67,115.726769,35.841298,448.52,0.00136050
2017,11,0,0.00,115.887657,35.886573,837.23,0.00000000
2017,11,1,24.33,115.887927,35.886573,777.43,0.00000000
2017,11,2,48.67,115.888196,35.886573,598.02,0.00000000
2017,110,0,0.00,115.730272,35.837794,1779.11,0.00000000
2017,110,1,77.12,115.729733,35.837255,1315.65,-0.00000000
2017,110,2,154.25,115.729194,35.836716,807.33,-0.00000000
2017,110,3,231.37,115.728655,35.836177,403.66,-0.00000000
2017,111,0,0.00,115.730272,35.834830,373.76,0.00222830
2017,111,1,97.47,115.730536,35.834028,373.76,0.00165353
2017,111,2,194.94,115.731217,35.833346,388.71,0.00053938
2017,111,3,292.41,115.731689,35.832605,388.71,0.00051288
