year,link_id,sample_idx,s_m,lon,lat,B_m,C_1m
2007,0,0,0.00,115.880111,35.894658,493.37,0.00000000
2007,0,1,24.33,115.879842,35.894658,523.27,0.00000000
2007,0,2,48.66,115.879572,35.894658,493.37,0.00000000
2007,1,0,0.00,115.879303,35.894927,418.61,0.00000000
2007,1,1,19.28,115.879438,35.894792,433.57,0.00000000
2007,1,2,38.55,115.879572,35.894658,463.47,0.00000000
2007,10,0,0.00,115.879572,35.895736,403.66,0.00608835
2007,10,1,75.05,115.878899,35.896005,463.47,0.00608835
2007,10,2,150.09,115.878225,35.895736,717.63,0.00608835
2007,100,0,0.00,115.758839,35.846418,792.38,-0.00000000
2007,100,1,75.08,115.758165,35.846149,642.87,-0.00000000
2007,100,2,150.16,115.757491,35.845879,657.82,-0.00000000
2007,101,0,0.00,115.760725,35.842915,523.27,-0.00000000
2007,101,1,93.57,115.761170,35.842200,523.27,-0.00074301
2007,101,2,187.15,115.761615,35.841486,388.71,-0.00396696
2007,101,3,280.72,115.761803,35.840697,358.81,-0.00834428
2007,101,4,374.29,115.761180,35.840220,852.18,-0.00693423
2007,101,5,467.87,115.760144,35.840220,1210.99,-0.00181391
2007,101,6,561.44,115.759108,35.840220,1405.35,0.00000000
2007,102,0,0.00,115.759108,35.841028,328.91,0.00000000
2007,102,1,44.85,115.759108,35.840624,328.91,0.00000000
2007,102,2,89.71,115.759108,35.840220,448.52,0.00000000
2007,103,0,0.00,115.759108,35.841028,672.77,0.00013698
2007,103,1,98.09,115.758423,35.841714,553.17,0.00051235
2007,103,2,196.18,115.757724,35.842376,702.67,0.00083908
2007,103,3,294.27,115.756952,35.842915,762.48,0.00079045
2007,105,0,0.00,115.759108,35.840220,328.91,-0.00104731
2007,105,1,97.40,115.758839,35.839420,388.71,-0.00000000
2007,105,2,194.81,115.758374,35.838677,358.81,0.00103954
2007,105,3,292.21,115.758300,35.837820,328.91,0.00000000
2007,105,4,389.61,115.758030,35.837020,313.96,0.00013922
2007,105,5,487.02,115.757761,35.836221,254.16,0.00067241
2007,105,6,584.42,115.757741,35.835349,254.16,-0.00117876
2007,105,7,681.82,115.757478,35.834547,224.26,-0.00063656
2007,105,8,779.23,115.757006,35.833806,209.31,0.00163770
2007,105,9,876.63,115.756952,35.832943,254.16,0.00215639
2007,106,0,0.00,115.756952,35.832943,239.21,-0.00000000
2007,106,1,96.41,115.756279,35.832270,254.16,-0.00000000
2007,106,2,192.81,115.755605,35.831596,239.21,-0.00000000
2007,107,0,0.00,115.756952,35.832943,448.52,0.00204347
2007,107,1,70.02,115.757442,35.832454,911.98,0.00214211
2007,107,2,140.04,115.758030,35.832135,59.80,0.00224076
2007,108,0,0.00,115.755605,35.831596,343.86,-0.00342489
2007,108,1,72.88,115.755635,35.831086,164.46,-0.00724264
2007,108,2,145.76,115.755334,35.830518,179.41,-0.00938926
2007,108,3,218.64,115.754527,35.830518,194.36,-0.00771814
2007,109,0,0.00,115.755605,35.831596,852.18,0.00592287
2007,109,1,94.37,115.754718,35.831865,239.21,0.00579462
2007,109,2,188.74,115.753988,35.831326,179.41,0.00566637
2007,11,0,0.00,115.880381,35.892232,1794.06,0.00010268
2007,11,1,78.09,115.880927,35.892778,1270.79,0.00224433
2007,11,2,156.18,115.881459,35.893328,986.73,0.00536853
2007,11,3,234.27,115.881459,35.894032,672.77,0.00428685
2007,11,4,312.36,115.881189,35.894658,523.27,0.00222260
2007,110,0,0.00,115.754527,35.830518,179.41,-0.00369673
2007,110,1,67.11,115.754527,35.829913,224.26,-0.00802026
2007,110,2,134.21,115.754192,35.829440,179.41,-0.00985531
2007,110,3,201.32,115.753449,35.829440,299.01,-0.00736682
2007,111,0,0.00,115.754527,35.830518,822.28,-0.00347675
2007,111,1,53.51,115.754153,35.830892,284.06,-0.00358316
2007,111,2,107.03,115.753988,35.831326,179.41,-0.00368957
2007,113,0,0.00,115.753988,35.831326,373.76,0.00204033
2007,113,1,75.09,115.753265,35.831142,179.41,0.00203634
2007,113,2,150.18,115.752641,35.830787,224.26,0.00203236
2007,114,0,0.00,115.753449,35.829440,284.06,-0.00315948
