year,link_id,sample_idx,s_m,lon,lat,B_m,C_1m
2013,0,0,0.00,115.265125,35.453225,119.60,-0.00576941
2013,0,1,75.33,115.265947,35.453212,209.31,-0.00574102
2013,0,2,150.66,115.266472,35.452686,971.78,-0.00571262
2013,1,0,0.00,115.266472,35.452686,807.33,-0.00388780
2013,1,1,68.25,115.265877,35.452417,478.42,-0.00370020
2013,1,2,136.50,115.265125,35.452417,254.16,-0.00351259
2013,10,0,0.00,115.264047,35.443793,1046.54,0.00000000
2013,10,1,57.95,115.264451,35.443389,1181.09,0.00000000
2013,10,2,115.91,115.264855,35.442985,553.17,0.00000000
2013,101,0,0.00,115.344087,35.557520,373.76,-0.00149442
2013,101,1,82.98,115.344356,35.558189,358.81,-0.00422369
2013,101,2,165.96,115.344828,35.558800,403.66,-0.00623544
2013,101,3,248.94,115.345704,35.558867,538.22,-0.00551791
2013,102,0,0.00,115.344087,35.557520,1659.51,0.00000000
2013,102,1,96.54,115.344760,35.556846,1794.06,0.00000000
2013,102,2,193.07,115.345434,35.556172,523.27,0.00000000
2013,103,0,0.00,115.205028,35.416574,1076.44,0.00000000
2013,103,1,87.25,115.204419,35.417183,1300.70,-0.00064437
2013,103,2,174.50,115.203811,35.417791,717.63,-0.00132448
2013,103,3,261.74,115.203411,35.418461,373.76,-0.00136022
2013,104,0,0.00,115.205028,35.416574,612.97,-0.00570344
2013,104,1,74.71,115.204506,35.416053,478.42,-0.00583180
2013,104,2,149.43,115.203694,35.416035,538.22,-0.00306963
2013,104,3,224.14,115.202872,35.416035,448.52,-0.00017911
2013,105,0,0.00,115.345704,35.558867,478.42,-0.00301100
2013,105,1,99.63,115.345987,35.559676,418.61,-0.00298194
2013,105,2,199.26,115.346776,35.560209,478.42,-0.00103235
2013,105,3,298.89,115.347559,35.560754,448.52,0.00038374
2013,105,4,398.51,115.348266,35.561429,478.42,-0.00002826
2013,105,5,498.14,115.349060,35.561954,478.42,0.00006036
2013,105,6,597.77,115.349761,35.562640,478.42,-0.00047690
2013,105,7,697.40,115.350550,35.563174,478.42,-0.00053517
2013,105,8,797.03,115.351344,35.563699,493.37,-0.00003001
2013,105,9,896.66,115.352138,35.564224,523.27,0.00019668
2013,105,10,996.29,115.352933,35.564749,493.37,0.00000000
2013,105,11,1095.92,115.353691,35.565335,478.42,-0.00039716
2013,105,12,1195.54,115.354521,35.565799,553.17,0.00000000
2013,105,13,1295.17,115.355316,35.566323,523.27,-0.00029966
2013,105,14,1394.80,115.356110,35.566848,493.37,-0.00056413
2013,105,15,1494.43,115.356992,35.567222,508.32,-0.00012820
2013,105,16,1594.06,115.357798,35.567727,508.32,0.00056413
