year,link_id,sample_idx,s_m,lon,lat,B_m,C_1m
2002,0,0,0.00,115.336810,35.542967,313.96,0.00270006
2002,0,1,82.77,115.336134,35.543374,343.86,0.00327755
2002,0,2,165.53,115.335298,35.543506,897.03,0.00248354
2002,0,3,248.30,115.334385,35.543506,1136.24,0.00111204
2002,1,0,0.00,115.334385,35.543506,269.11,0.00139515
2002,1,1,95.51,115.334385,35.542645,239.21,0.00143674
2002,1,2,191.03,115.334654,35.541863,209.31,0.00073917
2002,1,3,286.54,115.334924,35.541081,179.41,-0.00000000
2002,10,0,0.00,115.343009,35.556711,1510.00,-0.00185653
2002,10,1,72.87,115.342500,35.557220,1166.14,-0.00191215
2002,10,2,145.74,115.342200,35.557789,926.93,-0.00196777
2002,100,0,0.00,115.347860,35.518713,882.08,0.00239757
2002,100,1,86.21,115.348654,35.518443,1121.29,0.00228189
2002,100,2,172.42,115.349604,35.518443,1166.14,0.00108310
2002,100,3,258.63,115.350555,35.518443,822.28,0.00000000
2002,102,0,0.00,115.347590,35.517096,538.22,0.00060391
2002,102,1,90.39,115.347860,35.516360,568.12,0.00012673
2002,102,2,180.79,115.348226,35.515652,553.17,-0.00060221
2002,102,3,271.18,115.348439,35.514899,538.22,0.00058838
2002,102,4,361.58,115.348668,35.514151,523.27,0.00114130
2002,102,5,451.97,115.349207,35.513494,538.22,-0.00082648
2002,102,6,542.37,115.349477,35.512758,523.27,-0.00084104
2002,102,7,632.76,115.349710,35.512011,523.27,0.00106286
2002,102,8,723.16,115.350016,35.511285,508.32,0.00165732
2002,102,9,813.55,115.350555,35.510628,508.32,0.00141165
2002,103,0,0.00,115.402298,35.582583,433.57,0.00471509
2002,103,1,65.77,115.402548,35.582063,583.07,0.00480145
2002,103,2,131.55,115.403106,35.581774,732.58,0.00488781
2002,104,0,0.00,115.402298,35.582583,433.57,0.00397622
2002,104,1,99.64,115.402993,35.583278,284.06,0.00480617
2002,104,2,199.29,115.402837,35.584065,313.96,0.00413883
2002,104,3,298.93,115.402454,35.584852,553.17,0.00206785
2002,104,4,398.58,115.401759,35.585547,657.82,0.00149416
2002,105,0,0.00,115.401759,35.585547,403.66,-0.00333648
2002,105,1,88.76,115.401759,35.586347,403.66,-0.00253925
2002,105,2,177.52,115.402298,35.586990,388.71,0.00085880
2002,105,3,266.27,115.402567,35.587712,388.71,0.00172981
2002,105,4,355.03,115.402567,35.588512,358.81,0.00000000
2002,105,5,443.79,115.402837,35.589233,358.81,-0.00000000
2002,105,6,532.55,115.402837,35.590033,358.81,-0.00085880
2002,105,7,621.30,115.403106,35.590755,343.86,-0.00085880
2002,105,8,710.06,115.403376,35.591476,343.86,0.00000000
2002,107,0,0.00,115.350555,35.510628,478.42,-0.00040459
2002,107,1,93.44,115.350824,35.509864,433.57,-0.00030291
2002,107,2,186.88,115.351024,35.509080,418.61,-0.00000000
2002,107,3,280.32,115.351259,35.508307,433.57,0.00070977
2002,107,4,373.76,115.351493,35.507533,388.71,0.00060916
2002,107,5,467.21,115.351937,35.506820,358.81,-0.00050816
2002,107,6,560.65,115.352172,35.506046,343.86,-0.00118051
2002,107,7,654.09,115.352441,35.505283,284.06,0.00040635
2002,107,8,747.53,115.352441,35.504441,239.21,0.00156128
2002,107,9,840.97,115.353084,35.503786,284.06,-0.00136774
2002,107,10,934.41,115.353250,35.502992,119.60,-0.00078763
2002,107,11,1027.85,115.353250,35.502150,239.21,0.00261873
2002,107,12,1121.29,115.353789,35.501465,478.42,0.00311205
2002,108,0,0.00,115.350555,35.510628,941.88,-0.00571637
2002,108,1,75.29,115.351080,35.511153,1480.10,-0.00574504
2002,108,2,150.59,115.351902,35.511167,867.13,-0.00577372
2002,109,0,0.00,115.403376,35.591476,1255.84,0.00450082
2002,109,1,86.64,115.404277,35.591570,493.37,0.00598618
2002,109,2,173.29,115.404882,35.592174,254.16,0.00729727
2002,109,3,259.93,115.404992,35.592923,358.81,0.00589657
2002,109,4,346.58,115.404519,35.593566,493.37,0.00274169
2002,109,5,433.22,115.403915,35.594171,508.32,0.00081323
2002,11,0,0.00,115.336541,35.536230,254.16,0.00104067
2002,11,1,98.42,115.336602,35.535360,254.16,0.00161083
2002,11,2,196.84,115.336871,35.534552,224.26,0.00163649
2002,11,3,295.26,115.337349,35.533804,284.06,0.00109200
2002,110,0,0.00,115.403376,35.591476,313.96,-0.00246357
2002,110,1,87.39,115.403106,35.592185,284.06,-0.00255752
2002,110,2,174.78,115.403222,35.592939,358.81,-0.00295430
2002,110,3,262.16,115.403376,35.593682,328.91,-0.00335821
2002,110,4,349.55,115.403915,35.594171,373.76,-0.00345929
2002,111,0,0.00,115.353789,35.501465,926.93,0.00000000
2002,111,1,73.35,115.354597,35.501465,418.61,0.00000000
2002,111,2,146.70,115.355405,35.501465,,0.00000000
2002,112,0,0.00,115.353789,35.501465,269.11,0.00217682
2002,112,1,79.11,115.353519,35.500831,299.01,0.00211298
2002,112,2,158.23,115.353519,35.500117,403.66,0.00204914
2002,114,0,0.00,115.403915,35.594171,328.91,-0.00104058
2002,114,1,94.93,115.403951,35.595016,299.01,-0.00113140
2002,114,2,189.85,115.404184,35.595804,284.06,0.00000000
2002,114,3,284.78,115.404441,35.596584,284.06,0.00057810
2002,114,4,379.70,115.404454,35.597436,284.06,-0.00074800
2002,114,5,474.63,115.404723,35.598214,269.11,-0.00142998
2002,115,0,0.00,115.353519,35.500117,388.71,-0.00029914
2002,115,1,98.45,115.352746,35.499578,328.91,-0.00022517
2002,115,2,196.90,115.351948,35.499085,313.96,0.00000000
2002,115,3,295.34,115.351162,35.498569,269.11,-0.00050310
2002,115,4,393.79,115.350376,35.498052,269.11,-0.00057870
2002,115,5,492.24,115.349491,35.497707,269.11,0.00000000
2002,115,6,590.69,115.348706,35.497190,299.01,-0.00059501
2002,115,7,689.14,115.347821,35.496845,284.06,-0.00032054
2002,115,8,787.58,115.346936,35.496499,254.16,0.00059501
2002,115,9,886.03,115.346097,35.496075,269.11,0.00013515
2002,115,10,984.48,115.345266,35.495637,254.16,-0.00059501
2002,115,11,1082.93,115.344396,35.495267,239.21,-0.00094178
2002,115,12,1181.38,115.343497,35.494946,239.21,-0.00059543
2002,115,13,1279.82,115.342538,35.494728,239.21,0.00094178
2002,115,14,1378.27,115.341628,35.494425,209.31,0.00119044
2002,115,15,1476.72,115.340837,35.493919,209.31,0.00000000
2002,115,16,1575.17,115.339958,35.493563,224.26,-0.00048730
2002,115,17,1673.62,115.339135,35.493111,209.31,0.00040416
2002,115,18,1772.06,115.338206,35.492841,239.21,0.00121557
2002,115,19,1870.51,115.337502,35.492185,149.51,-0.00254475
2002,115,20,1968.96,115.336661,35.491763,179.41,-0.00531860
2002,115,21,2067.41,115.335732,35.492033,343.86,-0.00452870
2002,116,0,0.00,115.353519,35.500117,1061.49,0.01067096
2002,116,1,31.54,115.353739,35.499897,538.22,0.01106539
2002,116,2,63.08,115.354058,35.499848,478.42,0.01145983
2002,117,0,0.00,115.404723,35.598214,1375.45,0.00000000
2002,117,1,85.47,115.405666,35.598214,1166.14,0.00000000
2002,117,2,170.95,115.406609,35.598214,433.57,0.00000000
2002,118,0,0.00,115.404723,35.598214,328.91,-0.00313954
2002,118,1,64.15,115.404723,35.598792,284.06,-0.00323332
2002,118,2,128.31,115.404992,35.599291,284.06,-0.00332709
2002,119,0,0.00,115.335732,35.492033,583.07,0.00540792
2002,119,1,49.21,115.335732,35.492476,777.43,0.00552020
2002,119,2,98.43,115.335463,35.492841,418.61,0.00563247
2002,12,0,0.00,115.336541,35.536230,418.61,-0.00571803
2002,12,1,75.28,115.337066,35.536755,1166.14,-0.00574682
2002,12,2,150.56,115.337888,35.536769,313.96,-0.00577562
2002,120,0,0.00,115.335732,35.492033,209.31,-0.00000000
2002,120,1,50.85,115.335328,35.491763,209.31,-0.00000000
2002,120,2,101.71,115.334924,35.491494,299.01,-0.00000000
2002,121,0,0.00,115.404992,35.599291,1794.06,0.00000000
2002,121,1,48.84,115.405531,35.599291,1554.85,0.00000000
2002,121,2,97.68,115.406070,35.599291,882.08,0.00000000
2002,122,0,0.00,115.404992,35.599291,299.01,-0.00565920
2002,122,1,68.51,115.404723,35.599830,239.21,-0.00565920
2002,122,2,137.01,115.404992,35.600369,239.21,-0.00565920
2002,123,0,0.00,115.334924,35.491494,269.11,-0.00777733
2002,123,1,80.68,115.334900,35.490931,179.41,-0.00813689
2002,123,2,161.36,115.334153,35.490685,209.31,-0.00563082
2002,123,3,242.04,115.333576,35.490685,299.01,-0.00276521
2002,124,0,0.00,115.334924,35.491494,792.38,0.00723420
2002,124,1,82.39,115.334328,35.492033,224.26,0.00757928
2002,124,2,164.79,115.333576,35.491763,209.31,0.00792437
2002,125,0,0.00,115.404992,35.600369,1704.36,0.00000000
2002,125,1,73.26,115.405801,35.600369,1405.35,0.00000000
2002,125,2,146.52,115.406609,35.600369,672.77,0.00000000
2002,126,0,0.00,115.404992,35.600369,299.01,-0.00128358
2002,126,1,99.46,115.404992,35.601266,269.11,-0.00064179
2002,126,2,198.93,115.405262,35.602084,209.31,0.00000000
2002,126,3,298.39,115.405262,35.602980,224.26,-0.00067941
2002,126,4,397.85,115.405531,35.603798,239.21,0.00000000
2002,126,5,497.31,115.405801,35.604616,239.21,0.00132120
2002,126,6,596.78,115.405801,35.605513,194.36,-0.00000000
2002,126,7,696.24,115.405801,35.606409,209.31,-0.00132120
2002,126,8,795.70,115.406070,35.607227,239.21,-0.00067941
