year,link_id,sample_idx,s_m,lon,lat,B_m,C_1m
2022,0,0,0.00,115.521953,35.719486,777.43,0.00208807
2022,0,1,72.43,115.521348,35.719150,986.73,0.00199781
2022,0,2,144.87,115.520842,35.718645,732.58,0.00095378
2022,0,3,217.30,115.520336,35.718139,672.77,0.00000000
2022,1,0,0.00,115.520336,35.718139,358.81,0.00000000
2022,1,1,99.80,115.520606,35.717317,358.81,-0.00045111
2022,1,2,199.60,115.520875,35.716496,328.91,0.00063457
2022,1,3,299.41,115.520965,35.715623,373.76,0.00103520
2022,1,4,399.21,115.521663,35.714926,328.91,-0.00058429
2022,1,5,499.01,115.521733,35.714047,284.06,0.00000000
2022,1,6,598.81,115.522221,35.713289,269.11,-0.00004679
2022,1,7,698.62,115.522501,35.712471,239.21,-0.00053381
2022,1,8,798.42,115.522762,35.711647,179.41,0.00062758
2022,1,9,898.22,115.523059,35.710834,209.31,-0.00012206
2022,1,10,998.02,115.523548,35.710076,134.55,-0.00188990
2022,1,11,1097.83,115.523570,35.709183,164.46,-0.00123834
2022,1,12,1197.63,115.523570,35.708284,179.41,-0.00068777
2022,1,13,1297.43,115.523570,35.707384,179.41,-0.00000000
2022,1,14,1397.23,115.523301,35.706563,179.41,0.00194660
2022,1,15,1497.04,115.523570,35.705742,224.26,0.00262025
2022,10,0,0.00,115.520606,35.722720,568.12,-0.00310921
2022,10,1,99.97,115.521403,35.722192,403.66,-0.00308419
2022,10,2,199.94,115.521684,35.721373,403.66,-0.00305918
2022,100,0,0.00,115.411999,35.646184,702.67,0.00096778
2022,100,1,90.52,115.411785,35.645430,657.82,0.00031841
2022,100,2,181.04,115.411730,35.644630,553.17,0.00000000
2022,100,3,271.55,115.411460,35.643893,627.92,0.00094262
2022,100,4,362.07,115.411460,35.643077,553.17,-0.00082421
2022,100,5,452.59,115.411460,35.642261,493.37,-0.00325143
2022,100,6,543.11,115.410921,35.641602,538.22,-0.00330016
2022,101,0,0.00,115.411999,35.646184,1794.06,0.00198491
2022,101,1,94.36,115.411114,35.646453,1569.81,0.00279044
2022,101,2,188.73,115.410072,35.646453,1240.89,0.00396139
2022,101,3,283.09,115.409187,35.646184,882.08,0.00542102
2022,101,4,377.46,115.408496,35.645614,568.12,0.00548995
2022,101,5,471.82,115.408496,35.644763,583.07,0.00347357
2022,101,6,566.19,115.408585,35.643939,807.33,0.00227188
2022,101,7,660.55,115.409035,35.643219,837.23,0.00206129
2022,102,0,0.00,115.699550,35.774193,568.12,-0.00232442
2022,102,1,92.87,115.698901,35.774842,583.07,-0.00248627
2022,102,2,185.73,115.698670,35.775612,553.17,-0.00198315
2022,102,3,278.60,115.698472,35.776392,418.61,-0.00119517
2022,102,4,371.46,115.698472,35.777229,418.61,-0.00027206
2022,102,5,464.33,115.698472,35.778066,463.47,0.00000000
2022,102,6,557.19,115.698373,35.778874,478.42,-0.00087419
2022,102,7,650.06,115.698472,35.779583,598.02,-0.00122033
2022,103,0,0.00,115.699550,35.774193,702.67,0.00000000
2022,103,1,88.28,115.700167,35.774810,762.48,0.00000000
2022,103,2,176.57,115.700784,35.775427,777.43,-0.00021310
2022,103,3,264.85,115.701401,35.776044,837.23,0.00188944
2022,103,4,353.14,115.701976,35.776531,508.32,0.00576781
2022,103,5,441.42,115.701976,35.777327,418.61,0.00539211
2022,103,6,529.70,115.701437,35.777966,478.42,0.00345370
2022,104,0,0.00,115.410921,35.641602,538.22,0.00539973
2022,104,1,49.20,115.410921,35.641159,598.02,0.00551166
2022,104,2,98.40,115.411191,35.640794,657.82,0.00562359
2022,105,0,0.00,115.410921,35.641602,926.93,-0.00000000
2022,105,1,85.33,115.410326,35.642198,1061.49,0.00068211
2022,105,2,170.66,115.409730,35.642794,1136.24,0.00142232
2022,105,3,256.00,115.409035,35.643219,1076.44,0.00148043
2022,106,0,0.00,115.409035,35.643219,642.87,-0.01068544
2022,106,1,31.50,115.408815,35.642999,926.93,-0.01108195
2022,106,2,63.01,115.408496,35.642950,867.13,-0.01147846
2022,108,0,0.00,115.698472,35.779583,1794.06,0.00232755
2022,108,1,77.83,115.699333,35.779583,1794.06,0.00133819
2022,108,2,155.67,115.700056,35.779820,1196.04,-0.00085409
2022,108,3,233.50,115.700898,35.779853,747.53,-0.00205701
2022,109,0,0.00,115.698472,35.779583,598.02,-0.00218829
2022,109,1,98.38,115.697994,35.780331,493.37,-0.00215377
2022,109,2,196.75,115.697933,35.781200,568.12,-0.00211925
2022,11,0,0.00,115.517911,35.723528,418.61,-0.00207564
2022,11,1,75.96,115.517380,35.724059,493.37,-0.00335696
2022,11,2,151.92,115.517102,35.724663,523.27,-0.00235526
2022,11,3,227.88,115.517102,35.725348,433.57,0.00114268
2022,11,4,303.84,115.516833,35.725954,433.57,0.00235762
2022,110,0,0.00,115.701437,35.777966,717.63,0.00000000
2022,110,1,12.18,115.701302,35.777966,717.63,0.00000000
2022,110,2,24.37,115.701167,35.777966,717.63,0.00000000
2022,111,0,0.00,115.701437,35.777966,523.27,0.00375594
2022,111,1,81.33,115.701706,35.778621,478.42,0.00500886
2022,111,2,162.66,115.701466,35.779285,598.02,0.00431461
2022,111,3,243.99,115.700898,35.779853,672.77,0.00236744
2022,112,0,0.00,115.411191,35.640794,1794.06,0.00000000
2022,112,1,85.83,115.412138,35.640794,1794.06,0.00000000
2022,112,2,171.65,115.413086,35.640794,1689.41,0.00000000
2022,112,3,257.48,115.414034,35.640794,777.43,-0.00109325
2022,112,4,343.31,115.414981,35.640794,388.71,-0.00230359
2022,112,5,429.13,115.415772,35.640524,284.06,-0.00242068
