omega_i_max,omega_r,c_r,c_i,idx,n_spurious,alpha,beta,Fr,Cf,Re,N,nu_curvature,profile_mode,U1_mode,A_scour
0.221755544209246,0.6149411485336364,0.6149411485336364,0.221755544209246,0,43,0.05,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.006842683458873495,0.7520452204972013,0.7520452204972013,-0.006842683458873495,1,43,0.2530612244897959,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.010393251873105771,0.7528077302526129,0.7528077302526129,-0.010393251873105771,1,43,0.4561224489795918,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.0112235693828943,0.7529845344216174,0.7529845344216174,-0.0112235693828943,1,43,0.6591836734693878,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01154126305129015,0.7530520342212301,0.7530520342212301,-0.01154126305129015,1,43,0.8622448979591837,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011695518011798594,0.7530847790242258,0.7530847790242258,-0.011695518011798594,1,43,1.0653061224489797,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011781866440667052,0.7531031004333264,0.7531031004333264,-0.011781866440667052,1,43,1.2683673469387755,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011835019062822364,0.7531143753662247,0.7531143753662247,-0.011835019062822364,1,42,1.4714285714285713,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01187004226864828,0.7531218033751187,0.7531218033751187,-0.01187004226864828,1,41,1.6744897959183673,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011894332573398878,0.7531269544820581,0.7531269544820581,-0.011894332573398878,1,41,1.8775510204081634,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01191186604360028,0.7531306724102298,0.7531306724102298,-0.01191186604360028,1,41,2.080612244897959,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01192493465639987,0.7531334434157125,0.7531334434157125,-0.01192493465639987,1,41,2.2836734693877547,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011934935010446276,0.7531355637494689,0.7531355637494689,-0.011934935010446276,1,41,2.4867346938775508,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01194275747235838,0.7531372222578299,0.7531372222578299,-0.01194275747235838,1,41,2.6897959183673468,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011948991411294673,0.7531385439341604,0.7531385439341604,-0.011948991411294673,1,41,2.8928571428571423,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011954039528021662,0.7531396141779009,0.7531396141779009,-0.011954039528021662,1,41,3.0959183673469384,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011958184558598817,0.7531404929442788,0.7531404929442788,-0.011958184558598817,1,41,3.2989795918367344,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011961629733513078,0.7531412233275929,0.7531412233275929,-0.011961629733513078,1,41,3.5020408163265304,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01196452417607592,0.7531418369470273,0.7531418369470273,-0.01196452417607592,1,41,3.7051020408163264,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011966979305235461,0.753142357427216,0.753142357427216,-0.011966979305235461,1,41,3.908163265306122,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011969079727280669,0.7531428027066411,0.7531428027066411,-0.011969079727280669,1,41,4.1112244897959185,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011970890619289545,0.7531431866042453,0.7531431866042453,-0.011970890619289545,1,41,4.314285714285714,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01197246284847211,0.7531435199046457,0.7531435199046457,-0.01197246284847211,1,40,4.51734693877551,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011973836581634261,0.753143811123927,0.753143811123927,-0.011973836581634261,1,39,4.720408163265306,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011975043879391172,0.7531440670590545,0.7531440670590545,-0.011975043879391172,1,39,4.923469387755102,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011976110579742197,0.7531442931881159,0.7531442931881159,-0.011976110579742197,1,39,5.126530612244897,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011977057697537761,0.7531444939658958,0.7531444939658958,-0.011977057697537761,1,39,5.329591836734694,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01197790245913639,0.7531446730449969,0.7531446730449969,-0.01197790245913639,1,39,5.532653061224489,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011978659101339623,0.7531448334431117,0.7531448334431117,-0.011978659101339623,1,39,5.735714285714285,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011979339464629373,0.7531449776710217,0.7531449776710217,-0.011979339464629373,1,39,5.938775510204081,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011979953469495493,0.7531451078314226,0.7531451078314226,-0.011979953469495493,1,39,6.141836734693877,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011980509472841185,0.753145225696029,0.753145225696029,-0.011980509472841185,1,39,6.344897959183673,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011981014556750467,0.7531453327661688,0.7531453327661688,-0.011981014556750467,1,39,6.547959183673469,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011981474754656506,0.7531454303208205,0.7531454303208205,-0.011981474754656506,1,39,6.7510204081632645,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01198189522815336,0.7531455194550148,0.7531455194550148,-0.01198189522815336,1,39,6.954081632653061,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011982280425255908,0.7531456011106747,0.7531456011106747,-0.011982280425255908,1,39,7.157142857142857,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011982634184810978,0.7531456761016023,0.7531456761016023,-0.011982634184810978,1,39,7.360204081632653,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01198295983404415,0.7531457451338494,0.7531457451338494,-0.01198295983404415,1,39,7.563265306122449,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011983260274873358,0.7531458088223824,0.7531458088223824,-0.011983260274873358,1,39,7.766326530612244,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011983538045600968,0.7531458677048365,0.7531458677048365,-0.011983538045600968,1,39,7.969387755102041,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011983795368653304,0.7531459222528903,0.7531459222528903,-0.011983795368653304,1,39,8.172448979591838,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01198403420445544,0.753145972881752,0.753145972881752,-0.01198403420445544,1,39,8.375510204081634,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.01198425628117354,0.7531460199580701,0.7531460199580701,-0.01198425628117354,1,39,8.57857142857143,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011984463130800559,0.7531460638066041,0.7531460638066041,-0.011984463130800559,1,39,8.781632653061225,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011984656116325956,0.7531461047158348,0.7531461047158348,-0.011984656116325956,1,39,8.98469387755102,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011984836444616162,0.7531461429427129,0.7531461429427129,-0.011984836444616162,1,39,9.187755102040816,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011985005206427755,0.7531461787167211,0.7531461787167211,-0.011985005206427755,1,39,9.390816326530613,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011985163365089284,0.7531462122433101,0.7531462122433101,-0.011985163365089284,1,39,9.593877551020409,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011985311790487663,0.7531462437068636,0.7531462437068636,-0.011985311790487663,1,39,9.796938775510204,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
-0.011985451267277247,0.7531462732732395,0.7531462732732395,-0.011985451267277247,1,39,10.0,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,0.004,zs_turbulent,polynomial_zs,4.0
