omega_i_max,omega_r,c_r,c_i,idx,alpha,beta,Fr,Cf,Re,N,profile_mode,alpha_crit
13129470739.586388,3858960186.0731807,3858960186.0731807,13129470739.586388,1,2.5689873417721514,132.04444444444442,0.2571,0.001759625,3409.8174326916246,80,laminar_ref,2.5689873417721514
13143354264.584795,3866431957.148875,3866431957.148875,13143354264.584795,1,2.5689873417721514,132.04444444444442,0.2571,0.001759625,3409.8174326916246,80,zs_turbulent,2.5689873417721514
