omega_i_max,omega_r,c_r,c_i,idx,n_spurious,alpha,beta,Fr,Cf,Re,N,profile_mode
0.21473979667293663,0.6150446283752526,0.6150446283752526,0.21473979667293663,0,43,0.05,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.007391697225789383,0.7520452396497275,0.7520452396497275,-0.007391697225789383,1,43,0.2530612244897959,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.010940598152521038,0.7528077344009443,0.7528077344009443,-0.010940598152521038,1,43,0.4561224489795918,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.01177052534380113,0.7529845362119926,0.7529845362119926,-0.01177052534380113,1,43,0.6591836734693878,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012088069639131123,0.7530520352238205,0.7530520352238205,-0.012088069639131123,1,43,0.8622448979591837,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012242252065722888,0.7530847796670957,0.7530847796670957,-0.012242252065722888,1,43,1.0653061224489797,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012328559890370952,0.7531031008813293,0.7531031008813293,-0.012328559890370952,1,43,1.2683673469387755,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012381687517773014,0.7531143756965912,0.7531143756965912,-0.012381687517773014,1,42,1.4714285714285713,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012416694253383518,0.7531218036289377,0.7531218036289377,-0.012416694253383518,1,41,1.6744897959183673,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012440973135953002,0.7531269546832376,0.7531269546832376,-0.012440973135953002,1,41,1.8775510204081634,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012458498360740302,0.753130672573642,0.753130672573642,-0.012458498360740302,1,41,2.080612244897959,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012471560828027037,0.7531334435510982,0.7531334435510982,-0.012471560828027037,1,41,2.2836734693877547,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012481556478528583,0.7531355638634797,0.7531355638634797,-0.012481556478528583,1,41,2.4867346938775508,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012489375262433237,0.7531372223551662,0.7531372223551662,-0.012489375262433237,1,41,2.6897959183673468,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.0124956062691586,0.7531385440182351,0.7531385440182351,-0.0124956062691586,1,41,2.8928571428571423,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.01250065201275256,0.7531396142512541,0.7531396142512541,-0.01250065201275256,1,41,3.0959183673469384,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012504795093150955,0.7531404930088408,0.7531404930088408,-0.012504795093150955,1,41,3.2989795918367344,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012508238648675035,0.7531412233848573,0.7531412233848573,-0.012508238648675035,1,41,3.5020408163265304,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012511131729566702,0.7531418369981653,0.7531418369981653,-0.012511131729566702,1,41,3.7051020408163264,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012513585704287167,0.7531423574731604,0.7531423574731604,-0.012513585704287167,1,41,3.908163265306122,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012515685138226866,0.7531428027481456,0.7531428027481456,-0.012515685138226866,1,41,4.1112244897959185,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012517495178651304,0.7531431866419249,0.7531431866419249,-0.012517495178651304,1,41,4.314285714285714,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012519066668507498,0.7531435199390074,0.7531435199390074,-0.012519066668507498,1,40,4.51734693877551,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012520439755439339,0.7531438111553885,0.7531438111553885,-0.012520439755439339,1,39,4.720408163265306,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.01252164648564009,0.7531440670879694,0.7531440670879694,-0.01252164648564009,1,39,4.923469387755102,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012522712685288127,0.7531442932147793,0.7531442932147793,-0.012522712685288127,1,39,5.126530612244897,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012523659357141202,0.7531444939905654,0.7531444939905654,-0.012523659357141202,1,39,5.329591836734694,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012524503721486183,0.7531446730678847,0.7531446730678847,-0.012524503721486183,1,39,5.532653061224489,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012525260007664712,0.7531448334644056,0.7531448334644056,-0.012525260007664712,1,39,5.735714285714285,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012525940051368485,0.7531449776908824,0.7531449776908824,-0.012525940051368485,1,39,5.938775510204081,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012526553767223376,0.7531451078499921,0.7531451078499921,-0.012526553767223376,1,39,6.141836734693877,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012527109509074716,0.753145225713428,0.753145225713428,-0.012527109509074716,1,39,6.344897959183673,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012527614355848884,0.7531453327825004,0.7531453327825004,-0.012527614355848884,1,39,6.547959183673469,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012528074336021044,0.7531454303361843,0.7531454303361843,-0.012528074336021044,1,39,6.7510204081632645,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012528494613486178,0.7531455194694954,0.7531455194694954,-0.012528494613486178,1,39,6.954081632653061,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012528879630246782,0.7531456011243425,0.7531456011243425,-0.012528879630246782,1,39,7.157142857142857,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012529233221809506,0.7531456761145265,0.7531456761145265,-0.012529233221809506,1,39,7.360204081632653,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.01252955871759246,0.753145745146087,0.753145745146087,-0.01252955871759246,1,39,7.563265306122449,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.01252985901832544,0.7531458088339886,0.7531458088339886,-0.01252985901832544,1,39,7.766326530612244,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012530136657231761,0.7531458677158586,0.7531458677158586,-0.012530136657231761,1,39,7.969387755102041,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012530393858793301,0.7531459222633721,0.7531459222633721,-0.012530393858793301,1,39,8.172448979591838,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012530632582473103,0.7531459728917315,0.7531459728917315,-0.012530632582473103,1,39,8.375510204081634,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
-0.012530854555364188,0.7531460199675827,0.7531460199675827,-0.012530854555364188,1,39,8.57857142857143,132.04444444444442,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent
