s_m,lon,lat,B_m,C_1m
0.000000,115.085372,35.396093,299.010000,-0.002611
87.860000,115.085985,35.396705,343.860000,-0.002682
175.730000,115.086180,35.397440,343.860000,-0.002753
175.730000,115.086450,35.397979,299.010000,-0.001305
267.120000,115.086989,35.398645,284.060000,-0.000358
358.510000,115.087308,35.399376,284.060000,0.000509
449.910000,115.087945,35.400013,269.110000,-0.000894
541.300000,115.088336,35.400722,269.110000,-0.002294
632.690000,115.088606,35.401467,299.010000,-0.001949
724.080000,115.088606,35.402291,328.910000,-0.001529
724.080000,115.088606,35.402291,313.960000,-0.005128
812.620000,115.089421,35.402567,284.060000,-0.004996
901.170000,115.089684,35.403288,269.110000,-0.003275
989.720000,115.089953,35.404007,313.960000,-0.002475
1078.260000,115.089953,35.404806,478.420000,-0.002496
1166.810000,115.089684,35.405525,553.170000,-0.001731
1166.810000,115.089684,35.405525,373.760000,0.001348
1265.980000,115.089958,35.406338,388.710000,0.001080
1365.150000,115.090492,35.407076,358.810000,0.000804
1464.320000,115.090925,35.407844,328.910000,0.000000
1563.500000,115.091616,35.408535,373.760000,-0.000935
1662.670000,115.091891,35.409349,313.960000,-0.000000
1761.840000,115.092374,35.410102,269.110000,0.001557
1861.010000,115.092857,35.410854,194.360000,0.002063
1960.180000,115.093648,35.411375,224.260000,0.001559
2059.360000,115.094438,35.411896,164.460000,0.001157
2158.530000,115.095318,35.412262,164.460000,0.000269
2257.700000,115.096216,35.412596,194.360000,-0.000149
2356.870000,115.097034,35.413071,179.410000,0.001378
2456.050000,115.097970,35.413340,209.310000,0.000705
2555.220000,115.098983,35.413476,254.160000,-0.000908
2654.390000,115.099842,35.413879,254.160000,-0.000000
2753.560000,115.100778,35.414149,299.010000,0.000458
2852.730000,115.101714,35.414418,313.960000,0.000000
2951.910000,115.102649,35.414688,269.110000,-0.000000
3051.080000,115.103585,35.414957,299.010000,0.000835
3150.250000,115.104521,35.415227,299.010000,0.000572
3249.420000,115.105603,35.415245,299.010000,-0.000772
3348.590000,115.106492,35.415595,269.110000,-0.000236
3447.770000,115.107485,35.415766,269.110000,-0.000063
3546.940000,115.108421,35.416035,299.010000,-0.000336
3646.110000,115.109357,35.416305,328.910000,0.000000
3646.110000,115.109357,35.416305,269.110000,-0.001579
3734.620000,115.110332,35.416305,284.060000,-0.001026
3823.140000,115.111184,35.416515,284.060000,-0.000478
3911.660000,115.112125,35.416574,269.110000,-0.000656
