s_m,lon,lat,B_m,C_1m
0.000000,115.058961,35.376958,478.420000,0.000000
73.460000,115.059770,35.376958,568.120000,0.000000
146.930000,115.060578,35.376958,508.320000,0.000000
220.390000,115.061387,35.376958,508.320000,0.000000
220.390000,115.061926,35.376419,598.020000,0.000315
296.160000,115.062760,35.376419,687.720000,0.001414
371.940000,115.063575,35.376387,612.970000,0.004701
447.710000,115.064272,35.376150,627.920000,0.005733
523.490000,115.064621,35.375611,657.820000,0.004577
523.490000,115.064621,35.375611,598.020000,0.000000
615.250000,115.065475,35.375341,568.120000,-0.001685
707.010000,115.066329,35.375072,598.020000,-0.002956
798.760000,115.067231,35.375257,553.170000,-0.000603
890.520000,115.068192,35.375341,508.320000,0.000952
982.280000,115.069202,35.375341,418.610000,0.000569
982.280000,115.071089,35.376419,179.410000,0.000000
1080.870000,115.071568,35.377168,194.360000,-0.000000
1179.460000,115.072047,35.377916,179.410000,0.000000
1278.050000,115.072526,35.378665,239.210000,0.000000
1376.640000,115.073005,35.379413,284.060000,0.000000
1475.230000,115.073484,35.380162,284.060000,-0.000000
1573.820000,115.073963,35.380910,343.860000,-0.000153
1672.410000,115.074442,35.381659,328.910000,-0.000000
1771.000000,115.074862,35.382425,328.910000,-0.000237
1869.590000,115.075400,35.383156,373.760000,-0.001094
1968.180000,115.075670,35.383965,418.610000,-0.001408
1968.180000,115.075670,35.383965,448.520000,-0.002871
2053.690000,115.076365,35.384391,388.710000,-0.002799
2139.200000,115.076748,35.385050,388.710000,-0.001347
2224.710000,115.077141,35.385705,403.660000,-0.000000
2310.220000,115.077529,35.386363,418.610000,-0.000745
2395.730000,115.077916,35.387020,478.420000,-0.001453
2481.240000,115.078096,35.387738,493.370000,-0.001450
2481.240000,115.078096,35.387738,523.270000,-0.003144
2580.800000,115.078889,35.388262,478.420000,-0.003119
2680.350000,115.079166,35.389078,508.320000,-0.001547
2779.910000,115.079443,35.389894,538.220000,0.000000
2779.910000,115.079443,35.389894,1181.090000,-0.000000
2862.490000,115.078867,35.390470,1181.090000,-0.000000
2945.070000,115.078291,35.391046,1061.490000,-0.001483
3027.650000,115.077715,35.391622,867.130000,-0.003039
3110.230000,115.077557,35.392320,598.020000,-0.003112
3110.230000,115.077826,35.394206,553.170000,0.000126
3208.400000,115.078511,35.394891,523.270000,0.002330
3306.580000,115.079208,35.395554,777.430000,0.004443
3404.750000,115.080289,35.395554,1136.240000,0.003918
3502.920000,115.081369,35.395554,1794.060000,0.003606
3601.090000,115.082138,35.395015,1629.610000,0.003729
3601.090000,115.082138,35.395015,598.020000,-0.000000
3693.790000,115.082677,35.395692,642.870000,0.000270
3786.480000,115.083216,35.396370,627.920000,0.000564
3879.180000,115.083660,35.397076,612.970000,0.000313
3971.880000,115.084098,35.397783,642.870000,0.000019
4064.570000,115.084536,35.398491,612.970000,-0.000000
4157.270000,115.084974,35.399198,612.970000,0.000618
4249.970000,115.085412,35.399906,612.970000,0.001237
