s_m,lon,lat,B_m,C_1m
0.000000,115.118789,35.419000,284.060000,0.001890
74.370000,115.119099,35.419579,254.160000,0.001837
148.730000,115.119618,35.420098,493.370000,0.000892
223.100000,115.120137,35.420617,747.530000,-0.000000
223.100000,115.120137,35.420617,388.710000,-0.001936
314.130000,115.121139,35.420617,448.520000,-0.000000
405.150000,115.121985,35.420886,478.420000,0.003006
496.180000,115.122832,35.420617,538.220000,0.004076
496.180000,115.125527,35.420617,627.920000,0.000000
586.350000,115.126519,35.420617,598.020000,0.000000
676.520000,115.127512,35.420617,598.020000,0.000000
766.690000,115.128505,35.420617,568.120000,0.000000
856.860000,115.129498,35.420617,568.120000,0.000000
947.030000,115.130491,35.420617,598.020000,0.000000
1037.200000,115.131484,35.420617,657.820000,-0.000282
1127.370000,115.132477,35.420617,687.720000,-0.002078
1217.540000,115.133423,35.420697,762.480000,-0.003354
1307.710000,115.134150,35.421156,822.280000,-0.003115
1307.710000,115.134150,35.421156,1569.810000,0.000000
1401.720000,115.134150,35.422003,1435.250000,0.000235
1495.730000,115.134150,35.422850,1524.950000,0.002773
1589.730000,115.134241,35.423671,837.230000,0.010076
1683.740000,115.134896,35.423913,657.820000,0.009728
1777.750000,115.135552,35.423257,1121.290000,0.001584
1871.760000,115.136306,35.422773,897.030000,-0.001210
1871.760000,115.136306,35.424120,777.430000,0.000748
1960.640000,115.137025,35.424569,672.770000,0.004521
2049.510000,115.137796,35.424928,702.670000,0.007679
2138.380000,115.138462,35.424389,956.830000,0.007063
2138.380000,115.139271,35.424120,553.170000,-0.001749
2234.010000,115.140324,35.424120,463.470000,-0.000802
2329.640000,115.141221,35.424389,313.960000,0.002030
2425.270000,115.142260,35.424365,373.760000,0.004837
2520.900000,115.143124,35.424039,657.820000,0.004569
2616.530000,115.143583,35.423312,538.220000,0.003380
2616.530000,115.143583,35.423312,313.960000,0.003374
2696.780000,115.144439,35.423264,299.010000,0.005010
2777.030000,115.145097,35.422875,583.070000,0.006105
2857.280000,115.145469,35.422260,568.120000,0.004354
2937.530000,115.145469,35.421695,882.080000,0.003145
2937.530000,115.146278,35.420347,598.020000,-0.001821
3031.310000,115.147310,35.420347,523.270000,-0.000910
3125.080000,115.148187,35.420078,538.220000,0.000910
3218.860000,115.149219,35.420078,538.220000,0.001821
3312.640000,115.150252,35.420078,627.920000,0.001916
3406.410000,115.151129,35.420347,657.820000,0.002010
3406.410000,115.151129,35.420347,1076.440000,0.004175
3497.800000,115.151398,35.419602,612.970000,0.004689
