s_m,lon,lat,B_m,C_1m
0.000000,115.058961,35.379653,463.470000,-0.000046
92.340000,115.059902,35.379785,687.720000,-0.001322
184.680000,115.060838,35.379923,657.820000,-0.003128
277.020000,115.061584,35.380390,657.820000,-0.001969
369.370000,115.062247,35.381001,747.530000,0.001021
461.710000,115.062971,35.381507,762.480000,0.001969
554.050000,115.063812,35.381809,762.480000,0.001616
554.050000,115.063812,35.381809,1166.140000,-0.002924
650.650000,115.063273,35.382522,1315.650000,-0.002869
747.250000,115.063273,35.383393,1240.890000,-0.002115
843.860000,115.063273,35.384264,1046.540000,-0.003043
940.460000,115.063552,35.385053,762.480000,-0.003374
1037.060000,115.064325,35.385556,657.820000,-0.002213
1133.660000,115.064998,35.386229,538.220000,-0.003011
1230.270000,115.065968,35.386391,553.170000,-0.003673
1230.270000,115.065968,35.385313,598.020000,0.001119
1316.870000,115.065781,35.384587,807.330000,-0.000072
1403.460000,115.065429,35.383909,1255.840000,-0.001759
1490.060000,115.065429,35.383129,1435.250000,-0.001127
1576.660000,115.065429,35.382348,1465.150000,0.000000
1576.660000,115.065429,35.382348,837.230000,-0.004204
1654.610000,115.066131,35.382079,627.920000,-0.004144
1732.570000,115.066912,35.382214,598.020000,-0.002771
1810.530000,115.067692,35.382348,523.270000,-0.001478
1888.490000,115.068394,35.382618,478.420000,-0.001498
1888.490000,115.068394,35.382618,598.020000,-0.002242
1973.280000,115.069327,35.382618,478.420000,-0.001748
2058.070000,115.070104,35.382887,478.420000,0.000000
2142.850000,115.070957,35.383026,508.320000,-0.001233
2227.640000,115.071815,35.383157,508.320000,-0.003680
2312.430000,115.072436,35.383696,553.170000,-0.003639
2312.430000,115.072436,35.383696,717.630000,-0.001871
2409.460000,115.073348,35.383426,657.820000,-0.001942
2506.490000,115.074416,35.383426,418.610000,-0.002704
2603.520000,115.075453,35.383479,418.610000,-0.004967
2700.550000,115.076229,35.383985,807.330000,-0.004899
2797.580000,115.076488,35.384784,448.520000,-0.001628
2894.610000,115.076748,35.385582,508.320000,-0.000000
2894.610000,115.076748,35.385582,627.920000,-0.003363
2975.020000,115.077605,35.385631,523.270000,-0.005003
3055.420000,115.078264,35.386021,508.320000,-0.005212
3135.830000,115.078635,35.386637,448.520000,-0.003344
3216.230000,115.078904,35.387283,642.870000,-0.002446
3296.640000,115.078904,35.388008,702.670000,-0.001986
3296.640000,115.079713,35.388277,612.970000,0.000000
3394.810000,115.080595,35.388620,612.970000,0.001181
3492.980000,115.081477,35.388963,598.020000,0.001734
3591.150000,115.082161,35.389648,568.120000,-0.000000
3689.320000,115.082945,35.390162,538.220000,-0.000553
3787.490000,115.083728,35.390676,508.320000,-0.000583
3885.660000,115.084511,35.391190,478.420000,-0.000583
3983.820000,115.085393,35.391533,463.470000,0.000678
4081.990000,115.086177,35.392047,448.520000,0.001135
4180.160000,115.086944,35.392589,448.520000,0.000367
4278.330000,115.087645,35.393245,418.610000,0.000422
4376.500000,115.088428,35.393759,448.520000,0.000604
4474.670000,115.088921,35.394476,463.470000,-0.000808
4572.840000,115.089688,35.395018,403.660000,-0.001648
4671.010000,115.090458,35.395554,403.660000,-0.000823
4769.180000,115.091353,35.395875,478.420000,0.000583
4867.350000,115.092136,35.396389,478.420000,0.002276
4965.520000,115.092920,35.396903,478.420000,0.003209
5063.690000,115.093187,35.397710,568.120000,0.003182
5063.690000,115.093187,35.397710,523.270000,0.001668
5162.030000,115.094114,35.397979,463.470000,0.004234
5260.370000,115.094804,35.398442,523.270000,0.006076
5358.710000,115.094804,35.399328,478.420000,0.003373
5457.050000,115.094535,35.400136,299.010000,0.000698
5555.390000,115.094265,35.400943,164.460000,-0.000000
5555.390000,115.094265,35.400943,209.310000,0.000666
5646.100000,115.094535,35.401682,104.650000,0.000823
5736.820000,115.094696,35.402453,89.700000,0.000964
5827.530000,115.094804,35.403239,164.460000,0.002376
5918.250000,115.094804,35.404056,239.210000,0.003551
6008.960000,115.094265,35.404716,299.010000,0.003298
6008.960000,115.094265,35.404716,269.110000,0.001173
6095.110000,115.094535,35.405414,269.110000,0.000915
6181.270000,115.094633,35.406162,269.110000,-0.000250
6267.420000,115.094804,35.406888,269.110000,-0.000000
6353.570000,115.095074,35.407586,269.110000,0.001441
6439.720000,115.095074,35.408363,284.060000,0.001724
6525.880000,115.095074,35.409139,254.160000,0.001778
6612.030000,115.094804,35.409837,299.010000,0.001831
6612.030000,115.092648,35.411184,448.520000,-0.002126
6688.350000,115.093333,35.411454,583.070000,0.001237
6764.670000,115.093910,35.411907,717.630000,0.008255
6840.990000,115.094541,35.411717,403.660000,0.007497
6917.310000,115.095074,35.411184,1091.390000,0.003084
6917.310000,115.096421,35.411454,343.860000,-0.002273
7014.000000,115.096679,35.412250,313.960000,-0.002739
7110.700000,115.097353,35.412924,239.210000,-0.002355
7207.390000,115.098126,35.413428,209.310000,-0.001172
7304.080000,115.098930,35.413879,164.460000,-0.000520
7400.780000,115.099771,35.414265,194.360000,-0.000618
7497.470000,115.100591,35.414688,179.410000,-0.000976
7594.170000,115.101515,35.414931,239.210000,0.000612
7690.860000,115.102408,35.415227,239.210000,-0.000000
7787.550000,115.103161,35.415766,269.110000,-0.001223
7884.250000,115.104226,35.415766,313.960000,0.000000
7980.940000,115.105003,35.416262,328.910000,-0.000648
8077.630000,115.106043,35.416305,388.710000,0.000000
8174.330000,115.106952,35.416574,388.710000,0.000800
8271.020000,115.107860,35.416844,433.570000,-0.000000
8367.710000,115.108769,35.417113,448.520000,-0.000000
8464.410000,115.109678,35.417383,448.520000,0.000000
8561.100000,115.110586,35.417652,448.520000,0.000000
8657.800000,115.111495,35.417922,448.520000,0.000000
8754.490000,115.112404,35.418191,448.520000,-0.000943
8851.180000,115.113313,35.418461,478.420000,-0.000943
8947.880000,115.114377,35.418461,478.420000,0.000943
9044.570000,115.115286,35.418730,508.320000,0.001885
9044.570000,115.116364,35.418461,598.020000,0.001305
9134.960000,115.116994,35.417830,598.020000,0.002088
9225.360000,115.117731,35.417383,553.170000,0.004522
9315.750000,115.118570,35.417113,89.700000,0.007162
9406.140000,115.119328,35.417449,388.710000,0.005063
9496.530000,115.119801,35.418125,328.910000,0.000539
9586.930000,115.120432,35.418756,493.370000,0.000151
9677.320000,115.121062,35.419386,642.870000,0.001232
9767.710000,115.121484,35.420078,911.980000,0.001265
9767.710000,115.122562,35.420347,657.820000,0.001812
9866.250000,115.123491,35.420078,612.970000,0.002507
9964.800000,115.124576,35.420078,568.120000,0.001644
10063.340000,115.125513,35.420334,568.120000,-0.000740
10161.880000,115.126590,35.420347,538.220000,-0.000822
10260.430000,115.127675,35.420347,568.120000,-0.000039
10358.970000,115.128761,35.420347,508.320000,0.000000
10358.970000,115.128761,35.420347,1794.060000,0.000000
10456.450000,115.128761,35.421226,1794.060000,-0.001148
10553.920000,115.128761,35.422104,1151.190000,-0.006278
10651.400000,115.129191,35.422773,523.270000,-0.008677
10748.870000,115.130108,35.422503,627.920000,-0.007094
10748.870000,115.130108,35.422503,762.480000,-0.002044
10841.180000,115.130813,35.423042,598.020000,-0.004071
10933.490000,115.131673,35.423312,493.370000,-0.005029
11025.800000,115.132533,35.423042,657.820000,-0.003959
11025.800000,115.132533,35.423042,254.160000,0.000000
11125.470000,115.132533,35.422144,1794.060000,0.000000
11225.130000,115.132533,35.421245,1794.060000,0.000000
11324.800000,115.132533,35.420347,1794.060000,0.000000
11324.800000,115.133342,35.420617,568.120000,0.002118
11416.260000,115.134193,35.420347,538.220000,0.002977
11507.720000,115.135200,35.420347,538.220000,0.001917
11599.170000,115.136051,35.420617,538.220000,-0.000959
11690.630000,115.137058,35.420617,508.320000,-0.000959
11782.090000,115.138065,35.420617,478.420000,0.000000
11873.550000,115.139072,35.420617,478.420000,0.000000
11965.010000,115.140079,35.420617,478.420000,0.000000
11965.010000,115.140079,35.420617,822.280000,-0.000000
12054.140000,115.140701,35.421238,837.230000,-0.000000
12143.270000,115.141323,35.421860,882.080000,-0.001258
12232.400000,115.141944,35.422482,717.630000,-0.004874
12321.530000,115.142757,35.422773,463.470000,-0.005835
12410.660000,115.143583,35.422503,538.220000,-0.004438
12410.660000,115.143583,35.422503,747.530000,0.002390
12504.960000,115.143342,35.421723,1181.090000,0.001775
12599.260000,115.142684,35.421066,1061.490000,-0.000000
12693.560000,115.142235,35.420347,1300.700000,-0.001159
12693.560000,115.142235,35.420347,448.520000,0.001176
12793.000000,115.143174,35.420078,523.270000,0.000889
12892.450000,115.144215,35.419984,433.570000,0.001141
12991.890000,115.145208,35.419808,627.920000,0.002502
13091.330000,115.146195,35.419995,583.070000,0.002228
13190.770000,115.147086,35.420347,777.430000,0.001132
13190.770000,115.147086,35.420347,598.020000,0.000000
13274.760000,115.148011,35.420347,598.020000,0.000000
13358.740000,115.148936,35.420347,538.220000,-0.001143
13442.730000,115.149860,35.420347,568.120000,0.000000
13526.720000,115.150629,35.420078,568.120000,0.003552
13610.700000,115.151398,35.420347,642.870000,0.004817
13610.700000,115.151398,35.420347,627.920000,-0.001613
13710.160000,115.152493,35.420347,627.920000,-0.000807
13809.630000,115.153432,35.420078,657.820000,-0.000000
13909.090000,115.154528,35.420078,627.920000,-0.000000
14008.560000,115.155467,35.419808,568.120000,0.000000
14108.020000,115.156562,35.419808,568.120000,0.000000
14207.490000,115.157501,35.419539,568.120000,-0.000000
14306.950000,115.158596,35.419539,553.170000,-0.000888
14406.420000,115.159536,35.419269,568.120000,-0.000888
14505.880000,115.160475,35.419000,538.220000,0.000888
14605.340000,115.161414,35.418730,508.320000,0.001695
14704.810000,115.162509,35.418730,478.420000,0.000000
14804.270000,115.163604,35.418730,478.420000,-0.001273
14903.740000,115.164544,35.418461,478.420000,-0.000000
15003.200000,115.165556,35.418317,508.320000,0.000908
15102.670000,115.166578,35.418191,508.320000,0.000807
15202.130000,115.167673,35.418191,448.520000,0.000364
15301.600000,115.168768,35.418191,478.420000,-0.000807
15401.060000,115.169863,35.418191,508.320000,-0.000807
15500.530000,115.170803,35.417922,538.220000,0.000807
15599.990000,115.171898,35.417922,538.220000,0.001408
15699.450000,115.172993,35.417922,538.220000,0.000807
15798.920000,115.173970,35.418126,583.070000,-0.000415
15898.380000,115.175027,35.418191,568.120000,-0.001613
15997.850000,115.176122,35.418191,583.070000,-0.000993
16097.310000,115.177062,35.417922,598.020000,-0.000000
16196.780000,115.178157,35.417922,598.020000,-0.000000
16296.240000,115.179096,35.417652,627.920000,0.000000
16395.710000,115.180191,35.417652,598.020000,0.000000
16495.170000,115.181130,35.417383,627.920000,0.000000
16594.630000,115.182226,35.417383,627.920000,0.000000
16694.100000,115.183165,35.417113,598.020000,0.000805
16793.560000,115.184260,35.417113,598.020000,-0.000000
16893.030000,115.185355,35.417113,598.020000,-0.000804
16992.490000,115.186294,35.416844,583.070000,0.000807
17091.960000,115.187390,35.416844,568.120000,-0.000001
17191.420000,115.188485,35.416844,568.120000,-0.000896
17290.890000,115.189424,35.416574,598.020000,-0.000000
17390.350000,115.190503,35.416546,598.020000,-0.000704
17489.810000,115.191458,35.416305,598.020000,0.000000
17589.280000,115.192397,35.416035,568.120000,0.001600
17688.740000,115.193493,35.416035,538.220000,0.000807
17788.210000,115.194588,35.416035,538.220000,-0.000807
17887.670000,115.195683,35.416035,568.120000,-0.000807
17987.140000,115.196622,35.415766,598.020000,0.000000
18086.600000,115.197717,35.415766,598.020000,-0.000798
18186.070000,115.198657,35.415496,627.920000,-0.000504
18285.530000,115.199611,35.415253,627.920000,0.000714
18385.000000,115.200601,35.415072,627.920000,0.000134
18484.460000,115.201630,35.414957,627.920000,-0.000804
18583.920000,115.202569,35.414688,657.820000,-0.000431
18683.390000,115.203509,35.414418,657.820000,0.000888
18782.850000,115.204463,35.414175,657.820000,0.000719
18882.320000,115.205543,35.414149,657.820000,-0.000000
18981.780000,115.206482,35.413879,657.820000,0.000082
19081.250000,115.207577,35.413879,687.720000,0.000000
19180.710000,115.208516,35.413610,717.630000,0.000807
19280.180000,115.209612,35.413610,657.820000,0.000807
19379.640000,115.210707,35.413610,598.020000,0.000000
19479.100000,115.211802,35.413610,598.020000,0.000000
19578.570000,115.212897,35.413610,598.020000,0.000000
19678.030000,115.213992,35.413610,568.120000,0.000000
19777.500000,115.215087,35.413610,598.020000,0.000741
19876.960000,115.216183,35.413610,627.920000,0.000807
19976.430000,115.217134,35.413858,627.920000,0.000132
20075.890000,115.218217,35.413879,538.220000,0.000837
20175.360000,115.219156,35.414149,448.520000,-0.000066
20274.820000,115.220104,35.414403,418.610000,-0.000789
20374.280000,115.221191,35.414418,403.660000,0.000288
20473.750000,115.222130,35.414688,358.810000,-0.000043
20573.210000,115.223173,35.414777,343.860000,0.001167
20672.680000,115.224163,35.414959,373.760000,0.002033
20772.140000,115.224956,35.415482,373.760000,0.001149
20871.610000,115.225847,35.415834,373.760000,0.000567
20971.070000,115.226541,35.416528,299.010000,-0.000636
21070.540000,115.227432,35.416880,358.810000,-0.000567
21170.000000,115.228236,35.417383,343.860000,-0.000158
21269.470000,115.229116,35.417755,299.010000,0.000333
21368.930000,115.229959,35.418191,284.060000,0.001073
21468.390000,115.230742,35.418730,269.110000,-0.000093
21567.860000,115.231493,35.419324,254.160000,-0.001429
21667.320000,115.232385,35.419677,239.210000,-0.000023
21766.790000,115.233276,35.420029,284.060000,0.001149
21866.250000,115.234031,35.420617,328.910000,0.000138
21965.720000,115.234861,35.421075,343.860000,0.000000
22065.180000,115.235653,35.421598,388.710000,0.000211
22164.650000,115.236446,35.422121,418.610000,-0.000567
22264.110000,115.237238,35.422644,433.570000,-0.000567
22363.570000,115.238130,35.422996,433.570000,0.000567
22463.040000,115.238922,35.423519,478.420000,0.000567
22562.500000,115.239715,35.424042,463.470000,-0.000000
22661.970000,115.240507,35.424565,493.370000,-0.000000
22761.430000,115.241300,35.425088,493.370000,0.000448
22860.900000,115.242092,35.425611,478.420000,0.000000
22960.360000,115.242803,35.426276,523.270000,-0.000354
23059.830000,115.243677,35.426657,538.220000,0.000538
23159.290000,115.244371,35.427351,583.070000,-0.000094
23258.750000,115.245163,35.427874,568.120000,-0.000538
23358.220000,115.245956,35.428397,598.020000,0.000000
23457.680000,115.246748,35.428920,598.020000,0.000000
23557.150000,115.247541,35.429443,642.870000,-0.000567
23656.610000,115.248333,35.429966,612.970000,-0.001149
23756.080000,115.249225,35.430318,657.820000,-0.001166
23756.080000,115.249225,35.430318,1659.510000,0.000000
23837.480000,115.249792,35.429751,1435.250000,0.001642
23918.880000,115.250360,35.429183,1345.550000,0.005576
24000.280000,115.251134,35.428971,777.430000,0.007729
24081.680000,115.251891,35.429212,493.370000,0.005295
24163.080000,115.252459,35.429779,657.820000,0.003000
24163.080000,115.253267,35.430049,702.670000,-0.001852
24238.180000,115.252952,35.430634,941.880000,-0.001800
24313.270000,115.252428,35.431157,1031.590000,-0.000874
24388.360000,115.251904,35.431681,1315.650000,-0.000000
24463.450000,115.251381,35.432205,1599.710000,-0.000000
24463.450000,115.251381,35.432205,538.220000,0.000000
24563.050000,115.251867,35.432961,463.470000,-0.000518
24662.660000,115.252353,35.433716,433.570000,-0.001010
24762.260000,115.253048,35.434411,403.660000,-0.000000
24861.870000,115.253742,35.435106,403.660000,-0.000000
24961.470000,115.254229,35.435861,358.810000,-0.000934
25061.070000,115.255022,35.436385,418.610000,0.000492
25160.680000,115.255692,35.437087,358.810000,0.000875
25260.280000,115.256203,35.437836,403.660000,-0.000461
25359.880000,115.256898,35.438531,418.610000,0.000059
25459.490000,115.257579,35.439229,358.810000,-0.000065
25559.090000,115.258079,35.439981,403.660000,-0.000990
25658.700000,115.258872,35.440505,403.660000,-0.000732
