s_m,lon,lat,B_m,C_1m
0.000000,115.058961,35.375072,627.920000,0.001577
98.720000,115.060045,35.375067,657.820000,0.000771
197.450000,115.060978,35.374802,657.820000,0.000000
296.170000,115.062065,35.374802,612.970000,0.000017
394.890000,115.062995,35.374533,598.020000,-0.000819
493.610000,115.064082,35.374533,568.120000,-0.000849
592.330000,115.065168,35.374533,538.220000,-0.000819
691.050000,115.066248,35.374544,538.220000,-0.001654
789.780000,115.067185,35.374802,478.420000,0.000000
888.500000,115.068116,35.375072,418.610000,0.001685
987.220000,115.069202,35.375072,388.710000,0.001638
987.220000,115.069202,35.375072,493.370000,0.001015
1085.920000,115.069891,35.375760,254.160000,0.000489
1184.630000,115.070678,35.376278,209.310000,-0.002080
1283.330000,115.071358,35.376969,209.310000,-0.002619
1382.040000,115.071429,35.377838,239.210000,0.001026
1480.740000,115.071897,35.378590,313.960000,0.001039
1579.450000,115.072487,35.379166,343.860000,-0.001026
1678.150000,115.072759,35.379976,358.810000,0.000061
1776.850000,115.073238,35.380725,388.710000,0.000167
1875.560000,115.073718,35.381475,433.570000,-0.000543
1974.260000,115.074053,35.382266,448.520000,0.000746
2072.970000,115.074469,35.383034,508.320000,0.001071
2171.670000,115.075158,35.383723,508.320000,-0.000832
2270.380000,115.075638,35.384472,493.370000,-0.000836
2369.080000,115.075940,35.385273,523.270000,0.000915
2467.790000,115.076479,35.386005,538.220000,0.000610
2566.490000,115.077077,35.386720,553.170000,-0.000995
2665.200000,115.077557,35.387469,598.020000,-0.000844
2763.900000,115.077828,35.388279,583.070000,0.000144
2862.610000,115.078308,35.389029,568.120000,0.000542
2961.310000,115.078635,35.389823,598.020000,0.000789
3060.020000,115.079268,35.390527,612.970000,0.000000
3158.720000,115.079748,35.391277,598.020000,-0.000177
3257.430000,115.080228,35.392026,583.070000,0.000000
3356.130000,115.080791,35.392751,598.020000,-0.000428
3454.840000,115.081187,35.393525,583.070000,-0.000000
3553.540000,115.081667,35.394274,583.070000,0.000215
