s_m,lon,lat,B_m,C_1m
0.000000,115.070550,35.373725,59.800000,0.000000
77.290000,115.070011,35.374263,568.120000,0.000000
154.590000,115.069472,35.374802,926.930000,0.000000
154.590000,115.069472,35.374802,239.210000,0.001227
247.750000,115.069704,35.375574,239.210000,0.001118
340.910000,115.070145,35.376285,269.110000,0.000000
434.070000,115.070550,35.377006,328.910000,-0.000902
527.230000,115.070819,35.377767,313.960000,-0.000795
527.230000,115.070819,35.377767,373.760000,-0.001389
626.010000,115.071358,35.378500,358.810000,-0.001401
724.790000,115.071628,35.379311,373.760000,-0.000295
823.570000,115.071897,35.380123,373.760000,0.001227
922.350000,115.072324,35.380888,403.660000,0.001173
1021.130000,115.072861,35.381540,388.710000,0.000072
1119.920000,115.073383,35.382217,418.610000,-0.000482
1218.700000,115.073863,35.382967,388.710000,0.000830
1317.480000,115.074344,35.383717,388.710000,0.002080
1416.260000,115.075131,35.384235,418.610000,0.002105
1416.260000,115.075131,35.384235,418.610000,0.002393
1508.310000,115.075148,35.385060,373.760000,0.003061
1600.360000,115.075581,35.385763,343.860000,0.001347
1692.410000,115.076223,35.386404,313.960000,0.000578
1784.460000,115.076479,35.387159,358.810000,0.003526
1876.510000,115.077287,35.387469,448.520000,0.004861
1876.510000,115.077557,35.388277,343.860000,-0.000000
1957.300000,115.077826,35.388927,343.860000,0.000362
2038.080000,115.078096,35.389576,448.520000,0.002924
2118.870000,115.078440,35.390164,433.570000,0.004721
2199.660000,115.079174,35.390433,568.120000,0.004319
2199.660000,115.079174,35.390433,403.660000,-0.002232
2277.870000,115.079443,35.391059,403.660000,-0.000027
2356.080000,115.079443,35.391764,403.660000,0.003289
2434.280000,115.079976,35.392313,418.610000,0.002247
2512.490000,115.080521,35.392859,373.760000,0.000095
2512.490000,115.080521,35.392859,403.660000,0.002192
2581.030000,115.080582,35.393459,418.610000,0.003346
2649.580000,115.080851,35.393998,403.660000,0.003303
2718.120000,115.081330,35.394476,403.660000,0.002106
2718.120000,115.081330,35.394476,807.330000,0.000000
2811.730000,115.081982,35.393823,897.030000,0.002949
2905.340000,115.082635,35.393170,747.530000,0.006413
2998.960000,115.083485,35.393398,448.520000,0.006928
2998.960000,115.085102,35.396093,328.910000,-0.002687
3078.580000,115.085756,35.396477,343.860000,-0.005311
3158.200000,115.086180,35.397071,403.660000,-0.006699
3237.820000,115.085911,35.397710,508.320000,-0.005462
3237.820000,115.085911,35.397710,358.810000,-0.002457
3321.310000,115.086493,35.398292,328.910000,-0.003342
3404.800000,115.086719,35.398978,478.420000,-0.001961
3488.300000,115.086719,35.399731,493.370000,0.001129
3571.790000,115.086989,35.400404,269.110000,0.001952
3571.790000,115.086180,35.400674,269.110000,0.000000
3663.180000,115.086401,35.401433,284.060000,0.001273
3754.570000,115.086621,35.402193,343.860000,0.002477
3845.960000,115.087258,35.402830,373.760000,0.002409
3845.960000,115.087258,35.402830,269.110000,0.001624
3920.860000,115.087528,35.403426,373.760000,0.003413
3995.750000,115.087937,35.403908,403.660000,0.004254
4070.650000,115.088606,35.404177,478.420000,0.003307
4070.650000,115.088606,35.404177,373.760000,0.001082
4168.730000,115.088875,35.404983,358.810000,0.001657
4266.810000,115.089348,35.405728,403.660000,0.001294
4364.890000,115.089953,35.406294,388.710000,-0.000238
4462.980000,115.090492,35.407020,358.810000,-0.000447
4561.060000,115.091031,35.407747,328.910000,-0.000196
4659.140000,115.091558,35.408477,328.910000,-0.000296
4757.220000,115.092033,35.409222,313.960000,0.000910
4855.300000,115.092509,35.409967,358.810000,0.001557
4953.390000,115.093292,35.410480,313.960000,0.000000
5051.470000,115.093976,35.411164,239.210000,0.000554
5149.550000,115.094660,35.411848,179.410000,0.001651
5247.630000,115.095541,35.412191,194.360000,0.000500
5345.710000,115.096324,35.412704,194.360000,0.000773
5443.800000,115.097192,35.413071,179.410000,0.001198
5541.880000,115.098116,35.413340,209.310000,0.000341
5639.960000,115.099040,35.413610,254.160000,-0.000000
5738.040000,115.099964,35.413879,269.110000,-0.000001
5836.120000,115.100888,35.414149,269.110000,-0.000258
5934.210000,115.101811,35.414418,313.960000,0.000002
6032.290000,115.102693,35.414761,269.110000,0.000513
6130.370000,115.103659,35.414957,299.010000,-0.000001
6228.450000,115.104583,35.415227,269.110000,-0.000255
6326.530000,115.105507,35.415496,299.010000,0.000000
6424.620000,115.106431,35.415766,328.910000,0.000000
6522.700000,115.107355,35.416035,328.910000,0.000000
6620.780000,115.108279,35.416305,328.910000,0.000000
