s_m,lon,lat,B_m,C_1m
0.000000,115.058961,35.373725,224.260000,0.002082
92.210000,115.059820,35.373994,418.610000,0.001983
184.430000,115.060835,35.373994,388.710000,0.001885
276.650000,115.061850,35.373994,358.810000,0.000942
368.870000,115.062709,35.373725,358.810000,-0.000000
461.090000,115.063724,35.373725,328.910000,-0.000000
553.310000,115.064583,35.373455,358.810000,-0.000942
645.520000,115.065598,35.373455,299.010000,-0.002926
737.740000,115.066613,35.373455,328.910000,-0.004079
829.960000,115.067316,35.373994,343.860000,-0.004191
829.960000,115.067316,35.373994,284.060000,-0.001226
925.360000,115.068277,35.374147,343.860000,-0.003036
1020.750000,115.069140,35.374471,343.860000,-0.004121
1116.150000,115.069597,35.375197,254.160000,-0.002282
1211.550000,115.070053,35.375923,254.160000,-0.001168
1306.940000,115.070301,35.376710,269.110000,-0.000586
1402.340000,115.070550,35.377497,313.960000,0.000000
1402.340000,115.070550,35.377497,358.810000,-0.000871
1498.980000,115.071114,35.378062,343.860000,-0.000749
1595.610000,115.071628,35.378782,418.610000,-0.000248
1692.240000,115.072167,35.379495,418.610000,-0.000657
1788.880000,115.072706,35.380209,418.610000,-0.001461
1885.510000,115.072975,35.381001,463.470000,-0.001476
1885.510000,115.072975,35.381001,448.520000,-0.001017
1975.390000,115.073602,35.381628,463.470000,-0.000607
2065.280000,115.074053,35.382306,433.570000,-0.000197
2155.160000,115.074647,35.382942,448.520000,-0.000640
2245.040000,115.075065,35.383630,403.660000,0.000706
2334.930000,115.075484,35.384318,463.470000,0.002526
2424.810000,115.076209,35.384774,448.520000,0.002559
2424.810000,115.076209,35.384774,418.610000,0.000109
2524.790000,115.076479,35.385596,418.610000,0.000616
2624.770000,115.076770,35.386412,418.610000,0.001063
2724.760000,115.077258,35.387170,403.660000,0.000147
2824.740000,115.077747,35.387929,388.710000,-0.000000
2924.720000,115.078096,35.388728,448.520000,0.000605
3024.700000,115.078724,35.389445,433.570000,0.000000
3124.690000,115.079174,35.390215,433.570000,-0.000679
3224.670000,115.079702,35.390961,433.570000,-0.001063
3324.650000,115.079982,35.391781,448.520000,-0.001269
3324.650000,115.079982,35.391781,448.520000,-0.000574
3423.720000,115.080521,35.392516,463.470000,-0.000432
3522.790000,115.080947,35.393284,448.520000,0.000000
3621.860000,115.081429,35.394036,433.570000,0.000180
3720.930000,115.081912,35.394788,433.570000,-0.000000
3820.000000,115.082407,35.395536,418.610000,0.000252
3919.070000,115.082876,35.396292,418.610000,-0.000000
4018.140000,115.083485,35.397007,418.610000,-0.000079
4117.210000,115.083841,35.397796,403.660000,-0.000000
4216.280000,115.084532,35.398487,433.570000,-0.000208
4315.350000,115.084806,35.399299,418.610000,0.001005
4414.420000,115.085497,35.399990,403.660000,0.000524
4513.490000,115.086180,35.400683,358.810000,-0.000986
4612.560000,115.086670,35.401433,373.760000,-0.000524
4711.630000,115.087152,35.402185,358.810000,0.000505
4810.700000,115.087635,35.402937,358.810000,0.000016
4909.760000,115.088326,35.403628,373.760000,-0.001063
