s_m,lon,lat,B_m,C_1m
0.000000,115.058961,35.374533,627.920000,0.000000
97.120000,115.060030,35.374533,657.820000,0.000847
194.240000,115.061099,35.374533,657.820000,0.001603
291.370000,115.062012,35.374263,657.820000,-0.000000
388.490000,115.062954,35.374044,583.070000,-0.001116
485.610000,115.063994,35.373994,568.120000,-0.000533
582.740000,115.065000,35.373885,553.170000,-0.001829
679.860000,115.065874,35.373900,612.970000,-0.001959
776.980000,115.066733,35.374263,508.320000,-0.000439
874.100000,115.067722,35.374401,358.810000,-0.000612
971.230000,115.068559,35.374802,269.110000,0.000000
1068.350000,115.069472,35.375072,299.010000,0.000950
1068.350000,115.069472,35.375072,239.210000,-0.000000
1140.930000,115.069978,35.375578,224.260000,0.000952
1213.500000,115.070484,35.376084,194.360000,0.001994
1286.080000,115.071089,35.376419,239.210000,0.002084
1286.080000,115.071089,35.376419,194.360000,0.001358
1385.170000,115.071363,35.377232,209.310000,0.000667
1484.250000,115.071897,35.377969,209.310000,-0.000000
1583.330000,115.072167,35.378783,284.060000,0.000702
1682.420000,115.072706,35.379519,328.910000,0.000668
1781.500000,115.073245,35.380254,358.810000,-0.000165
1880.580000,115.073775,35.380992,388.710000,-0.001347
1979.670000,115.074257,35.381744,388.710000,-0.002254
2078.750000,115.074323,35.382618,448.520000,-0.002100
2078.750000,115.074323,35.382618,418.610000,-0.000000
2175.680000,115.074889,35.383184,448.520000,-0.000520
2272.610000,115.075565,35.383860,418.610000,-0.001068
2369.550000,115.076032,35.384597,433.570000,-0.000548
2466.480000,115.076500,35.385334,433.570000,-0.001131
2563.420000,115.076967,35.386071,433.570000,-0.002223
2660.350000,115.077018,35.386930,478.420000,-0.002184
2660.350000,115.077018,35.386930,538.220000,-0.004263
2727.090000,115.077557,35.387232,493.370000,-0.004279
2793.830000,115.077839,35.387751,523.270000,-0.002292
2860.570000,115.078096,35.388277,478.420000,-0.000289
2860.570000,115.079174,35.390164,478.420000,-0.001361
2960.400000,115.079713,35.390906,538.220000,-0.000386
3060.220000,115.079982,35.391727,508.320000,0.000838
3160.050000,115.080636,35.392435,553.170000,-0.000401
3259.880000,115.081124,35.393192,493.370000,-0.000414
3359.700000,115.081403,35.394010,508.320000,0.000604
3459.530000,115.082099,35.394707,538.220000,-0.000531
3559.360000,115.082407,35.395516,538.220000,-0.000497
3659.190000,115.082866,35.396282,478.420000,-0.001062
3759.010000,115.083216,35.397079,538.220000,-0.002007
3858.840000,115.083216,35.397979,553.170000,-0.001675
3858.840000,115.083216,35.397979,956.830000,-0.005601
3938.980000,115.084071,35.398026,568.120000,-0.007510
4019.130000,115.084563,35.398604,493.370000,-0.006584
4099.270000,115.084563,35.399326,568.120000,-0.003749
4099.270000,115.084563,35.399326,523.270000,0.002445
4185.850000,115.084294,35.400028,568.120000,0.002684
4272.440000,115.084398,35.400778,508.320000,0.003154
4359.020000,115.084585,35.401504,284.060000,0.004768
4445.600000,115.085189,35.402108,493.370000,0.005740
4532.190000,115.086036,35.402291,702.670000,0.003379
4618.770000,115.086989,35.402291,807.330000,0.001429
4618.770000,115.086989,35.402291,403.660000,-0.000400
4700.190000,115.087557,35.402859,418.610000,-0.002329
4781.620000,115.088067,35.403444,388.710000,-0.004013
4863.040000,115.088067,35.404177,463.470000,-0.003767
4863.040000,115.088067,35.404177,463.470000,-0.002143
4960.960000,115.088849,35.404690,388.710000,-0.001471
5058.870000,115.089323,35.405433,403.660000,-0.001745
5156.790000,115.089953,35.405990,403.660000,-0.003104
5254.710000,115.089953,35.406872,358.810000,-0.003517
5254.710000,115.089953,35.406872,418.610000,-0.001044
5349.460000,115.090492,35.407427,373.760000,-0.000687
5444.220000,115.090957,35.408145,403.660000,0.000596
5538.970000,115.091472,35.408759,418.610000,0.000408
5633.730000,115.092169,35.409357,373.760000,-0.000000
5728.480000,115.092621,35.410079,328.910000,0.000904
5823.240000,115.093381,35.410569,313.960000,0.000552
5917.990000,115.094041,35.411230,284.060000,0.000410
6012.750000,115.094801,35.411720,179.410000,-0.000000
6107.500000,115.095531,35.412262,179.410000,-0.000160
6202.260000,115.096222,35.412871,194.360000,0.001866
6297.010000,115.096993,35.413340,119.600000,0.002180
6391.770000,115.097938,35.413510,,0.000000
6486.520000,115.098797,35.413829,104.650000,-0.000563
6581.280000,115.099655,35.414149,209.310000,-0.000000
6581.280000,115.099655,35.414149,134.550000,0.003848
6677.830000,115.100406,35.414688,179.410000,0.003727
6774.380000,115.101469,35.414688,269.110000,0.000328
6870.930000,115.102532,35.414688,328.910000,-0.002056
6967.480000,115.103337,35.415135,358.810000,-0.000660
7064.030000,115.104306,35.415296,373.760000,-0.000201
7160.580000,115.105098,35.415766,388.710000,0.000377
7257.130000,115.106048,35.415960,403.660000,0.001144
7353.680000,115.106919,35.416292,418.610000,0.000859
7450.230000,115.107975,35.416305,418.610000,-0.000690
7546.780000,115.108882,35.416574,418.610000,-0.000885
7643.330000,115.109789,35.416844,418.610000,0.000405
7739.880000,115.110699,35.417108,448.520000,0.000910
7836.430000,115.111669,35.417269,478.420000,0.000151
7932.990000,115.112667,35.417383,448.520000,-0.000928
8029.540000,115.113574,35.417652,448.520000,0.000389
8126.090000,115.114481,35.417922,448.520000,0.000945
8222.640000,115.115544,35.417922,448.520000,-0.000156
8319.190000,115.116451,35.418191,478.420000,-0.000000
8415.740000,115.117488,35.418237,403.660000,-0.000625
8512.290000,115.118421,35.418461,388.710000,-0.000945
8608.840000,115.119328,35.418730,388.710000,-0.000329
8608.840000,115.119328,35.418730,1794.060000,0.001506
8704.360000,115.119328,35.419591,1225.940000,0.003047
8799.870000,115.119618,35.420367,523.270000,0.005700
8895.380000,115.120369,35.420886,328.910000,0.004345
8990.890000,115.121421,35.420886,313.960000,0.003410
9086.410000,115.122308,35.421140,388.710000,0.005464
9181.920000,115.122974,35.420474,1016.640000,0.002992
9277.430000,115.123640,35.419808,837.230000,-0.000000
