s_m,lon,lat,B_m,C_1m
9360.630000,115.123860,35.420078,538.220000,0.000809
9459.970000,115.124953,35.420078,568.120000,0.000000
9559.300000,115.126047,35.420078,568.120000,-0.001699
9658.640000,115.126985,35.420347,627.920000,-0.000000
9757.970000,115.127923,35.420617,627.920000,0.000891
9857.310000,115.129016,35.420617,657.820000,-0.000000
9956.640000,115.129954,35.420886,627.920000,0.000809
10055.970000,115.131048,35.420886,627.920000,0.000000
10155.310000,115.132142,35.420886,657.820000,-0.000855
10254.640000,115.133080,35.421156,687.720000,0.000272
10353.980000,115.134165,35.421170,687.720000,0.000902
10453.310000,115.135055,35.421329,672.770000,0.001045
10552.650000,115.136049,35.421156,657.820000,0.000031
10651.980000,115.137143,35.421156,598.020000,0.000654
10751.320000,115.138220,35.421128,568.120000,0.001598
10850.650000,115.139111,35.420777,598.020000,0.000168
10949.980000,115.140100,35.420596,508.320000,-0.000932
11049.320000,115.141050,35.420347,448.520000,-0.001331
11148.650000,115.142143,35.420347,388.710000,0.000065
11247.990000,115.143237,35.420347,418.610000,0.000809
11347.320000,115.144175,35.420078,388.710000,-0.000656
11446.660000,115.145269,35.420078,388.710000,0.000000
11545.990000,115.146331,35.420024,373.760000,0.001365
11645.330000,115.147300,35.419808,388.710000,0.000891
11744.660000,115.148238,35.419539,388.710000,-0.000709
11843.990000,115.149176,35.419269,388.710000,-0.001699
11943.330000,115.150269,35.419269,358.810000,-0.000809
12042.660000,115.151363,35.419269,328.910000,0.000000
12142.000000,115.152457,35.419269,358.810000,0.000000
12241.330000,115.153551,35.419269,358.810000,0.000000
12340.670000,115.154644,35.419269,358.810000,0.000000
12440.000000,115.155738,35.419269,358.810000,0.000809
12539.340000,115.156832,35.419269,388.710000,0.000809
12638.670000,115.157770,35.419000,388.710000,0.000000
12738.000000,115.158863,35.419000,418.610000,0.000000
12837.340000,115.159801,35.418730,388.710000,-0.000809
12936.670000,115.160895,35.418730,388.710000,-0.000809
13036.010000,115.161989,35.418730,388.710000,0.000000
13135.340000,115.163082,35.418730,388.710000,0.000000
13234.680000,115.164176,35.418730,388.710000,0.000000
13334.010000,115.165270,35.418730,388.710000,0.000000
13433.340000,115.166364,35.418730,388.710000,0.000000
13532.680000,115.167457,35.418730,388.710000,0.000000
13632.010000,115.168551,35.418730,388.710000,0.000000
13731.350000,115.169645,35.418730,418.610000,-0.000000
13830.680000,115.170739,35.418730,418.610000,0.000000
13930.020000,115.171832,35.418730,448.520000,-0.000000
14029.350000,115.172926,35.418730,418.610000,0.000000
14128.690000,115.174020,35.418730,448.520000,0.000000
14228.020000,115.175114,35.418730,448.520000,0.000000
14228.020000,115.175114,35.418730,837.230000,-0.000000
14320.920000,115.175762,35.419378,882.080000,0.001140
14413.830000,115.176410,35.420026,553.170000,0.004563
14506.730000,115.177247,35.420347,373.760000,0.004550
14599.630000,115.178114,35.420078,343.860000,0.001127
14692.530000,115.179137,35.420078,373.760000,0.000602
14785.440000,115.180004,35.419808,358.810000,0.002082
14878.340000,115.180934,35.419648,403.660000,0.003231
14971.240000,115.181581,35.419000,598.020000,0.003505
14971.240000,115.182929,35.419000,388.710000,0.009386
15050.270000,115.183579,35.419158,358.810000,0.008218
15129.300000,115.184007,35.418571,657.820000,0.003862
15208.330000,115.184473,35.417995,657.820000,0.000834
15287.360000,115.184815,35.417383,762.480000,0.000993
15287.360000,115.184815,35.417383,433.570000,0.000000
15383.420000,115.185717,35.417113,418.610000,0.000000
15479.480000,115.186619,35.416844,448.520000,-0.000956
15575.540000,115.187521,35.416574,448.520000,-0.000956
15671.600000,115.188578,35.416574,448.520000,0.000741
15767.660000,115.189480,35.416305,448.520000,0.000956
15863.720000,115.190416,35.416094,433.570000,0.000648
15959.780000,115.191283,35.415766,418.610000,0.000867
15959.780000,115.191283,35.415766,627.920000,0.000000
16029.780000,115.192054,35.415766,358.810000,-0.001667
16099.770000,115.192825,35.415766,418.610000,-0.003513
16169.760000,115.193439,35.416035,523.270000,-0.003692
16169.760000,115.195056,35.415766,792.380000,-0.000000
16267.130000,115.195735,35.416445,971.780000,0.000459
16364.510000,115.196414,35.417124,852.180000,0.002810
16461.880000,115.197181,35.417652,433.570000,0.004084
16559.260000,115.198253,35.417652,403.660000,0.001733
16656.630000,115.199325,35.417652,373.760000,-0.000413
16754.010000,115.200397,35.417652,403.660000,-0.000843
16851.380000,115.201391,35.417788,403.660000,0.000009
16948.760000,115.202386,35.417922,433.570000,0.000920
17046.130000,115.203458,35.417922,433.570000,0.001246
17143.500000,115.204515,35.417895,448.520000,-0.000167
17240.880000,115.205446,35.417652,463.470000,-0.001685
17338.250000,115.206362,35.417922,463.470000,0.000089
17435.630000,115.207435,35.417922,463.470000,0.000843
17533.000000,115.208507,35.417922,463.470000,0.000000
17630.380000,115.209579,35.417922,463.470000,0.000000
17727.750000,115.210651,35.417922,403.660000,0.000000
17825.130000,115.211723,35.417922,403.660000,0.000843
17922.500000,115.212795,35.417922,403.660000,0.001771
18019.880000,115.213712,35.417652,433.570000,-0.000000
18117.250000,115.214628,35.417383,403.660000,-0.000929
18214.630000,115.215700,35.417383,433.570000,0.001172
18312.000000,115.216616,35.417113,478.420000,0.003132
18409.380000,115.217493,35.416775,612.970000,0.003587
18506.750000,115.217963,35.416035,1046.540000,0.003254
18506.750000,115.217963,35.416035,583.070000,0.003292
18596.660000,115.218689,35.416492,343.860000,0.006321
18686.580000,115.219613,35.416542,388.710000,0.007523
18776.490000,115.220119,35.415880,971.780000,0.002751
18866.400000,115.220658,35.415227,672.770000,-0.000193
18866.400000,115.220658,35.415227,448.520000,-0.000000
18955.530000,115.221280,35.415848,553.170000,0.002037
19044.670000,115.221902,35.416470,299.010000,0.006404
19133.800000,115.222823,35.416574,313.960000,0.007285
19222.940000,115.223540,35.416118,612.970000,0.003523
19312.070000,115.224162,35.415496,926.930000,0.001209
19312.070000,115.224701,35.415496,388.710000,-0.001928
19409.350000,115.225616,35.415766,328.910000,-0.000726
19506.630000,115.226375,35.416305,284.060000,0.000961
19603.920000,115.227329,35.416508,284.060000,-0.000367
19701.200000,115.228205,35.416845,239.210000,-0.001684
19798.490000,115.228982,35.417352,269.110000,-0.000594
19895.770000,115.229760,35.417860,254.160000,0.000000
19993.060000,115.230537,35.418368,284.060000,-0.000513
20090.340000,115.231314,35.418876,239.210000,-0.000000
20187.630000,115.232002,35.419539,239.210000,0.001236
20284.910000,115.232869,35.419892,254.160000,0.000072
20382.200000,115.233676,35.420347,313.960000,-0.000899
20479.480000,115.234436,35.420886,299.010000,-0.000143
20576.770000,115.235201,35.421415,328.910000,0.000770
20674.050000,115.235978,35.421923,328.910000,0.000665
20771.330000,115.236854,35.422260,403.660000,-0.000594
20868.620000,115.237632,35.422768,418.610000,0.000000
20965.900000,115.238409,35.423275,448.520000,0.000595
21063.190000,115.239285,35.423613,448.520000,-0.000153
21160.470000,115.240062,35.424120,448.520000,-0.000494
21257.760000,115.240870,35.424477,508.320000,-0.000782
21355.040000,115.241507,35.425026,448.520000,-0.000101
21452.330000,115.242284,35.425534,463.470000,0.000934
21549.610000,115.243062,35.426042,493.370000,0.001813
21646.900000,115.243938,35.426379,553.170000,0.001812
21744.180000,115.244913,35.426545,687.720000,0.001185
21744.180000,115.244913,35.426545,568.120000,-0.000000
21842.050000,115.245178,35.427350,568.120000,0.001600
21939.910000,115.245444,35.428154,478.420000,0.002673
22037.780000,115.246225,35.428666,448.520000,0.001629
22135.640000,115.246908,35.429349,478.420000,0.001142
22233.510000,115.247788,35.429690,448.520000,-0.000470
