s_m,lon,lat,B_m,C_1m
0.000000,115.058961,35.376689,299.010000,0.001621
99.230000,115.060053,35.376689,388.710000,0.002630
198.460000,115.060990,35.376419,388.710000,0.000893
297.690000,115.061770,35.375880,388.710000,-0.001819
396.920000,115.062862,35.375880,358.810000,-0.000000
496.150000,115.063798,35.375611,343.860000,0.000832
595.390000,115.064735,35.375341,388.710000,-0.000893
694.620000,115.065681,35.375090,388.710000,-0.001592
793.850000,115.066763,35.375072,538.220000,-0.000810
893.080000,115.067855,35.375072,448.520000,-0.000101
893.080000,115.069472,35.375341,343.860000,-0.000000
965.660000,115.069978,35.375848,224.260000,0.000952
1038.230000,115.070484,35.376354,194.360000,0.001994
1110.810000,115.071089,35.376689,209.310000,0.002084
1110.810000,115.071089,35.376689,179.410000,-0.002127
1207.950000,115.071766,35.377366,149.510000,-0.001625
1305.100000,115.072027,35.378166,209.310000,0.000029
1402.250000,115.072496,35.378904,284.060000,0.000054
1499.400000,115.072975,35.379640,313.960000,-0.000057
1596.540000,115.073245,35.380436,358.810000,0.001002
1693.690000,115.073902,35.381120,388.710000,-0.000533
1790.840000,115.074371,35.381858,373.760000,-0.000495
1887.990000,115.074632,35.382657,403.660000,0.001107
1985.130000,115.075309,35.383335,418.610000,0.000000
2082.280000,115.075778,35.384073,418.610000,-0.000545
2179.430000,115.076247,35.384812,463.470000,0.000000
2276.580000,115.076716,35.385550,448.520000,-0.000261
2373.720000,115.077185,35.386289,433.570000,-0.000562
2470.870000,115.077557,35.387055,448.520000,0.000518
2568.020000,115.077914,35.387826,493.370000,0.000562
2665.170000,115.078592,35.388504,538.220000,-0.001938
2762.310000,115.078852,35.389303,583.070000,-0.002214
2859.460000,115.078904,35.390164,538.220000,-0.001066
2859.460000,115.079443,35.390972,1240.890000,0.002664
2949.160000,115.078817,35.391598,852.180000,0.002572
3038.870000,115.078635,35.392353,792.380000,0.001609
3128.580000,115.078400,35.393093,732.580000,0.002723
3218.280000,115.078365,35.393733,478.420000,0.005543
3307.990000,115.078833,35.394405,612.970000,0.006005
3397.700000,115.079657,35.394689,852.180000,0.003900
3487.400000,115.080612,35.394745,1225.940000,0.001279
3577.110000,115.081599,35.394745,1255.840000,0.000392
3577.110000,115.081868,35.395284,1225.940000,0.001011
3666.890000,115.081242,35.395910,1285.750000,0.001608
3756.660000,115.080791,35.396587,941.880000,0.003591
3846.440000,115.080521,35.397318,598.020000,0.007943
3936.220000,115.080875,35.397979,702.670000,0.010206
4026.000000,115.081863,35.397979,1375.450000,0.007316
4115.780000,115.082590,35.397527,1599.710000,0.003193
4205.560000,115.083216,35.396901,1539.900000,0.001258
